state_id,state_label,source_family,mesh_level,stage_id,vbg_v,vtg_v,vds_v,region,element_index,node0_index,node1_index,node2_index,x0_cm,y0_cm,x1_cm,y1_cm,x2_cm,y2_cm,centroid_x_cm,centroid_y_cm,centroid_x_um,centroid_y_nm,electron_current_density_x_en0_a_per_cm2,electron_current_density_x_en1_a_per_cm2,electron_current_density_x_en2_a_per_cm2,electron_current_density_y_en0_a_per_cm2,electron_current_density_y_en1_a_per_cm2,electron_current_density_y_en2_a_per_cm2,electron_current_density_x_a_per_cm2,electron_current_density_y_a_per_cm2,electron_current_density_magnitude_a_per_cm2,mean_element_node_current_density_magnitude_a_per_cm2,maximum_element_node_current_density_magnitude_a_per_cm2,projection_method
p2_dit_8p43e11_common_primary,P2 D_it=8.43e11 common-primary proxy,top_primary,interface_4x,T03_P2_DIT_FORMAL,0.0,0.3,0.01,channel,11,6,7,8,0.0,3.225e-06,2.5e-05,3.225e-06,0.0,3.3e-06,8.333333333333334e-06,3.25e-06,0.08333333333333334,32.5,-3.4630704883884595,-3.4630704883885,-3.4630704883885,-4.117695151243468e-14,0.0,0.0,-3.4630704883884866,-1.3725650504144894e-14,3.4630704883884866,3.4630704883884866,3.4630704883885,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_dit_8p43e11_common_primary,P2 D_it=8.43e11 common-primary proxy,top_primary,interface_4x,T03_P2_DIT_FORMAL,0.0,0.3,0.01,channel,12,7,8,9,2.5e-05,3.225e-06,0.0,3.3e-06,2.5e-05,3.3e-06,1.6666666666666667e-05,3.275e-06,0.16666666666666669,32.75,-3.5092460418464446,-3.5092460418464446,-3.463260417584412,-0.017324107722392148,-0.017324107722392148,-0.06330973198442472,-3.4939175004257668,-0.03265264914306967,3.494070075896804,3.494138879842559,3.50928880357877,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_dit_8p43e11_common_primary,P2 D_it=8.43e11 common-primary proxy,top_primary,interface_4x,T03_P2_DIT_FORMAL,0.0,0.3,0.01,channel,13,7,9,69,2.5e-05,3.225e-06,2.5e-05,3.3e-06,5e-05,3.225e-06,3.3333333333333335e-05,3.25e-06,0.33333333333333337,32.5,-1.8686359453584434,-1.837232099758603,-1.837232099758603,0.0140797378774482,-0.017324107722392148,-0.017324107722392148,-1.847700048291883,-0.006856159189112032,1.8477127686349557,1.847772180420237,1.8686889883831233,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_dit_8p43e11_common_primary,P2 D_it=8.43e11 common-primary proxy,top_primary,interface_4x,T03_P2_DIT_FORMAL,0.0,0.3,0.01,channel,14,7,68,69,2.5e-05,3.225e-06,5e-05,3.1500000000000003e-06,5e-05,3.225e-06,4.1666666666666665e-05,3.2e-06,0.41666666666666663,32.0,-1.8372320997586031,-1.837232099758603,-1.8023795228549857,-0.000389868799893493,-0.00038986879989349305,-0.03524244570351043,-1.825614574124064,-0.012007394434432472,1.8256540610902414,1.8257294416735046,1.837232141124547,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_dit_8p43e11_common_primary,P2 D_it=8.43e11 common-primary proxy,top_primary,interface_4x,T03_P2_DIT_FORMAL,0.0,0.3,0.01,channel,15,8,9,10,0.0,3.3e-06,2.5e-05,3.3e-06,0.0,3.3750000000000003e-06,8.333333333333334e-06,3.325e-06,0.08333333333333334,33.25,-3.5092460418464153,-3.5092460418464446,-3.5092460418464446,-2.966511560573252e-14,0.0,0.0,-3.509246041846435,-9.888371868577506e-15,3.509246041846435,3.509246041846435,3.5092460418464446,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_dit_8p43e11_common_primary,P2 D_it=8.43e11 common-primary proxy,top_primary,interface_4x,T03_P2_DIT_FORMAL,0.0,0.3,0.01,channel,16,9,10,11,2.5e-05,3.3e-06,0.0,3.3750000000000003e-06,2.5e-05,3.3750000000000003e-06,1.6666666666666667e-05,3.35e-06,0.16666666666666669,33.5,-3.5574466852156172,-3.557446685215617,-3.5094564147493723,-0.022134030519476884,-0.022134030519476884,-0.07012430098572214,-3.541449928393535,-0.038130787341558635,3.541655199516444,3.54172934156637,3.5575155422652225,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_dit_8p43e11_common_primary,P2 D_it=8.43e11 common-primary proxy,top_primary,interface_4x,T03_P2_DIT_FORMAL,0.0,0.3,0.01,channel,17,9,11,70,2.5e-05,3.3e-06,2.5e-05,3.3750000000000003e-06,5e-05,3.3e-06,3.3333333333333335e-05,3.325e-06,0.33333333333333337,33.25,-1.9397530629122852,-1.9059384501903995,-1.905938450190399,0.011680582202408899,-0.022134030519476884,-0.022134030519476884,-1.9172099877643614,-0.010862492945514958,1.9172407597733818,1.9173073898214046,1.9397882309876455,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_dit_8p43e11_common_primary,P2 D_it=8.43e11 common-primary proxy,top_primary,interface_4x,T03_P2_DIT_FORMAL,0.0,0.3,0.01,channel,18,9,69,70,2.5e-05,3.3e-06,5e-05,3.225e-06,5e-05,3.3e-06,4.1666666666666665e-05,3.275e-06,0.41666666666666663,32.75,-1.905938450190399,-1.9059384501903995,-1.8687912277488303,-0.0005338364765702356,-0.0005338364765702356,-0.03768105891813957,-1.893556042709876,-0.012916243957093345,1.89360009406449,1.8936827089695674,1.9059385249518321,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_dit_8p43e11_common_primary,P2 D_it=8.43e11 common-primary proxy,top_primary,interface_4x,T03_P2_DIT_FORMAL,0.0,0.3,0.01,channel,19,10,11,12,0.0,3.3750000000000003e-06,2.5e-05,3.3750000000000003e-06,0.0,3.45e-06,8.333333333333334e-06,3.4e-06,0.08333333333333334,34.0,-3.5574466852156235,-3.5574466852156172,-3.5574466852156172,6.19868087283963e-15,0.0,0.0,-3.5574466852156195,2.06622695761321e-15,3.5574466852156195,3.5574466852156195,3.5574466852156235,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_dit_8p43e11_common_primary,P2 D_it=8.43e11 common-primary proxy,top_primary,interface_4x,T03_P2_DIT_FORMAL,0.0,0.3,0.01,channel,20,11,12,13,2.5e-05,3.3750000000000003e-06,0.0,3.45e-06,2.5e-05,3.45e-06,1.6666666666666667e-05,3.4250000000000002e-06,0.16666666666666669,34.25,-3.6077852745131858,-3.6077852745131858,-3.557677611120045,-0.026867638080497153,-0.02686763808049715,-0.07697530147363851,-3.591082720048805,-0.0435701925448776,3.5913470263832097,3.5914269601689313,3.6078853164936118,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
