mesh_level,region,x_cm,y_cm,x_um,y_nm,potential_v,electron_density_cm3
fine,bottom_oxide,0.00022500000000000002,5e-07,2.25,5.0,0.0001354107744738431,
fine,bottom_oxide,0.00022500000000000002,1e-06,2.25,10.0,0.00027082153536533017,
fine,bottom_oxide,0.00022500000000000002,1.5e-06,2.25,15.0,0.0004062322690921056,
fine,bottom_oxide,0.00022500000000000002,2e-06,2.25,20.0,0.0005416429620718145,
fine,bottom_oxide,0.00022500000000000002,2.5e-06,2.25,25.000000000000004,0.0006770536007221035,
fine,bottom_oxide,0.00022500000000000002,3e-06,2.25,30.0,0.0008124641714606207,
fine,bottom_oxide,0.00025,0.0,2.5,0.0,0.0,
fine,bottom_oxide,0.00025,5e-07,2.5,5.0,0.00015062312941424092,
fine,bottom_oxide,0.00025,1e-06,2.5,10.0,0.0003012462451530189,
fine,bottom_oxide,0.00025,1.5e-06,2.5,15.0,0.0004518693335408714,
fine,bottom_oxide,0.00025,2e-06,2.5,20.0,0.0006024923809023367,
fine,bottom_oxide,0.00025,2.5e-06,2.5,25.000000000000004,0.0007531153735619546,
fine,bottom_oxide,0.00025,3e-06,2.5,30.0,0.0009037382978442662,
fine,bottom_oxide,0.00027499999999999996,0.0,2.7499999999999996,0.0,0.0,
fine,bottom_oxide,0.00027499999999999996,5e-07,2.7499999999999996,5.0,0.00016586967301201165,
fine,bottom_oxide,0.00027499999999999996,1e-06,2.7499999999999996,10.0,0.00033173933225438406,
fine,bottom_oxide,0.00027499999999999996,1.5e-06,2.7499999999999996,15.0,0.0004976089639574784,
fine,bottom_oxide,0.00027499999999999996,2e-06,2.7499999999999996,20.0,0.0006634785543516566,
fine,bottom_oxide,0.00027499999999999996,2.5e-06,2.7499999999999996,25.000000000000004,0.0008293480896672821,
fine,bottom_oxide,0.00027499999999999996,3e-06,2.7499999999999996,30.0,0.00099521755613472,
fine,bottom_oxide,0.00030000000000000003,0.0,3.0000000000000004,0.0,0.0,
fine,bottom_oxide,0.00030000000000000003,5e-07,3.0000000000000004,5.0,0.00018115064070795594,
fine,bottom_oxide,0.00030000000000000003,1e-06,3.0000000000000004,10.0,0.00036230126755100965,
fine,bottom_oxide,0.00030000000000000003,1.5e-06,3.0000000000000004,15.0,0.0005434518666642592,
fine,bottom_oxide,0.00030000000000000003,2e-06,3.0000000000000004,20.0,0.0007246024241828035,
fine,bottom_oxide,0.00030000000000000003,2.5e-06,3.0000000000000004,25.000000000000004,0.0009057529262417435,
fine,bottom_oxide,0.00030000000000000003,3e-06,3.0000000000000004,30.0,0.0010869033589761806,
fine,bottom_oxide,0.00032500000000000004,0.0,3.2500000000000004,0.0,0.0,
fine,bottom_oxide,0.00032500000000000004,5e-07,3.2500000000000004,5.0,0.00019646627065961146,
fine,bottom_oxide,0.00032500000000000004,1e-06,3.2500000000000004,10.0,0.0003929325273579533,
fine,bottom_oxide,0.00032500000000000004,1.5e-06,3.2500000000000004,15.0,0.0005893987561337563,
fine,bottom_oxide,0.00032500000000000004,2e-06,3.2500000000000004,20.0,0.0007858649430257522,
fine,bottom_oxide,0.00032500000000000004,2.5e-06,3.2500000000000004,25.000000000000004,0.0009823310740726741,
fine,bottom_oxide,0.00032500000000000004,3e-06,3.2500000000000004,30.0,0.0011787971353132568,
fine,bottom_oxide,0.00035,0.0,3.5,0.0,0.0,
fine,bottom_oxide,0.00035,5e-07,3.5,5.0,0.00021181680378534946,
fine,bottom_oxide,0.00035,1e-06,3.5,10.0,0.00042363359351193966,
fine,bottom_oxide,0.00035,1.5e-06,3.5,15.0,0.0006354503551210117,
fine,bottom_oxide,0.00035,2e-06,3.5,20.0,0.0008472670745538074,
fine,bottom_oxide,0.00035,2.5e-06,3.5,25.000000000000004,0.0010590837377515707,
fine,bottom_oxide,0.00035,3e-06,3.5,30.0,0.0012709003306555463,
fine,bottom_oxide,0.000375,0.0,3.75,0.0,0.0,
fine,bottom_oxide,0.000375,5e-07,3.75,5.0,0.00022720248380939407,
fine,bottom_oxide,0.000375,1e-06,3.75,10.0,0.0004544049534613984,
fine,bottom_oxide,0.000375,1.5e-06,3.75,15.0,0.0006816073947986238,
fine,bottom_oxide,0.000375,2e-06,3.75,20.0,0.0009088097936636817,
fine,bottom_oxide,0.000375,2.5e-06,3.75,25.000000000000004,0.0011360121358991854,
fine,bottom_oxide,0.000375,3e-06,3.75,30.0,0.0013632144073477495,
fine,bottom_oxide,0.0004,0.0,4.0,0.0,0.0,
fine,bottom_oxide,0.0004,5e-07,4.0,5.0,0.00024262355730779076,
fine,bottom_oxide,0.0004,1e-06,4.0,10.0,0.00048524710035840183,
fine,bottom_oxide,0.0004,1.5e-06,4.0,15.0,0.000727870614894654,
fine,bottom_oxide,0.0004,2e-06,4.0,20.0,0.000970494086659369,
fine,bottom_oxide,0.0004,2.5e-06,4.0,25.000000000000004,0.0012131175013953704,
fine,bottom_oxide,0.0004,3e-06,4.0,30.0,0.0014557408448454825,
fine,bottom_oxide,0.00042500000000000003,0.0,4.25,0.0,0.0,
fine,bottom_oxide,0.00042500000000000003,5e-07,4.25,5.0,0.00025808027375534765,
fine,bottom_oxide,0.00042500000000000003,1e-06,4.25,10.0,0.0005161605331525471,
fine,bottom_oxide,0.00042500000000000003,1.5e-06,4.25,15.0,0.0007742407638334504,
fine,bottom_oxide,0.00042500000000000003,2e-06,4.25,20.0,0.0010323209514399108,
fine,bottom_oxide,0.00042500000000000003,2.5e-06,4.25,25.000000000000004,0.001290401081613783,
fine,bottom_oxide,0.00042500000000000003,3e-06,4.25,30.0,0.0015484811399969235,
fine,bottom_oxide,0.00045000000000000004,0.0,4.5,0.0,0.0,
fine,bottom_oxide,0.00045000000000000004,5e-07,4.5,5.0,0.0002735728855735745,
fine,bottom_oxide,0.00045000000000000004,1e-06,4.5,10.0,0.0005471457566868338,
fine,bottom_oxide,0.00045000000000000004,1.5e-06,4.5,15.0,0.0008207185988794634,
fine,bottom_oxide,0.00045000000000000004,2e-06,4.5,20.0,0.0010942913976911494,
