row_uid,curve_id,dataset_id,split,kind,topology,source_path,source_row_number,source_row_sha256,selection_role,optimizer_input,vbg_v,vtg_v,vds_v,primary_axis_v,target_current_a_per_cm,w_um,l_um,temperature_k
train_t01_single_idvg_l10:017,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,19,d4cd65bac16c87df3636c56aef77707889ad8d861c8f85647e87c29a752902e6,scored,True,-0.125,0.0,0.01,-0.125,2.222527864249598e-08,60.0,10.0,300.0
train_t01_single_idvg_l10:018,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,20,9587baae0cc5a41de6bd9631609d76c4328a3b0e16f56fcda2745567a7018d94,scored,True,-0.1,0.0,0.01,-0.1,5.697155066181209e-08,60.0,10.0,300.0
train_t01_single_idvg_l10:019,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,21,6502da946b80a9b113e2843eed5ff9945c022f40a93a1aaac6cd81f282b6e5f9,scored,True,-0.075,0.0,0.01,-0.075,1.412789611105068e-07,60.0,10.0,300.0
train_t01_single_idvg_l10:020,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,22,5aed79f9effcbbf2442148c2090dfd31e79d01eb4bcc18dff0ded623ddefb0a9,scored,True,-0.05,0.0,0.01,-0.05,3.274565428440231e-07,60.0,10.0,300.0
train_t01_single_idvg_l10:021,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,23,f9aef524d8d8902bbbdfafbde0408de35ddac3d13fc6d15404d7b7f7dec8003d,scored,True,-0.025,0.0,0.01,-0.025,6.796881577291168e-07,60.0,10.0,300.0
train_t01_single_idvg_l10:022,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,24,bac83e6cd119185fe8ba68fa5d24519e7adcaa4a0882e3ce0265bb6e37b19d2d,scored,True,0.0,0.0,0.01,0.0,1.2325117540658298e-06,60.0,10.0,300.0
train_t01_single_idvg_l10:023,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,25,52741d6f99bae132360d75d29e2b85a5b1d65fa836f29e223fe3f5e219b70ad1,scored,True,0.025,0.0,0.01,0.025,1.9684998969818886e-06,60.0,10.0,300.0
train_t01_single_idvg_l10:024,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,26,5b5b94c7be34ea9941ddd59d4391aa8ba78daae750b3fb5e163ad6ee6129cf86,scored,True,0.05,0.0,0.01,0.05,2.8429456554713332e-06,60.0,10.0,300.0
train_t01_single_idvg_l10:025,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,27,042498b0de4b253200519e49b6da83ca3fadb51435ce06a73ebe16b9abe39ae7,scored,True,0.075,0.0,0.01,0.075,3.8123876142556255e-06,60.0,10.0,300.0
train_t01_single_idvg_l10:026,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,28,4ed98f0340988a450eac4f59d6a3394132d1f51cab67a5557231a69caadc3fed,scored,True,0.1,0.0,0.01,0.1,4.844135552338161e-06,60.0,10.0,300.0
train_t01_single_idvg_l10:027,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,29,9f60a43aca6c79c6812870cd253f1e011c1cb8999b196e6d0892502cf744017b,scored,True,0.125,0.0,0.01,0.125,5.915463943365446e-06,60.0,10.0,300.0
train_t01_single_idvg_l10:028,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,30,f777fc7e348739a1094bbd4dbe2a6cb03f7ba2ec7666a92e4c036cdb987afac7,scored,True,0.15,0.0,0.01,0.15,7.010740648763861e-06,60.0,10.0,300.0
train_t01_single_idvg_l10:029,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,31,c8cfe1c794de56b4a9b01df6c1e5765d76b17149dd19c06982bdbe78709d08dc,scored,True,0.175,0.0,0.01,0.175,8.119053455514625e-06,60.0,10.0,300.0
train_t01_single_idvg_l10:030,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,32,455eb67ee4a5ae67619d6ef02edcfd8b7e464f03c77d6906f9f1af24a4e7d2fa,scored,True,0.2,0.0,0.01,0.2,9.232616560278914e-06,60.0,10.0,300.0
train_t01_single_idvg_l10:031,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,33,d9bf248ddc615f2da15fd16dfb17dc5e3ce7dbd5669ac3bde96f2c1de9d50da2,scored,True,0.225,0.0,0.01,0.225,1.0345754808769341e-05,60.0,10.0,300.0
train_t01_single_idvg_l10:032,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,34,a22fa9de96be4579dfdc9af9a016b183be08e89df3a4225d0743e3e8a395a4b0,scored,True,0.25,0.0,0.01,0.25,1.1454257140732251e-05,60.0,10.0,300.0
train_t01_single_idvg_l10:033,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,35,128963494c74f60c49f544f071909f112bf7431f6610d874e8e8a128c6fdaebe,scored,True,0.275,0.0,0.01,0.275,1.2554957358367043e-05,60.0,10.0,300.0
train_t01_single_idvg_l10:034,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,36,b58a1c22c1f0164cdc39b641971fd1e6b67cfe400828646c62b5af7be39ae2e7,scored,True,0.3,0.0,0.01,0.3,1.3645454981973562e-05,60.0,10.0,300.0
train_t01_single_idvg_l10:035,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,37,94e1b303f14fd6f55cacc707f077929455f6b7ae8ed20e355e73f34659f243d0,scored,True,0.325,0.0,0.01,0.325,1.4723923899111031e-05,60.0,10.0,300.0
train_t01_single_idvg_l10:036,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,38,5bb00286bef4224bb8b1754595ea279c506eac79edb0e9dfed628c99435f316b,scored,True,0.35,0.0,0.01,0.35,1.5788977373151794e-05,60.0,10.0,300.0
train_t01_single_idvg_l10:037,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,39,0ab8b6da387c3f6c28d3a9d18568607afdd8bd7fa36738ed56b08a7bc81856a0,scored,True,0.375,0.0,0.01,0.375,1.6839570226567458e-05,60.0,10.0,300.0
train_t01_single_idvg_l10:038,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,40,a11955dac5274590be4777b81304638dbc4bfad81313cb79a083a247c9b4bace,scored,True,0.4,0.0,0.01,0.4,1.7874926238777034e-05,60.0,10.0,300.0
train_t01_single_idvg_l10:039,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,41,5617a5ede31a9418f23a29d3a913e455292d47b1fad7ad82482c56fb0371221c,scored,True,0.425,0.0,0.01,0.425,1.8894483118975373e-05,60.0,10.0,300.0
train_t01_single_idvg_l10:040,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,42,acd400c163c73d5f057198db61e67756d7cfef0ce6a2750295766707988b1196,scored,True,0.45,0.0,0.01,0.45,1.989785004737032e-05,60.0,10.0,300.0
train_t01_single_idvg_l10:041,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,43,455afde947fbbce3063571baa05abe17e0dbe95171f883a11eb1c420ddb73c7e,scored,True,0.475,0.0,0.01,0.475,2.0884774417710973e-05,60.0,10.0,300.0
train_t01_single_idvg_l10:042,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,44,d0e6dd56f3a277cfdf5ac36d9275a09e8fedeae50df7d6a5f06059702bb64daf,scored,True,0.5,0.0,0.01,0.5,2.185511545854263e-05,60.0,10.0,300.0
train_t01_single_idvg_l10:043,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,45,5fa677242428cd12420418f5183f5463b94bed65e5c8ba4a63581069209f3d58,scored,True,0.525,0.0,0.01,0.525,2.2808823092092458e-05,60.0,10.0,300.0
train_t01_single_idvg_l10:044,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,46,edbb23ea71b08080628057b9ecf20dc1ab317d472d50ec5bf4f29601f9329840,scored,True,0.55,0.0,0.01,0.55,2.3745920844987868e-05,60.0,10.0,300.0
train_t01_single_idvg_l10:045,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,47,9ee4ad33a4dd527c2a316f5ba6c0996594f2a7291c28013ba4345d1775d9c1ed,scored,True,0.575,0.0,0.01,0.575,2.4666491936367426e-05,60.0,10.0,300.0
train_t01_single_idvg_l10:046,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,48,dbcc4586ed0678672620a66c3753028ca2222b34642ea516a2880ef6e51eb323,scored,True,0.6,0.0,0.01,0.6,2.557066788670198e-05,60.0,10.0,300.0
train_t01_single_idvg_l10:047,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,49,fb70fd292093cb8430d052893e7dc1658d00aa3ffe4704048dda180ae332783e,scored,True,0.7,0.0,0.01,0.7,2.902725974192924e-05,60.0,10.0,300.0
train_t01_single_idvg_l10:048,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,50,25cf96234a14d34cbaea5528935c027a9993f9c3ba8e5e2647c736aadbf6a8c7,scored,True,0.8,0.0,0.01,0.8,3.223944525686692e-05,60.0,10.0,300.0
train_t01_single_idvg_l10:049,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,51,7e16a1cfe8859b35cc62a870585b9cb3bd10775e1bb36da5a016bd885b5edab9,scored,True,0.9,0.0,0.01,0.9,3.522508862349955e-05,60.0,10.0,300.0
train_t01_single_idvg_l10:050,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,results/tables/tcad_t01_d_extraction_idvg.csv,52,9e13ca4a1a3f76caa793710098ecd869636e9a36e0df84cc4dd309dabeffc968,scored,True,1.0,0.0,0.01,1.0,3.8002708377239875e-05,60.0,10.0,300.0
train_t01_single_idvd_vgs_0p0:000,train_t01_single_idvd_vgs_0p0,T01_D_B_IDVD,train,output,single_bottom_gate,results/tables/tcad_t01_d_idvd_points.csv,2,e74392bca81af3560bd17e0f52504ee272d40198cea18ddaf53fa0581c839c7d,zero_vds_invariant,False,0.0,0.0,0.0,0.0,0.0,60.0,10.0,300.0
train_t01_single_idvd_vgs_0p0:001,train_t01_single_idvd_vgs_0p0,T01_D_B_IDVD,train,output,single_bottom_gate,results/tables/tcad_t01_d_idvd_points.csv,3,0e9c7ff240667caf117d9ff6ac2e37a2dc03e875af8665a497b6cab8550d2649,repeated_low_vds_audit,False,0.0,0.0,0.01,0.01,1.2325117540658337e-06,60.0,10.0,300.0
train_t01_single_idvd_vgs_0p0:002,train_t01_single_idvd_vgs_0p0,T01_D_B_IDVD,train,output,single_bottom_gate,results/tables/tcad_t01_d_idvd_points.csv,4,817f3d573ca9c8c812f70a40381af71abbb50fae37deb0a685518be27db39810,scored,True,0.0,0.0,0.05,0.05,4.039328969169728e-06,60.0,10.0,300.0
train_t01_single_idvd_vgs_0p0:003,train_t01_single_idvd_vgs_0p0,T01_D_B_IDVD,train,output,single_bottom_gate,results/tables/tcad_t01_d_idvd_points.csv,5,1e5af322b7e0178e912b382a220d7a2f6e1cf46079610f95d0cf053d5cbef805,scored,True,0.0,0.0,0.1,0.1,4.990186125465876e-06,60.0,10.0,300.0
train_t01_single_idvd_vgs_0p0:004,train_t01_single_idvd_vgs_0p0,T01_D_B_IDVD,train,output,single_bottom_gate,results/tables/tcad_t01_d_idvd_points.csv,6,c506d01130375698bf19177dd9d41b3bd07d2e2ce96eed837a0d3a7e1c47638a,scored,True,0.0,0.0,0.2,0.2,5.190756321362378e-06,60.0,10.0,300.0
train_t01_single_idvd_vgs_0p5:000,train_t01_single_idvd_vgs_0p5,T01_D_B_IDVD,train,output,single_bottom_gate,results/tables/tcad_t01_d_idvd_points.csv,12,b4593012c2336aca819bf53c8b60f78358cd297d6b9e5aedb9d61928f449f806,zero_vds_invariant,False,0.5,0.0,0.0,0.0,1.486014091315591e-20,60.0,10.0,300.0
train_t01_single_idvd_vgs_0p5:001,train_t01_single_idvd_vgs_0p5,T01_D_B_IDVD,train,output,single_bottom_gate,results/tables/tcad_t01_d_idvd_points.csv,13,2f7261d785e6e840f539f1dd0a62adb59de895f868d4161cb896003f4f3b9ac4,repeated_low_vds_audit,False,0.5,0.0,0.01,0.01,2.1855115458542673e-05,60.0,10.0,300.0
