state_id,state_label,source_family,mesh_level,stage_id,vbg_v,vtg_v,vds_v,region,element_index,node0_index,node1_index,node2_index,x0_cm,y0_cm,x1_cm,y1_cm,x2_cm,y2_cm,centroid_x_cm,centroid_y_cm,centroid_x_um,centroid_y_nm,electron_current_density_x_en0_a_per_cm2,electron_current_density_x_en1_a_per_cm2,electron_current_density_x_en2_a_per_cm2,electron_current_density_y_en0_a_per_cm2,electron_current_density_y_en1_a_per_cm2,electron_current_density_y_en2_a_per_cm2,electron_current_density_x_a_per_cm2,electron_current_density_y_a_per_cm2,electron_current_density_magnitude_a_per_cm2,mean_element_node_current_density_magnitude_a_per_cm2,maximum_element_node_current_density_magnitude_a_per_cm2,projection_method
p1_vbg_m0p4_common_primary,P1 VBG=-0.4 V common-primary proxy,top_primary,interface_4x,T03_P1_SECONDARY_BIAS,-0.4,0.3,0.01,channel,11,6,7,8,0.0,3.225e-06,2.5e-05,3.225e-06,0.0,3.3e-06,8.333333333333334e-06,3.25e-06,0.08333333333333334,32.5,-0.03401235465577351,-0.03401235465575858,-0.03401235465575858,1.4936330362121384e-14,0.0,0.0,-0.034012354655763556,4.978776787373795e-15,0.034012354655763556,0.034012354655763556,0.03401235465577351,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_vbg_m0p4_common_primary,P1 VBG=-0.4 V common-primary proxy,top_primary,interface_4x,T03_P1_SECONDARY_BIAS,-0.4,0.3,0.01,channel,12,7,8,9,2.5e-05,3.225e-06,0.0,3.3e-06,2.5e-05,3.3e-06,1.6666666666666667e-05,3.275e-06,0.16666666666666669,32.75,-0.039169798128319666,-0.039169798128319666,-0.03402847011812321,-0.0002304927730190825,-0.0002304927730190825,-0.005371820783215544,-0.03745602212492085,-0.001944268776417903,0.03750644977197274,0.03759693937616269,0.039170476284208354,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_vbg_m0p4_common_primary,P1 VBG=-0.4 V common-primary proxy,top_primary,interface_4x,T03_P1_SECONDARY_BIAS,-0.4,0.3,0.01,channel,13,7,9,69,2.5e-05,3.225e-06,2.5e-05,3.3e-06,5e-05,3.225e-06,3.3333333333333335e-05,3.25e-06,0.33333333333333337,32.5,-0.009027336518857825,-0.00824884240970425,-0.00824884240970425,0.0005480013361344903,-0.0002304927730190825,-0.0002304927730190825,-0.008508340446088775,2.9005263365441747e-05,0.008508389885980369,0.008516026144029088,0.009043954339176492,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_vbg_m0p4_common_primary,P1 VBG=-0.4 V common-primary proxy,top_primary,interface_4x,T03_P1_SECONDARY_BIAS,-0.4,0.3,0.01,channel,14,7,68,69,2.5e-05,3.225e-06,5e-05,3.1500000000000003e-06,5e-05,3.225e-06,4.1666666666666665e-05,3.2e-06,0.41666666666666663,32.0,-0.00824884240970425,-0.00824884240970425,-0.007517295721503637,2.074898102610755e-07,2.074898102610755e-07,-0.0007313391983903544,-0.00800499351363738,-0.00024364140625661074,0.008008700411940704,0.008016823953023307,0.00824884241231383,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_vbg_m0p4_common_primary,P1 VBG=-0.4 V common-primary proxy,top_primary,interface_4x,T03_P1_SECONDARY_BIAS,-0.4,0.3,0.01,channel,15,8,9,10,0.0,3.3e-06,2.5e-05,3.3e-06,0.0,3.3750000000000003e-06,8.333333333333334e-06,3.325e-06,0.08333333333333334,33.25,-0.03916979812831821,-0.039169798128319666,-0.039169798128319666,-1.459734000188797e-15,0.0,0.0,-0.03916979812831918,-4.865780000629323e-16,0.03916979812831918,0.03916979812831918,0.039169798128319666,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_vbg_m0p4_common_primary,P1 VBG=-0.4 V common-primary proxy,top_primary,interface_4x,T03_P1_SECONDARY_BIAS,-0.4,0.3,0.01,channel,16,9,10,11,2.5e-05,3.3e-06,0.0,3.3750000000000003e-06,2.5e-05,3.3750000000000003e-06,1.6666666666666667e-05,3.35e-06,0.16666666666666669,33.5,-0.045027268572725265,-0.045027268572725265,-0.039188269952692784,-0.00031827617149035695,-0.00031827617149035695,-0.006157274791522849,-0.0430809356993811,-0.002264609044834521,0.04314041579377922,0.04324194144697827,0.04502839342949814,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_vbg_m0p4_common_primary,P1 VBG=-0.4 V common-primary proxy,top_primary,interface_4x,T03_P1_SECONDARY_BIAS,-0.4,0.3,0.01,channel,17,9,11,70,2.5e-05,3.3e-06,2.5e-05,3.3750000000000003e-06,5e-05,3.3e-06,3.3333333333333335e-05,3.325e-06,0.33333333333333337,33.25,-0.010841479545349978,-0.009908665283950504,-0.009908665283950504,0.0006145380899091145,-0.00031827617149035695,-0.00031827617149035695,-0.010219603371083663,-7.3380843571997905e-06,0.010219606005602495,0.01022881136170564,0.010858882806080519,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_vbg_m0p4_common_primary,P1 VBG=-0.4 V common-primary proxy,top_primary,interface_4x,T03_P1_SECONDARY_BIAS,-0.4,0.3,0.01,channel,18,9,69,70,2.5e-05,3.3e-06,5e-05,3.225e-06,5e-05,3.3e-06,4.1666666666666665e-05,3.275e-06,0.41666666666666663,32.75,-0.009908665283950504,-0.009908665283950504,-0.00903161076420521,3.0740675105700144e-07,3.0740675105700144e-07,-0.0008767471129942381,-0.00961631377736874,-0.00029204409983070803,0.009620747394098744,0.009630465612578165,0.009908665288719002,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_vbg_m0p4_common_primary,P1 VBG=-0.4 V common-primary proxy,top_primary,interface_4x,T03_P1_SECONDARY_BIAS,-0.4,0.3,0.01,channel,19,10,11,12,0.0,3.3750000000000003e-06,2.5e-05,3.3750000000000003e-06,0.0,3.45e-06,8.333333333333334e-06,3.4e-06,0.08333333333333334,34.0,-0.04502726857271058,-0.045027268572725265,-0.045027268572725265,-1.4687276219909076e-14,0.0,0.0,-0.04502726857272037,-4.895758739969692e-15,0.04502726857272037,0.04502726857272037,0.045027268572725265,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_vbg_m0p4_common_primary,P1 VBG=-0.4 V common-primary proxy,top_primary,interface_4x,T03_P1_SECONDARY_BIAS,-0.4,0.3,0.01,channel,20,11,12,13,2.5e-05,3.3750000000000003e-06,0.0,3.45e-06,2.5e-05,3.45e-06,1.6666666666666667e-05,3.4250000000000002e-06,0.16666666666666669,34.25,-0.051663245566136294,-0.051663245566136294,-0.04504836620685515,-0.0004176653555917652,-0.00041766535559176524,-0.00703254471487291,-0.04945828577970925,-0.0026226251420188133,0.04952777195577184,0.04964128609647719,0.051664933821463116,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_vbg_m0p4_common_primary,P1 VBG=-0.4 V common-primary proxy,top_primary,interface_4x,T03_P1_SECONDARY_BIAS,-0.4,0.3,0.01,channel,21,11,13,71,2.5e-05,3.3750000000000003e-06,2.5e-05,3.45e-06,5e-05,3.3750000000000003e-06,3.3333333333333335e-05,3.4e-06,0.33333333333333337,34.0,-0.013014823753493755,-0.011897540504112264,-0.011897540504112264,0.0006996178937897254,-0.0004176653555917652,-0.00041766535559176524,-0.012269968253906095,-4.5237605797935e-05,0.012270051645891377,0.012281117681391946,0.013033614331098495,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_vbg_m0p4_common_primary,P1 VBG=-0.4 V common-primary proxy,top_primary,interface_4x,T03_P1_SECONDARY_BIAS,-0.4,0.3,0.01,channel,22,11,70,71,2.5e-05,3.3750000000000003e-06,5e-05,3.3e-06,5e-05,3.3750000000000003e-06,4.1666666666666665e-05,3.35e-06,0.41666666666666663,33.5,-0.011897540504112264,-0.011897540504112264,-0.01084647509961272,4.187401612942976e-07,4.1874016129429763e-07,-0.001050646664338251,-0.011547185369279083,-0.0003499363946718875,0.011552486547614278,0.011564107632922524,0.011897540511481154,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_vbg_m0p4_common_primary,P1 VBG=-0.4 V common-primary proxy,top_primary,interface_4x,T03_P1_SECONDARY_BIAS,-0.4,0.3,0.01,channel,23,12,13,14,0.0,3.45e-06,2.5e-05,3.45e-06,0.0,3.525e-06,8.333333333333334e-06,3.4749999999999998e-06,0.08333333333333334,34.75,-0.051663245566097374,-0.051663245566136294,-0.051663245566136294,-3.8928546061906914e-14,0.0,0.0,-0.05166324556612332,-1.2976182020635639e-14,0.05166324556612332,0.05166324556612332,0.051663245566136294,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_vbg_m0p4_common_primary,P1 VBG=-0.4 V common-primary proxy,top_primary,interface_4x,T03_P1_SECONDARY_BIAS,-0.4,0.3,0.01,channel,24,13,14,15,2.5e-05,3.45e-06,0.0,3.525e-06,2.5e-05,3.525e-06,1.6666666666666667e-05,3.5000000000000004e-06,0.16666666666666669,35.00000000000001,-0.05916182124171308,-0.059161821241713076,-0.05168725870095611,-0.0005298157455288825,-0.0005298157455288825,-0.008004378286285849,-0.05667030039479409,-0.0030213365924478715,0.05675078344517425,0.05687725322236766,0.05916419354103142,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_vbg_m0p4_common_primary,P1 VBG=-0.4 V common-primary proxy,top_primary,interface_4x,T03_P1_SECONDARY_BIAS,-0.4,0.3,0.01,channel,25,13,15,72,2.5e-05,3.45e-06,2.5e-05,3.525e-06,5e-05,3.45e-06,3.3333333333333335e-05,3.4749999999999998e-06,0.33333333333333337,34.75,-0.01561749481924102,-0.01427978224087468,-0.01427978224087468,0.0008078968328374564,-0.0005298157455288825,-0.0005298157455288825,-0.014725686433663461,-8.391155274010288e-05,0.014725925508818226,0.014739197474442139,0.015638377208698123,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_vbg_m0p4_common_primary,P1 VBG=-0.4 V common-primary proxy,top_primary,interface_4x,T03_P1_SECONDARY_BIAS,-0.4,0.3,0.01,channel,26,13,71,72,2.5e-05,3.45e-06,5e-05,3.3750000000000003e-06,5e-05,3.45e-06,4.1666666666666665e-05,3.4250000000000002e-06,0.41666666666666663,34.25,-0.014279782240874683,-0.01427978224087468,-0.01302069823013146,5.430252978524033e-07,5.430252978524033e-07,-0.0012585409854453692,-0.013860087570626942,-0.00041915164494988813,0.013866424036748322,0.013880314899210254,0.014279782251199646,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_vbg_m0p4_common_primary,P1 VBG=-0.4 V common-primary proxy,top_primary,interface_4x,T03_P1_SECONDARY_BIAS,-0.4,0.3,0.01,channel,27,14,15,16,0.0,3.525e-06,2.5e-05,3.525e-06,0.0,3.6000000000000003e-06,8.333333333333334e-06,3.5500000000000003e-06,0.08333333333333334,35.5,-0.05916182124172055,-0.059161821241713076,-0.05916182124171308,7.471624266369196e-15,0.0,0.0,-0.05916182124171557,2.4905414221230655e-15,0.05916182124171557,0.05916182124171557,0.05916182124172055,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_vbg_m0p4_common_primary,P1 VBG=-0.4 V common-primary proxy,top_primary,interface_4x,T03_P1_SECONDARY_BIAS,-0.4,0.3,0.01,channel,28,15,16,17,2.5e-05,3.525e-06,0.0,3.6000000000000003e-06,2.5e-05,3.6000000000000003e-06,1.6666666666666667e-05,3.575e-06,0.16666666666666669,35.75,-0.06761249793576121,-0.06761249793576121,-0.059189059272402623,-0.0006559048973275941,-0.0006559048973275941,-0.009079343560686182,-0.06480468504797501,-0.00346371778511379,0.06489718441552106,0.06503757827632743,0.06761567930848326,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_vbg_m0p4_common_primary,P1 VBG=-0.4 V common-primary proxy,top_primary,interface_4x,T03_P1_SECONDARY_BIAS,-0.4,0.3,0.01,channel,29,15,17,73,2.5e-05,3.525e-06,2.5e-05,3.6000000000000003e-06,5e-05,3.525e-06,3.3333333333333335e-05,3.5500000000000003e-06,0.33333333333333337,35.5,-0.018733124671120874,-0.017132103971135296,-0.017132103971135296,0.0009451158026579789,-0.0006559048973275941,-0.0006559048973275941,-0.017665777537797158,-0.00012223133066573643,0.01766620039830679,0.017682086989258338,0.018756950813610174,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_vbg_m0p4_common_primary,P1 VBG=-0.4 V common-primary proxy,top_primary,interface_4x,T03_P1_SECONDARY_BIAS,-0.4,0.3,0.01,channel,30,15,72,73,2.5e-05,3.525e-06,5e-05,3.45e-06,5e-05,3.525e-06,4.1666666666666665e-05,3.5000000000000004e-06,0.41666666666666663,35.00000000000001,-0.017132103971135296,-0.017132103971135296,-0.015624439457322115,6.819862862951419e-07,6.819862862951419e-07,-0.0015069825275268887,-0.016629549133197568,-0.0005018728516514329,0.016637120566151364,0.0166537178938946,0.017132103984709383,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_vbg_m0p4_common_primary,P1 VBG=-0.4 V common-primary proxy,top_primary,interface_4x,T03_P1_SECONDARY_BIAS,-0.4,0.3,0.01,channel,31,16,17,18,0.0,3.6000000000000003e-06,2.5e-05,3.6000000000000003e-06,0.0,3.6750000000000004e-06,8.333333333333334e-06,3.625e-06,0.08333333333333334,36.25,-0.06761249793572942,-0.06761249793576121,-0.06761249793576121,-3.1795912155771136e-14,0.0,0.0,-0.06761249793575062,-1.0598637385257046e-14,0.06761249793575062,0.06761249793575062,0.06761249793576121,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_vbg_m0p4_common_primary,P1 VBG=-0.4 V common-primary proxy,top_primary,interface_4x,T03_P1_SECONDARY_BIAS,-0.4,0.3,0.01,channel,32,17,18,19,2.5e-05,3.6000000000000003e-06,0.0,3.6750000000000004e-06,2.5e-05,3.6750000000000004e-06,1.6666666666666667e-05,3.6500000000000006e-06,0.16666666666666669,36.50000000000001,-0.07710985207178288,-0.07710985207178288,-0.0676432889384815,-0.0007971044507569936,-0.0007971044507569936,-0.01026366758405838,-0.0739543310273491,-0.003952625495190789,0.07405988337830381,0.0742151554951487,0.07711397189898633,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
