state_id,state_label,source_family,mesh_level,stage_id,vbg_v,vtg_v,vds_v,region,element_index,node0_index,node1_index,node2_index,x0_cm,y0_cm,x1_cm,y1_cm,x2_cm,y2_cm,centroid_x_cm,centroid_y_cm,centroid_x_um,centroid_y_nm,electron_current_density_x_en0_a_per_cm2,electron_current_density_x_en1_a_per_cm2,electron_current_density_x_en2_a_per_cm2,electron_current_density_y_en0_a_per_cm2,electron_current_density_y_en1_a_per_cm2,electron_current_density_y_en2_a_per_cm2,electron_current_density_x_a_per_cm2,electron_current_density_y_a_per_cm2,electron_current_density_magnitude_a_per_cm2,mean_element_node_current_density_magnitude_a_per_cm2,maximum_element_node_current_density_magnitude_a_per_cm2,projection_method
p1_vbg_p0p4_common_primary,P1 VBG=+0.4 V common-primary proxy,top_primary,interface_4x,T03_P1_SECONDARY_BIAS,0.4,0.3,0.01,channel,0,0,1,2,0.0,3e-06,0.0,3.075e-06,2.5e-05,3e-06,8.333333333333334e-06,3.0250000000000003e-06,0.08333333333333334,30.250000000000004,-14.08504629227303,-14.08504629227303,-14.08504629227303,0.0,0.0,0.0,-14.085046292273029,0.0,14.085046292273029,14.085046292273029,14.08504629227303,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_vbg_p0p4_common_primary,P1 VBG=+0.4 V common-primary proxy,top_primary,interface_4x,T03_P1_SECONDARY_BIAS,0.4,0.3,0.01,channel,1,1,2,3,0.0,3.075e-06,2.5e-05,3e-06,2.5e-05,3.075e-06,1.6666666666666667e-05,3.05e-06,0.16666666666666669,30.5,-13.529341027906598,-13.529341027906598,-14.083324375448145,0.019988927420778506,0.019988927420778506,0.5739722749623237,-13.714002143753781,0.20465004326796024,13.715529025126697,13.71790912042613,14.095015772836769,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_vbg_p0p4_common_primary,P1 VBG=+0.4 V common-primary proxy,top_primary,interface_4x,T03_P1_SECONDARY_BIAS,0.4,0.3,0.01,channel,2,1,3,4,0.0,3.075e-06,2.5e-05,3.075e-06,0.0,3.1500000000000003e-06,8.333333333333334e-06,3.1000000000000004e-06,0.08333333333333334,31.000000000000004,-13.52934102790634,-13.529341027906598,-13.529341027906598,-2.5857354498131025e-13,0.0,0.0,-13.529341027906511,-8.619118166043675e-14,13.529341027906511,13.529341027906511,13.529341027906598,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_vbg_p0p4_common_primary,P1 VBG=+0.4 V common-primary proxy,top_primary,interface_4x,T03_P1_SECONDARY_BIAS,0.4,0.3,0.01,channel,3,2,3,66,2.5e-05,3e-06,2.5e-05,3.075e-06,5e-05,3e-06,3.3333333333333335e-05,3.0250000000000003e-06,0.33333333333333337,30.250000000000004,-25.036710439128328,-27.410998013615927,-27.410998013615927,-2.3542986470668246,0.019988927420778506,0.019988927420778506,-26.619568822120062,-0.7714402640750891,26.63074472027815,26.656389774874526,27.411005301879676,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_vbg_p0p4_common_primary,P1 VBG=+0.4 V common-primary proxy,top_primary,interface_4x,T03_P1_SECONDARY_BIAS,0.4,0.3,0.01,channel,4,3,4,5,2.5e-05,3.075e-06,0.0,3.1500000000000003e-06,2.5e-05,3.1500000000000003e-06,1.6666666666666667e-05,3.125e-06,0.16666666666666669,31.25,-13.043091583767804,-13.043091583767806,-13.527742527893423,0.04818239351388746,0.04818239351388746,0.5328333376395039,-13.204641898476345,0.2097327082224263,13.206307412592487,13.208197763140447,13.53823213224963,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_vbg_p0p4_common_primary,P1 VBG=+0.4 V common-primary proxy,top_primary,interface_4x,T03_P1_SECONDARY_BIAS,0.4,0.3,0.01,channel,5,3,5,67,2.5e-05,3.075e-06,2.5e-05,3.1500000000000003e-06,5e-05,3.075e-06,3.3333333333333335e-05,3.1000000000000004e-06,0.33333333333333337,31.000000000000004,-21.170721965008898,-22.927162967652542,-22.927162967652546,-1.7082586091297585,0.04818239351388746,0.04818239351388746,-22.341682633437994,-0.5372979407006612,22.348142472481825,22.3646522513494,22.927213596255935,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_vbg_p0p4_common_primary,P1 VBG=+0.4 V common-primary proxy,top_primary,interface_4x,T03_P1_SECONDARY_BIAS,0.4,0.3,0.01,channel,6,3,66,67,2.5e-05,3.075e-06,5e-05,3e-06,5e-05,3.075e-06,4.1666666666666665e-05,3.05e-06,0.41666666666666663,30.5,-22.927162967652546,-22.927162967652542,-25.023359153830036,-6.640048191923993e-05,-6.640048191923993e-05,2.0961297856955747,-23.62589502971171,0.6986656615772454,23.63622325291466,23.655108262996283,25.110998853491463,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_vbg_p0p4_common_primary,P1 VBG=+0.4 V common-primary proxy,top_primary,interface_4x,T03_P1_SECONDARY_BIAS,0.4,0.3,0.01,channel,7,4,5,6,0.0,3.1500000000000003e-06,2.5e-05,3.1500000000000003e-06,0.0,3.225e-06,8.333333333333334e-06,3.1750000000000005e-06,0.08333333333333334,31.750000000000004,-13.04309158376885,-13.043091583767806,-13.043091583767804,1.0466915416709202e-12,0.0,0.0,-13.043091583768154,3.488971805569734e-13,13.043091583768154,13.043091583768154,13.04309158376885,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_vbg_p0p4_common_primary,P1 VBG=+0.4 V common-primary proxy,top_primary,interface_4x,T03_P1_SECONDARY_BIAS,0.4,0.3,0.01,channel,8,5,6,7,2.5e-05,3.1500000000000003e-06,0.0,3.225e-06,2.5e-05,3.225e-06,1.6666666666666667e-05,3.2e-06,0.16666666666666669,32.0,-12.615634155374337,-12.615634155374336,-13.041610203118687,0.06781750231145346,0.06781750231145346,0.49379355005580466,-12.75762617128912,0.2098095182262372,12.759351298569195,12.76086265422515,13.05095508996051,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_vbg_p0p4_common_primary,P1 VBG=+0.4 V common-primary proxy,top_primary,interface_4x,T03_P1_SECONDARY_BIAS,0.4,0.3,0.01,channel,9,5,7,68,2.5e-05,3.1500000000000003e-06,2.5e-05,3.225e-06,5e-05,3.1500000000000003e-06,3.3333333333333335e-05,3.1750000000000005e-06,0.33333333333333337,31.750000000000004,-18.25563236763282,-19.58812792537946,-19.58812792537946,-1.2646780554351889,0.06781750231145346,0.06781750231145346,-19.143962739463912,-0.376347683604094,19.14766165746974,19.15862550996066,19.5882453230158,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_vbg_p0p4_common_primary,P1 VBG=+0.4 V common-primary proxy,top_primary,interface_4x,T03_P1_SECONDARY_BIAS,0.4,0.3,0.01,channel,10,5,67,68,2.5e-05,3.1500000000000003e-06,5e-05,3.075e-06,5e-05,3.1500000000000003e-06,4.1666666666666665e-05,3.125e-06,0.41666666666666663,31.25,-19.58812792537946,-19.58812792537946,-21.160879370237435,-0.000145130166477195,-0.000145130166477195,1.5726063146914975,-20.112378406998786,0.5241053514528476,20.119206038155,20.131830066826655,21.219234348645756,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
