vg,vd,id_raw,id_abs
2.75,0.1,-9.65159502e-06,9.65159502e-06
2.8,0.1,-9.84859742e-06,9.84859742e-06
2.85,0.1,-1.00456347e-05,1.00456347e-05
2.9,0.1,-1.02427031e-05,1.02427031e-05
2.95,0.1,-1.04397993e-05,1.04397993e-05
3.0,0.1,-1.06369207e-05,1.06369207e-05
3.05,0.1,-1.08340645e-05,1.08340645e-05
3.1,0.1,-1.10312285e-05,1.10312285e-05
3.15,0.1,-1.12284109e-05,1.12284109e-05
3.2,0.1,-1.14256097e-05,1.14256097e-05
3.25,0.1,-1.16228234e-05,1.16228234e-05
3.3,0.1,-1.18200507e-05,1.18200507e-05
-3.0,0.9,-1.16372206e-10,1.16372206e-10
-2.95,0.9,-1.16423545e-10,1.16423545e-10
-2.9,0.9,-1.1649817e-10,1.1649817e-10
-2.85,0.9,-1.16595701e-10,1.16595701e-10
-2.8,0.9,-1.16723169e-10,1.16723169e-10
-2.75,0.9,-1.16911722e-10,1.16911722e-10
-2.7,0.9,-1.17136183e-10,1.17136183e-10
-2.65,0.9,-1.17429531e-10,1.17429531e-10
-2.6,0.9,-1.17812903e-10,1.17812903e-10
-2.55,0.9,-1.18313921e-10,1.18313921e-10
-2.5,0.9,-1.18968674e-10,1.18968674e-10
-2.45,0.9,-1.19824321e-10,1.19824321e-10
-2.4,0.9,-1.2094248e-10,1.2094248e-10
-2.35,0.9,-1.22403652e-10,1.22403652e-10
-2.3,0.9,-1.24313015e-10,1.24313015e-10
-2.25,0.9,-1.26807965e-10,1.26807965e-10
-2.2,0.9,-1.30067985e-10,1.30067985e-10
-2.15,0.9,-1.34327513e-10,1.34327513e-10
-2.1,0.9,-1.39892741e-10,1.39892741e-10
-2.05,0.9,-1.47163536e-10,1.47163536e-10
-2.0,0.9,-1.56662037e-10,1.56662037e-10
-1.95,0.9,-1.69069953e-10,1.69069953e-10
-1.9,0.9,-1.8527719e-10,1.8527719e-10
-1.85,0.9,-2.06445236e-10,2.06445236e-10
-1.8,0.9,-2.34089732e-10,2.34089732e-10
-1.75,0.9,-2.70188013e-10,2.70188013e-10
-1.7,0.9,-3.17319069e-10,3.17319069e-10
-1.65,0.9,-3.78845614e-10,3.78845614e-10
-1.6,0.9,-4.59150755e-10,4.59150755e-10
-1.55,0.9,-5.63945405e-10,5.63945405e-10
-1.5,0.9,-7.00667224e-10,7.00667224e-10
-1.45,0.9,-8.78997812e-10,8.78997812e-10
-1.4,0.9,-1.11153244e-09,1.11153244e-09
-1.35,0.9,-1.41464611e-09,1.41464611e-09
-1.3,0.9,-1.80961191e-09,1.80961191e-09
-1.25,0.9,-2.32404247e-09,2.32404247e-09
-1.2,0.9,-2.99374433e-09,2.99374433e-09
-1.15,0.9,-3.86509812e-09,3.86509812e-09
-1.1,0.9,-4.99810552e-09,4.99810552e-09
-1.05,0.9,-6.47027848e-09,6.47027848e-09
-1.0,0.9,-8.38158654e-09,8.38158654e-09
-0.95,0.9,-1.08607259e-08,1.08607259e-08
-0.9,0.9,-1.40730276e-08,1.40730276e-08
-0.85,0.9,-1.82303833e-08,1.82303833e-08
-0.8,0.9,-2.36036294e-08,2.36036294e-08
-0.75,0.9,-3.05378936e-08,3.05378936e-08
-0.7,0.9,-3.94714613e-08,3.94714613e-08
-0.65,0.9,-5.09587523e-08,5.09587523e-08
-0.6,0.9,-6.56979869e-08,6.56979869e-08
-0.55,0.9,-8.45640383e-08,8.45640383e-08
-0.5,0.9,-1.0864676e-07,1.0864676e-07
-0.45,0.9,-1.39294685e-07,1.39294685e-07
-0.4,0.9,-1.78163313e-07,1.78163313e-07
-0.35,0.9,-2.27266179e-07,2.27266179e-07
-0.3,0.9,-2.89025448e-07,2.89025448e-07
-0.25,0.9,-3.66316967e-07,3.66316967e-07
-0.2,0.9,-4.62502813e-07,4.62502813e-07
-0.15,0.9,-5.81442805e-07,5.81442805e-07
-0.1,0.9,-7.27475944e-07,7.27475944e-07
-0.05,0.9,-9.05363924e-07,9.05363924e-07
-2.28983499e-15,0.9,-1.12019212e-06,1.12019212e-06
0.05,0.9,-1.37722868e-06,1.37722868e-06
0.1,0.9,-1.68174864e-06,1.68174864e-06
0.15,0.9,-2.03883593e-06,2.03883593e-06
0.2,0.9,-2.45318041e-06,2.45318041e-06
0.25,0.9,-2.92888868e-06,2.92888868e-06
0.3,0.9,-3.46932572e-06,3.46932572e-06
0.35,0.9,-4.07700024e-06,4.07700024e-06
0.4,0.9,-4.75350076e-06,4.75350076e-06
0.45,0.9,-5.49948347e-06,5.49948347e-06
0.5,0.9,-6.31470735e-06,6.31470735e-06
0.55,0.9,-7.19810814e-06,7.19810814e-06
0.6,0.9,-8.14790069e-06,8.14790069e-06
0.65,0.9,-9.1616986e-06,9.1616986e-06
0.7,0.9,-1.0236641e-05,1.0236641e-05
0.75,0.9,-1.13695175e-05,1.13695175e-05
0.8,0.9,-1.25568857e-05,1.25568857e-05
0.85,0.9,-1.37951755e-05,1.37951755e-05
0.9,0.9,-1.50807789e-05,1.50807789e-05
0.95,0.9,-1.64101243e-05,1.64101243e-05
1.0,0.9,-1.77797342e-05,1.77797342e-05
1.05,0.9,-1.91862698e-05,1.91862698e-05
1.1,0.9,-2.06265621e-05,2.06265621e-05
1.15,0.9,-2.20976322e-05,2.20976322e-05
1.2,0.9,-2.35967028e-05,2.35967028e-05
1.25,0.9,-2.51212024e-05,2.51212024e-05
