case_id,solve_mode,interface_equation_active,dit_cm2_ev,source_v,drain_v,vbg_v,vtg_v,region,x_cm,y_cm,x_um,y_nm,potential_v,electron_density_cm3
electrostatic_reference_no_equation,electrostatic,False,0.0,0.0,0.0,0.0,0.1,bottom_oxide,5e-05,2.1250000000000004e-06,0.5,21.250000000000004,0.027838813720754023,
electrostatic_reference_no_equation,electrostatic,False,0.0,0.0,0.0,0.0,0.1,bottom_oxide,5e-05,2.2500000000000005e-06,0.5,22.500000000000004,0.029476446261545098,
electrostatic_reference_no_equation,electrostatic,False,0.0,0.0,0.0,0.0,0.1,bottom_oxide,5e-05,2.375e-06,0.5,23.75,0.031114087680532143,
electrostatic_reference_no_equation,electrostatic,False,0.0,0.0,0.0,0.0,0.1,bottom_oxide,5e-05,2.5e-06,0.5,25.000000000000004,0.032751738356407094,
electrostatic_reference_no_equation,electrostatic,False,0.0,0.0,0.0,0.0,0.1,bottom_oxide,5e-05,2.6250000000000003e-06,0.5,26.250000000000004,0.034389398649562766,
electrostatic_reference_no_equation,electrostatic,False,0.0,0.0,0.0,0.0,0.1,bottom_oxide,5e-05,2.75e-06,0.5,27.5,0.03602706890111041,
electrostatic_reference_no_equation,electrostatic,False,0.0,0.0,0.0,0.0,0.1,bottom_oxide,5e-05,2.875e-06,0.5,28.75,0.037664749431894295,
electrostatic_reference_no_equation,electrostatic,False,0.0,0.0,0.0,0.0,0.1,bottom_oxide,5e-05,3e-06,0.5,30.0,0.03930244054150321,
electrostatic_reference_no_equation,electrostatic,False,0.0,0.0,0.0,0.0,0.1,bottom_oxide,7.500000000000001e-05,0.0,0.7500000000000001,0.0,0.0,
electrostatic_reference_no_equation,electrostatic,False,0.0,0.0,0.0,0.0,0.1,bottom_oxide,7.500000000000001e-05,5.000000000000001e-07,0.7500000000000001,5.000000000000001,0.0065513471859495135,
electrostatic_reference_no_equation,electrostatic,False,0.0,0.0,0.0,0.0,0.1,bottom_oxide,7.500000000000001e-05,1.0000000000000002e-06,0.7500000000000001,10.000000000000002,0.013102694819833201,
electrostatic_reference_no_equation,electrostatic,False,0.0,0.0,0.0,0.0,0.1,bottom_oxide,7.500000000000001e-05,1.5000000000000002e-06,0.7500000000000001,15.000000000000002,0.019654043336050444,
electrostatic_reference_no_equation,electrostatic,False,0.0,0.0,0.0,0.0,0.1,bottom_oxide,7.500000000000001e-05,2.0000000000000003e-06,0.7500000000000001,20.000000000000004,0.02620539314231132,
electrostatic_reference_no_equation,electrostatic,False,0.0,0.0,0.0,0.0,0.1,bottom_oxide,7.500000000000001e-05,2.1250000000000004e-06,0.7500000000000001,21.250000000000004,0.027843230853043986,
electrostatic_reference_no_equation,electrostatic,False,0.0,0.0,0.0,0.0,0.1,bottom_oxide,7.500000000000001e-05,2.2500000000000005e-06,0.7500000000000001,22.500000000000004,0.02948106867271195,
electrostatic_reference_no_equation,electrostatic,False,0.0,0.0,0.0,0.0,0.1,bottom_oxide,7.500000000000001e-05,2.375e-06,0.7500000000000001,23.75,0.031118906606376884,
electrostatic_reference_no_equation,electrostatic,False,0.0,0.0,0.0,0.0,0.1,bottom_oxide,7.500000000000001e-05,2.5e-06,0.7500000000000001,25.000000000000004,0.032756744658884174,
electrostatic_reference_no_equation,electrostatic,False,0.0,0.0,0.0,0.0,0.1,bottom_oxide,7.500000000000001e-05,2.6250000000000003e-06,0.7500000000000001,26.250000000000004,0.03439458283485368,
electrostatic_reference_no_equation,electrostatic,False,0.0,0.0,0.0,0.0,0.1,bottom_oxide,7.500000000000001e-05,2.75e-06,0.7500000000000001,27.5,0.03603242113867096,
electrostatic_reference_no_equation,electrostatic,False,0.0,0.0,0.0,0.0,0.1,bottom_oxide,7.500000000000001e-05,2.875e-06,0.7500000000000001,28.75,0.03767025957447896,
electrostatic_reference_no_equation,electrostatic,False,0.0,0.0,0.0,0.0,0.1,bottom_oxide,7.500000000000001e-05,3e-06,0.7500000000000001,30.0,0.039308098146170214,
electrostatic_reference_no_equation,electrostatic,False,0.0,0.0,0.0,0.0,0.1,bottom_oxide,0.0001,0.0,1.0,0.0,0.0,
