state_id,state_label,source_family,mesh_level,stage_id,vbg_v,vtg_v,vds_v,region,element_index,node0_index,node1_index,node2_index,x0_cm,y0_cm,x1_cm,y1_cm,x2_cm,y2_cm,centroid_x_cm,centroid_y_cm,centroid_x_um,centroid_y_nm,electron_current_density_x_en0_a_per_cm2,electron_current_density_x_en1_a_per_cm2,electron_current_density_x_en2_a_per_cm2,electron_current_density_y_en0_a_per_cm2,electron_current_density_y_en1_a_per_cm2,electron_current_density_y_en2_a_per_cm2,electron_current_density_x_a_per_cm2,electron_current_density_y_a_per_cm2,electron_current_density_magnitude_a_per_cm2,mean_element_node_current_density_magnitude_a_per_cm2,maximum_element_node_current_density_magnitude_a_per_cm2,projection_method
top_positive_bottom_negative_asymmetry,top-positive bottom-negative asymmetry,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,0.3,0.01,channel,11,6,7,8,0.0,3.225e-06,2.5e-05,3.225e-06,0.0,3.3e-06,8.333333333333334e-06,3.25e-06,0.08333333333333334,32.5,-0.22558911162867554,-0.22558911162867,-0.22558911162867004,5.4791911286707445e-15,0.0,0.0,-0.22558911162867187,1.8263970428902483e-15,0.22558911162867187,0.22558911162867187,0.22558911162867554,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
top_positive_bottom_negative_asymmetry,top-positive bottom-negative asymmetry,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,0.3,0.01,channel,12,7,8,9,2.5e-05,3.225e-06,0.0,3.3e-06,2.5e-05,3.3e-06,1.6666666666666667e-05,3.275e-06,0.16666666666666669,32.75,-0.2495123015756933,-0.2495123015756933,-0.2256654965333441,-0.0016148298471861356,-0.0016148298471861356,-0.025461634889535293,-0.24156336656157693,-0.009563764861302521,0.24175261252545974,0.2420441382331572,0.2495175270658057,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
top_positive_bottom_negative_asymmetry,top-positive bottom-negative asymmetry,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,0.3,0.01,channel,13,7,9,69,2.5e-05,3.225e-06,2.5e-05,3.3e-06,5e-05,3.225e-06,3.3333333333333335e-05,3.25e-06,0.33333333333333337,32.5,-0.057970635284834204,-0.05380401481391569,-0.053804014813915675,0.0025517906237323847,-0.0016148298471861356,-0.0016148298471861356,-0.05519288830422186,-0.00022595635687996216,0.0551933508281344,0.055227752077598335,0.058026771327677994,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
top_positive_bottom_negative_asymmetry,top-positive bottom-negative asymmetry,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,0.3,0.01,channel,14,7,68,69,2.5e-05,3.225e-06,5e-05,3.1500000000000003e-06,5e-05,3.225e-06,4.1666666666666665e-05,3.2e-06,0.41666666666666663,32.0,-0.05380401481391568,-0.05380401481391569,-0.04985624241849106,8.161473052471353e-07,8.161473052471353e-07,-0.0039469562481193755,-0.052488090682107476,-0.0013151079845029603,0.05250456334895131,0.05254008728703277,0.05380401482010572,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
top_positive_bottom_negative_asymmetry,top-positive bottom-negative asymmetry,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,0.3,0.01,channel,15,8,9,10,0.0,3.3e-06,2.5e-05,3.3e-06,0.0,3.3750000000000003e-06,8.333333333333334e-06,3.325e-06,0.08333333333333334,33.25,-0.2495123015757211,-0.2495123015756933,-0.2495123015756933,2.7838718562842264e-14,0.0,0.0,-0.24951230157570256,9.279572854280754e-15,0.24951230157570256,0.24951230157570256,0.2495123015757211,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
top_positive_bottom_negative_asymmetry,top-positive bottom-negative asymmetry,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,0.3,0.01,channel,16,9,10,11,2.5e-05,3.3e-06,0.0,3.3750000000000003e-06,2.5e-05,3.3750000000000003e-06,1.6666666666666667e-05,3.35e-06,0.16666666666666669,33.5,-0.27547885184697807,-0.27547885184697807,-0.249596475645901,-0.0021756471921827213,-0.0021756471921827213,-0.02805802339325982,-0.2668513931132857,-0.010803105925875087,0.26706997791617654,0.26738115384788474,0.27548744300899475,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
top_positive_bottom_negative_asymmetry,top-positive bottom-negative asymmetry,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,0.3,0.01,channel,17,9,11,70,2.5e-05,3.3e-06,2.5e-05,3.3750000000000003e-06,5e-05,3.3e-06,3.3333333333333335e-05,3.325e-06,0.33333333333333337,33.25,-0.06740657835448748,-0.06257318614415698,-0.06257318614415698,0.0026577450181477715,-0.0021756471921827213,-0.0021756471921827213,-0.0641843168809338,-0.0005645164554058903,0.06418679936171104,0.06422698315336484,0.06745895354985244,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
top_positive_bottom_negative_asymmetry,top-positive bottom-negative asymmetry,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,0.3,0.01,channel,18,9,69,70,2.5e-05,3.3e-06,5e-05,3.225e-06,5e-05,3.3e-06,4.1666666666666665e-05,3.275e-06,0.41666666666666663,32.75,-0.06257318614415698,-0.06257318614415698,-0.05799203054798815,1.19183525505697e-06,1.19183525505697e-06,-0.004579963760913784,-0.06104613427876737,-0.0015258600301345565,0.06106520088571607,0.06110632491840248,0.06257318615550746,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
top_positive_bottom_negative_asymmetry,top-positive bottom-negative asymmetry,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,0.3,0.01,channel,19,10,11,12,0.0,3.3750000000000003e-06,2.5e-05,3.3750000000000003e-06,0.0,3.45e-06,8.333333333333334e-06,3.4e-06,0.08333333333333334,34.0,-0.27547885184697,-0.27547885184697807,-0.27547885184697807,-8.080423280665945e-15,0.0,0.0,-0.27547885184697535,-2.6934744268886485e-15,0.27547885184697535,0.27547885184697535,0.27547885184697807,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
top_positive_bottom_negative_asymmetry,top-positive bottom-negative asymmetry,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,0.3,0.01,channel,20,11,12,13,2.5e-05,3.3750000000000003e-06,0.0,3.45e-06,2.5e-05,3.45e-06,1.6666666666666667e-05,3.4250000000000002e-06,0.16666666666666669,34.25,-0.30359552106545784,-0.30359552106545784,-0.2755712761289915,-0.0027838490707146903,-0.0027838490707146903,-0.03080809400718099,-0.2942541060866357,-0.01212526404953679,0.2945038216681,0.29483487532199376,0.303608284186475,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
