state_id,state_label,source_family,mesh_level,stage_id,vbg_v,vtg_v,vds_v,region,element_index,node0_index,node1_index,node2_index,x0_cm,y0_cm,x1_cm,y1_cm,x2_cm,y2_cm,centroid_x_cm,centroid_y_cm,centroid_x_um,centroid_y_nm,electron_current_density_x_en0_a_per_cm2,electron_current_density_x_en1_a_per_cm2,electron_current_density_x_en2_a_per_cm2,electron_current_density_y_en0_a_per_cm2,electron_current_density_y_en1_a_per_cm2,electron_current_density_y_en2_a_per_cm2,electron_current_density_x_a_per_cm2,electron_current_density_y_a_per_cm2,electron_current_density_magnitude_a_per_cm2,mean_element_node_current_density_magnitude_a_per_cm2,maximum_element_node_current_density_magnitude_a_per_cm2,projection_method
dual_negative_off_proxy,dual-negative off proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,-0.3,0.01,channel,11,6,7,8,0.0,3.225e-06,2.5e-05,3.225e-06,0.0,3.3e-06,8.333333333333334e-06,3.25e-06,0.08333333333333334,32.5,-6.650067128404538e-06,-6.650067220985457e-06,-6.650067220985458e-06,-9.258091844434597e-14,0.0,0.0,-6.650067190125151e-06,-3.086030614811532e-14,6.650067190125151e-06,6.650067190125151e-06,6.650067220985458e-06,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_negative_off_proxy,dual-negative off proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,-0.3,0.01,channel,12,7,8,9,2.5e-05,3.225e-06,0.0,3.3e-06,2.5e-05,3.3e-06,1.6666666666666667e-05,3.275e-06,0.16666666666666669,32.75,-6.68744134678372e-06,-6.687441346783719e-06,-6.650178847075433e-06,2.2850162451546665e-11,2.2850162451546665e-11,-3.723964954583591e-08,-6.675020513547624e-06,-1.2397983073644273e-08,6.6750320273588115e-06,6.675055269045613e-06,6.687441346822758e-06,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_negative_off_proxy,dual-negative off proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,-0.3,0.01,channel,13,7,9,69,2.5e-05,3.225e-06,2.5e-05,3.3e-06,5e-05,3.225e-06,3.3333333333333335e-05,3.25e-06,0.33333333333333337,32.5,-6.671719845909261e-06,-6.651598491037621e-06,-6.65159849103762e-06,2.014420503409259e-08,2.2850162451546665e-11,2.2850162451546665e-11,-6.6583056093281674e-06,6.7299684529985616e-09,6.658309010528598e-06,6.6583157463724976e-06,6.671750256963756e-06,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_negative_off_proxy,dual-negative off proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,-0.3,0.01,channel,14,7,68,69,2.5e-05,3.225e-06,5e-05,3.1500000000000003e-06,5e-05,3.225e-06,4.1666666666666665e-05,3.2e-06,0.41666666666666663,32.0,-6.6515984910376215e-06,-6.651598491037621e-06,-6.633675763342739e-06,1.6255871110966806e-10,1.6255871110966806e-10,-1.7760168983771033e-08,-6.645624248472661e-06,-5.811683853850565e-09,6.645626789668303e-06,6.64563217458976e-06,6.651598493024011e-06,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_negative_off_proxy,dual-negative off proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,-0.3,0.01,channel,15,8,9,10,0.0,3.3e-06,2.5e-05,3.3e-06,0.0,3.3750000000000003e-06,8.333333333333334e-06,3.325e-06,0.08333333333333334,33.25,-6.687441403471075e-06,-6.687441346783719e-06,-6.68744134678372e-06,5.6687353226241413e-14,0.0,0.0,-6.687441365679505e-06,1.8895784408747138e-14,6.687441365679505e-06,6.687441365679505e-06,6.687441403471075e-06,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_negative_off_proxy,dual-negative off proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,-0.3,0.01,channel,16,9,10,11,2.5e-05,3.3e-06,0.0,3.3750000000000003e-06,2.5e-05,3.3750000000000003e-06,1.6666666666666667e-05,3.35e-06,0.16666666666666669,33.5,-6.72200754762005e-06,-6.72200754762005e-06,-6.687544713872276e-06,2.609003474012712e-11,2.6090034740127127e-11,-3.443674371303454e-08,-6.710519936370792e-06,-1.1461521214518093e-08,6.710529724462772e-06,6.710549490884979e-06,6.722007547670681e-06,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_negative_off_proxy,dual-negative off proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,-0.3,0.01,channel,17,9,11,70,2.5e-05,3.3e-06,2.5e-05,3.3750000000000003e-06,5e-05,3.3e-06,3.3333333333333335e-05,3.325e-06,0.33333333333333337,33.25,-6.707129867948816e-06,-6.688521615539223e-06,-6.688521615539223e-06,1.8634342444333446e-08,2.609003474012712e-11,2.6090034740127127e-11,-6.694724366342421e-06,6.2288408379379e-09,6.694727264030785e-06,6.694732994956554e-06,6.707155753689446e-06,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_negative_off_proxy,dual-negative off proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,-0.3,0.01,channel,18,9,69,70,2.5e-05,3.3e-06,5e-05,3.225e-06,5e-05,3.3e-06,4.1666666666666665e-05,3.275e-06,0.41666666666666663,32.75,-6.688521615539223e-06,-6.688521615539223e-06,-6.671829743040491e-06,2.0370045631740834e-10,2.0370045631740834e-10,-1.648817204241416e-08,-6.682957658039645e-06,-5.360257043259781e-09,6.68295980771292e-06,6.682964451333072e-06,6.6885216186410945e-06,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_negative_off_proxy,dual-negative off proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,-0.3,0.01,channel,19,10,11,12,0.0,3.3750000000000003e-06,2.5e-05,3.3750000000000003e-06,0.0,3.45e-06,8.333333333333334e-06,3.4e-06,0.08333333333333334,34.0,-6.722007408098075e-06,-6.72200754762005e-06,-6.72200754762005e-06,-1.3952197452462896e-13,0.0,0.0,-6.722007501112725e-06,-4.6507324841542984e-14,6.722007501112725e-06,6.722007501112726e-06,6.72200754762005e-06,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_negative_off_proxy,dual-negative off proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,-0.3,0.01,channel,20,11,12,13,2.5e-05,3.3750000000000003e-06,0.0,3.45e-06,2.5e-05,3.45e-06,1.6666666666666667e-05,3.4250000000000002e-06,0.16666666666666669,34.25,-6.753721079234676e-06,-6.753721079234675e-06,-6.722102180139735e-06,2.8079019917714097e-11,2.8079019917714093e-11,-3.159082007502381e-08,-6.743181446203029e-06,-1.051155401172946e-08,6.743189639123648e-06,6.743206189850813e-06,6.753721079293046e-06,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
