state_id,state_label,source_family,mesh_level,stage_id,vbg_v,vtg_v,vds_v,region,element_index,node0_index,node1_index,node2_index,x0_cm,y0_cm,x1_cm,y1_cm,x2_cm,y2_cm,centroid_x_cm,centroid_y_cm,centroid_x_um,centroid_y_nm,electron_current_density_x_en0_a_per_cm2,electron_current_density_x_en1_a_per_cm2,electron_current_density_x_en2_a_per_cm2,electron_current_density_y_en0_a_per_cm2,electron_current_density_y_en1_a_per_cm2,electron_current_density_y_en2_a_per_cm2,electron_current_density_x_a_per_cm2,electron_current_density_y_a_per_cm2,electron_current_density_magnitude_a_per_cm2,mean_element_node_current_density_magnitude_a_per_cm2,maximum_element_node_current_density_magnitude_a_per_cm2,projection_method
bottom_threshold_region_proxy,bottom-primary threshold-region proxy,bottom_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.0,0.01,channel,0,0,1,2,0.0,3e-06,0.0,3.075e-06,2.5e-05,3e-06,8.333333333333334e-06,3.0250000000000003e-06,0.08333333333333334,30.250000000000004,-6.905197408611836,-6.905197408611836,-6.905197408611836,0.0,0.0,0.0,-6.905197408611836,0.0,6.905197408611836,6.905197408611836,6.905197408611836,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
bottom_threshold_region_proxy,bottom-primary threshold-region proxy,bottom_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.0,0.01,channel,1,1,2,3,0.0,3.075e-06,2.5e-05,3e-06,2.5e-05,3.075e-06,1.6666666666666667e-05,3.05e-06,0.16666666666666669,30.5,-6.667723554182442,-6.667723554182442,-6.904453989618701,0.011075895608879236,0.011075895608879236,0.24780633104513758,-6.7466336993278615,0.08998604075429868,6.747233785814523,6.748121682701689,6.9088995413501015,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
bottom_threshold_region_proxy,bottom-primary threshold-region proxy,bottom_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.0,0.01,channel,2,1,3,4,0.0,3.075e-06,2.5e-05,3.075e-06,0.0,3.1500000000000003e-06,8.333333333333334e-06,3.1000000000000004e-06,0.08333333333333334,31.000000000000004,-6.6677235541826825,-6.667723554182442,-6.667723554182442,2.3997750236279136e-13,0.0,0.0,-6.667723554182523,7.999250078759712e-14,6.667723554182523,6.667723554182523,6.6677235541826825,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
bottom_threshold_region_proxy,bottom-primary threshold-region proxy,bottom_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.0,0.01,channel,3,2,3,66,2.5e-05,3e-06,2.5e-05,3.075e-06,5e-05,3e-06,3.3333333333333335e-05,3.0250000000000003e-06,0.33333333333333337,30.250000000000004,-13.356216763244905,-14.289127901594298,-14.289127901594298,-0.9218352427405125,0.011075895608879236,0.011075895608879236,-13.9781575221445,-0.29989448384091805,13.981374196241337,13.988751838782889,14.289132194209143,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
bottom_threshold_region_proxy,bottom-primary threshold-region proxy,bottom_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.0,0.01,channel,4,3,4,5,2.5e-05,3.075e-06,0.0,3.1500000000000003e-06,2.5e-05,3.1500000000000003e-06,1.6666666666666667e-05,3.125e-06,0.16666666666666669,31.25,-6.4497907051453796,-6.4497907051453796,-6.66698622441234,0.02858107084739251,0.02858107084739251,0.24577659011435227,-6.522189211567699,0.10097957726971242,6.522970871199385,6.5237409968454765,6.671514929066122,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
bottom_threshold_region_proxy,bottom-primary threshold-region proxy,bottom_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.0,0.01,channel,5,3,5,67,2.5e-05,3.075e-06,2.5e-05,3.1500000000000003e-06,5e-05,3.075e-06,3.3333333333333335e-05,3.1000000000000004e-06,0.33333333333333337,31.000000000000004,-11.74573250205776,-12.502781942029442,-12.50278194202944,-0.7284683691242887,0.02858107084739251,0.02858107084739251,-12.250432128705548,-0.22376874247650122,12.252475659642448,12.25797659468978,12.502814609820794,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
bottom_threshold_region_proxy,bottom-primary threshold-region proxy,bottom_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.0,0.01,channel,6,3,66,67,2.5e-05,3.075e-06,5e-05,3e-06,5e-05,3.075e-06,4.1666666666666665e-05,3.05e-06,0.41666666666666663,30.5,-12.50278194202944,-12.502781942029442,-13.350906988104994,-3.52421790797598e-05,-3.52421790797598e-05,0.8480898038964758,-12.785490290721292,0.2826731065127721,12.788614704465608,12.79446012073754,13.377816478054402,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
bottom_threshold_region_proxy,bottom-primary threshold-region proxy,bottom_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.0,0.01,channel,7,4,5,6,0.0,3.1500000000000003e-06,2.5e-05,3.1500000000000003e-06,0.0,3.225e-06,8.333333333333334e-06,3.1750000000000005e-06,0.08333333333333334,31.750000000000004,-6.4497907051445535,-6.4497907051453796,-6.4497907051453796,-8.261956077656247e-13,0.0,0.0,-6.449790705145104,-2.7539853592187493e-13,6.449790705145104,6.449790705145104,6.4497907051453796,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
bottom_threshold_region_proxy,bottom-primary threshold-region proxy,bottom_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.0,0.01,channel,8,5,6,7,2.5e-05,3.1500000000000003e-06,0.0,3.225e-06,2.5e-05,3.225e-06,1.6666666666666667e-05,3.2e-06,0.16666666666666669,32.0,-6.24898320977473,-6.24898320977473,-6.449063331587005,0.04237773070348618,0.04237773070348618,0.2424578525157599,-6.315676583712155,0.10907110464091076,6.316618337046938,6.317291075386564,6.453619423630947,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
bottom_threshold_region_proxy,bottom-primary threshold-region proxy,bottom_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.0,0.01,channel,9,5,7,68,2.5e-05,3.1500000000000003e-06,2.5e-05,3.225e-06,5e-05,3.1500000000000003e-06,3.3333333333333335e-05,3.1750000000000005e-06,0.33333333333333337,31.750000000000004,-10.42584630152344,-11.048677282618854,-11.048677282618854,-0.5804532503919289,0.04237773070348618,0.04237773070348618,-10.841066955587051,-0.16523259632831883,10.842326067150484,10.846503037892203,11.048758553227486,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
bottom_threshold_region_proxy,bottom-primary threshold-region proxy,bottom_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.0,0.01,channel,10,5,67,68,2.5e-05,3.1500000000000003e-06,5e-05,3.075e-06,5e-05,3.1500000000000003e-06,4.1666666666666665e-05,3.125e-06,0.41666666666666663,31.25,-11.048677282618854,-11.048677282618854,-11.741468969496289,-8.253551178567751e-05,-8.253551178567751e-05,0.6927091513656489,-11.279607844911332,0.23084802678069252,11.281969861086042,11.286413199625464,11.761885033022129,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
