state_id,state_label,source_family,mesh_level,stage_id,vbg_v,vtg_v,vds_v,region,element_index,node0_index,node1_index,node2_index,x0_cm,y0_cm,x1_cm,y1_cm,x2_cm,y2_cm,centroid_x_cm,centroid_y_cm,centroid_x_um,centroid_y_nm,electron_current_density_x_en0_a_per_cm2,electron_current_density_x_en1_a_per_cm2,electron_current_density_x_en2_a_per_cm2,electron_current_density_y_en0_a_per_cm2,electron_current_density_y_en1_a_per_cm2,electron_current_density_y_en2_a_per_cm2,electron_current_density_x_a_per_cm2,electron_current_density_y_a_per_cm2,electron_current_density_magnitude_a_per_cm2,mean_element_node_current_density_magnitude_a_per_cm2,maximum_element_node_current_density_magnitude_a_per_cm2,projection_method
dual_positive_on_proxy,dual-positive on proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.3,0.01,channel,0,0,1,2,0.0,3e-06,0.0,3.075e-06,2.5e-05,3e-06,8.333333333333334e-06,3.0250000000000003e-06,0.08333333333333334,30.250000000000004,-11.317074550452261,-11.317074550452261,-11.317074550452261,0.0,0.0,0.0,-11.317074550452261,0.0,11.317074550452261,11.317074550452261,11.317074550452261,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_positive_on_proxy,dual-positive on proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.3,0.01,channel,1,1,2,3,0.0,3.075e-06,2.5e-05,3e-06,2.5e-05,3.075e-06,1.6666666666666667e-05,3.05e-06,0.16666666666666669,30.5,-10.969530834708829,-10.969530834708829,-11.316008371906879,0.00891531126328778,0.00891531126328778,0.355392848461336,-11.085023347108178,0.1244078236626372,11.085721443033009,11.086885560494459,11.321587766289852,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_positive_on_proxy,dual-positive on proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.3,0.01,channel,2,1,3,4,0.0,3.075e-06,2.5e-05,3.075e-06,0.0,3.1500000000000003e-06,8.333333333333334e-06,3.1000000000000004e-06,0.08333333333333334,31.000000000000004,-10.969530834709488,-10.969530834708829,-10.969530834708829,6.588312241989549e-13,0.0,0.0,-10.969530834709047,2.196104080663183e-13,10.969530834709047,10.969530834709047,10.969530834709488,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_positive_on_proxy,dual-positive on proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.3,0.01,channel,3,2,3,66,2.5e-05,3e-06,2.5e-05,3.075e-06,5e-05,3e-06,3.3333333333333335e-05,3.0250000000000003e-06,0.33333333333333337,30.250000000000004,-16.19282556817798,-17.260615374107783,-17.260615374107783,-1.0588744946665174,0.00891531126328778,0.00891531126328778,-16.90468543879785,-0.34701462404664724,16.90824677292138,16.91621490990445,17.260617676539297,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_positive_on_proxy,dual-positive on proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.3,0.01,channel,4,3,4,5,2.5e-05,3.075e-06,0.0,3.1500000000000003e-06,2.5e-05,3.1500000000000003e-06,1.6666666666666667e-05,3.125e-06,0.16666666666666669,31.25,-10.661001614335031,-10.661001614335031,-10.968543288031846,0.021640552184914508,0.021640552184914508,0.32918222588172835,-10.763515505567304,0.12415444341718579,10.76423152688607,10.765176318543817,10.973481799286173,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_positive_on_proxy,dual-positive on proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.3,0.01,channel,5,3,5,67,2.5e-05,3.075e-06,2.5e-05,3.1500000000000003e-06,5e-05,3.075e-06,3.3333333333333335e-05,3.1000000000000004e-06,0.33333333333333337,31.000000000000004,-14.368286286921117,-15.211277763569905,-15.211277763569903,-0.8213509244638727,0.021640552184914508,0.021640552184914508,-14.930280604686976,-0.2593566066980146,14.932533100051378,14.938109789826939,15.211293157189994,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_positive_on_proxy,dual-positive on proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.3,0.01,channel,6,3,66,67,2.5e-05,3.075e-06,5e-05,3e-06,5e-05,3.075e-06,4.1666666666666665e-05,3.05e-06,0.41666666666666663,30.5,-15.211277763569903,-15.211277763569905,-16.186722720956336,-3.704483946210783e-05,-3.704483946210783e-05,0.9754079125469722,-15.536426082698716,0.32511127428934933,15.539827308044032,15.54621351230144,16.216085009674295,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_positive_on_proxy,dual-positive on proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.3,0.01,channel,7,4,5,6,0.0,3.1500000000000003e-06,2.5e-05,3.1500000000000003e-06,0.0,3.225e-06,8.333333333333334e-06,3.1750000000000005e-06,0.08333333333333334,31.750000000000004,-10.661001614335628,-10.661001614335031,-10.661001614335031,5.968444154705586e-13,0.0,0.0,-10.66100161433523,1.989481384901862e-13,10.66100161433523,10.66100161433523,10.661001614335628,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_positive_on_proxy,dual-positive on proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.3,0.01,channel,8,5,6,7,2.5e-05,3.1500000000000003e-06,0.0,3.225e-06,2.5e-05,3.225e-06,1.6666666666666667e-05,3.2e-06,0.16666666666666669,32.0,-10.386900735853262,-10.386900735853263,-10.66009079280824,0.030417118841668773,0.030417118841668776,0.30360717579664465,-10.47796408817159,0.12148047115999407,10.47866828074478,10.479434646294814,10.664413393530383,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_positive_on_proxy,dual-positive on proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.3,0.01,channel,9,5,7,68,2.5e-05,3.1500000000000003e-06,2.5e-05,3.225e-06,5e-05,3.1500000000000003e-06,3.3333333333333335e-05,3.1750000000000005e-06,0.33333333333333337,31.750000000000004,-12.911854180373929,-13.58652388904725,-13.58652388904725,-0.6442525898316537,0.030417118841668773,0.030417118841668776,-13.361633986156143,-0.1944727840494387,13.363049144702673,13.367010981736614,13.586557937489916,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_positive_on_proxy,dual-positive on proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.3,0.01,channel,10,5,67,68,2.5e-05,3.1500000000000003e-06,5e-05,3.075e-06,5e-05,3.1500000000000003e-06,4.1666666666666665e-05,3.125e-06,0.41666666666666663,31.25,-13.58652388904725,-13.58652388904725,-14.363491587826534,-8.559171398208378e-05,-8.559171398208378e-05,0.7768821070652977,-13.845513121973676,0.2589036412124445,13.847933589751877,13.852511247003811,14.384485962377726,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
