state_id,state_label,source_family,mesh_level,stage_id,vbg_v,vtg_v,vds_v,region,element_index,node0_index,node1_index,node2_index,x0_cm,y0_cm,x1_cm,y1_cm,x2_cm,y2_cm,centroid_x_cm,centroid_y_cm,centroid_x_um,centroid_y_nm,electron_current_density_x_en0_a_per_cm2,electron_current_density_x_en1_a_per_cm2,electron_current_density_x_en2_a_per_cm2,electron_current_density_y_en0_a_per_cm2,electron_current_density_y_en1_a_per_cm2,electron_current_density_y_en2_a_per_cm2,electron_current_density_x_a_per_cm2,electron_current_density_y_a_per_cm2,electron_current_density_magnitude_a_per_cm2,mean_element_node_current_density_magnitude_a_per_cm2,maximum_element_node_current_density_magnitude_a_per_cm2,projection_method
p2_bulk_nga_5e17_common_primary,NGA 5e17 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,11,6,7,8,0.0,3.225e-06,2.5e-05,3.225e-06,0.0,3.3e-06,8.333333333333334e-06,3.25e-06,0.08333333333333334,32.5,-0.15401626219166245,-0.15401626219166248,-0.15401626219166248,-2.767268246803406e-17,0.0,0.0,-0.15401626219166245,-9.224227489344687e-18,0.15401626219166245,0.15401626219166245,0.15401626219166248,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nga_5e17_common_primary,NGA 5e17 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,12,7,8,9,2.5e-05,3.225e-06,0.0,3.3e-06,2.5e-05,3.3e-06,1.6666666666666667e-05,3.275e-06,0.16666666666666669,32.75,-0.15352522632721957,-0.15352522632721957,-0.15401678200766536,-0.0006648276814142487,-0.0006648276814142487,-0.00017327200096845506,-0.15368907822070152,-0.0005009757879323174,0.15368989472658573,0.1536900703648215,0.1540168794748908,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nga_5e17_common_primary,NGA 5e17 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,13,7,9,69,2.5e-05,3.225e-06,2.5e-05,3.3e-06,5e-05,3.225e-06,3.3333333333333335e-05,3.25e-06,0.33333333333333337,32.5,-0.09056533558466455,-0.09079431322847634,-0.09079431322847634,-0.0008938053252260622,-0.0006648276814142487,-0.0006648276814142487,-0.09071798734720575,-0.0007411535626848532,0.09072101485836269,0.09072108017699727,0.09079674724612467,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nga_5e17_common_primary,NGA 5e17 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,14,7,68,69,2.5e-05,3.225e-06,5e-05,3.1500000000000003e-06,5e-05,3.225e-06,4.1666666666666665e-05,3.2e-06,0.41666666666666663,32.0,-0.09079431322847634,-0.09079431322847634,-0.09133051465862285,7.461177807422116e-07,7.461177807422116e-07,0.0005369475479272463,-0.09097304703852517,0.00017947992782957692,0.09097322408554183,0.0909735731702694,0.09133209304772419,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nga_5e17_common_primary,NGA 5e17 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,15,8,9,10,0.0,3.3e-06,2.5e-05,3.3e-06,0.0,3.3750000000000003e-06,8.333333333333334e-06,3.325e-06,0.08333333333333334,33.25,-0.15352522632721954,-0.15352522632721957,-0.15352522632721957,-2.767268246803406e-17,0.0,0.0,-0.15352522632721957,-9.224227489344687e-18,0.15352522632721957,0.15352522632721957,0.15352522632721957,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nga_5e17_common_primary,NGA 5e17 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,16,9,10,11,2.5e-05,3.3e-06,0.0,3.3750000000000003e-06,2.5e-05,3.3750000000000003e-06,1.6666666666666667e-05,3.35e-06,0.16666666666666669,33.5,-0.1536610008583942,-0.1536610008583942,-0.15352818809228458,-0.000854442255571283,-0.000854442255571283,-0.000987255021680906,-0.15361672993635767,-0.000898713177607824,0.15361935881169225,0.1536193717229205,0.15366337643163883,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nga_5e17_common_primary,NGA 5e17 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,17,9,11,70,2.5e-05,3.3e-06,2.5e-05,3.3750000000000003e-06,5e-05,3.3e-06,3.3333333333333335e-05,3.325e-06,0.33333333333333337,33.25,-0.09038055645865141,-0.09032036827426904,-0.09032036827426904,-0.0007942540711889239,-0.000854442255571283,-0.000854442255571283,-0.09034043100239648,-0.0008343795274438299,0.0903442840632133,0.09034428859983079,0.09038404629858676,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nga_5e17_common_primary,NGA 5e17 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,18,9,69,70,2.5e-05,3.3e-06,5e-05,3.225e-06,5e-05,3.3e-06,4.1666666666666665e-05,3.275e-06,0.41666666666666663,32.75,-0.09032036827426904,-0.09032036827426904,-0.09056192654756469,9.82101421073863e-07,9.82101421073863e-07,0.00024254037471672756,-0.09040088769870092,8.150152585295843e-05,0.09040092443781673,0.09040099596285477,0.09056225132934731,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nga_5e17_common_primary,NGA 5e17 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,19,10,11,12,0.0,3.3750000000000003e-06,2.5e-05,3.3750000000000003e-06,0.0,3.45e-06,8.333333333333334e-06,3.4e-06,0.08333333333333334,34.0,-0.1536610008584001,-0.1536610008583942,-0.1536610008583942,5.8666086832232205e-15,0.0,0.0,-0.15366100085839618,1.9555362277410736e-15,0.15366100085839618,0.15366100085839618,0.1536610008584001,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nga_5e17_common_primary,NGA 5e17 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,20,11,12,13,2.5e-05,3.3750000000000003e-06,0.0,3.45e-06,2.5e-05,3.45e-06,1.6666666666666667e-05,3.4250000000000002e-06,0.16666666666666669,34.25,-0.15442494429775053,-0.15442494429775053,-0.15366640888821403,-0.001044141195109299,-0.001044141195109299,-0.0018026766046457946,-0.15417209916123836,-0.001296986331621464,0.15417755457045987,0.1541779768908261,0.1544284742273868,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
