dataset_id,source_id,source_path,source_role,use_status,scope,bytes,sha256,expected_sha256,hash_status
IGZO_FROZEN_BASELINE_V1,baseline_source:data/raw/baseline/klayout_pdk/layouts/igzo_tft_W60_L10.gds,/mnt/c/Users/ReachGao/Desktop/deepseek_work/大学课程/氧化物/数据/klayout_oxide_pdk/layouts/igzo_tft_W60_L10.gds,frozen_baseline_source,reference_only,IGZO-only whitelisted import,1498,c90660dc68c4a698688735b92d2e1e4418b13808db900cdcd3569a49ed1051d1,c90660dc68c4a698688735b92d2e1e4418b13808db900cdcd3569a49ed1051d1,PASS
IGZO_FROZEN_BASELINE_V1,baseline_copy:data/raw/baseline/klayout_pdk/layouts/igzo_tft_W60_L10.gds,/mnt/c/Users/ReachGao/Desktop/SDU/科研/氧化物TFT_铁电双栅课程项目/data/raw/baseline/klayout_pdk/layouts/igzo_tft_W60_L10.gds,project_raw_copy,reference_only,IGZO-only whitelisted import,1498,c90660dc68c4a698688735b92d2e1e4418b13808db900cdcd3569a49ed1051d1,c90660dc68c4a698688735b92d2e1e4418b13808db900cdcd3569a49ed1051d1,PASS
COURSE_REQUIREMENT_CONTRACT_V1,senior:../实验课程项目与报告要求(1).html,/mnt/c/Users/ReachGao/Desktop/deepseek_work/大学课程/氧化物/实验/实验课程项目与报告要求(1).html,课程项目与报告权威要求,authoritative_requirement,teacher requirement,16370,26dc9ce853fb72e382bea3d346ed437292e4724a9b29ba150540eea22c636162,26dc9ce853fb72e382bea3d346ed437292e4724a9b29ba150540eea22c636162,PASS
SENIOR_REFERENCE_INDEX_V1,senior:2026_07_30_s41928-021-00671-0 (1)/1.xlsx,/mnt/c/Users/ReachGao/Desktop/deepseek_work/大学课程/氧化物/实验/学长/2026_07_30_s41928-021-00671-0 (1)/1.xlsx,VisualTCAD导出的IGZO Id-Vg参考数据,reference_only,senior reference only,11189,f08bda1bb5a5292d2dfe31c5b6798d86584471217d4945d9f4c4fd24216e0954,f08bda1bb5a5292d2dfe31c5b6798d86584471217d4945d9f4c4fd24216e0954,PASS
SENIOR_REFERENCE_INDEX_V1,senior:2026_07_30_s41928-021-00671-0 (1)/41928_2021_671_MOESM1_ESM.pdf,/mnt/c/Users/ReachGao/Desktop/deepseek_work/大学课程/氧化物/实验/学长/2026_07_30_s41928-021-00671-0 (1)/41928_2021_671_MOESM1_ESM.pdf,学长资料中的背景论文或软件手册,reference_only,senior reference only,2521004,2980a36c6f1dce348aa9736a979da0d4d6fdf3002bba0de04373c63f433cc8b7,2980a36c6f1dce348aa9736a979da0d4d6fdf3002bba0de04373c63f433cc8b7,PASS
SENIOR_REFERENCE_INDEX_V1,senior:2026_07_30_s41928-021-00671-0 (1)/Adv Elect Materials - 2017 - Nakamura - Material Design of Transparent Oxide Semiconductors for Organic Electronics  Why Do.pdf,/mnt/c/Users/ReachGao/Desktop/deepseek_work/大学课程/氧化物/实验/学长/2026_07_30_s41928-021-00671-0 (1)/Adv Elect Materials - 2017 - Nakamura - Material Design of Transparent Oxide Semiconductors for Organic Electronics  Why Do.pdf,学长资料中的背景论文或软件手册,reference_only,senior reference only,3265893,831d8b32ced738bbe60f1e2314800ec2ae4ba78035d4ab39f92e907f86d6a45f,831d8b32ced738bbe60f1e2314800ec2ae4ba78035d4ab39f92e907f86d6a45f,PASS
SENIOR_REFERENCE_INDEX_V1,senior:2026_07_30_s41928-021-00671-0 (1)/Advanced Materials - 2012 - Fortunato - Oxide Semiconductor Thin‐Film Transistors  A Review of Recent Advances.pdf,/mnt/c/Users/ReachGao/Desktop/deepseek_work/大学课程/氧化物/实验/学长/2026_07_30_s41928-021-00671-0 (1)/Advanced Materials - 2012 - Fortunato - Oxide Semiconductor Thin‐Film Transistors  A Review of Recent Advances.pdf,学长资料中的背景论文或软件手册,reference_only,senior reference only,7675475,86f5f8dfe6408822d60c405aca91c0377555bc143d0dd20c41d44e8b695379b9,86f5f8dfe6408822d60c405aca91c0377555bc143d0dd20c41d44e8b695379b9,PASS
SENIOR_REFERENCE_INDEX_V1,senior:2026_07_30_s41928-021-00671-0 (1)/First_Demonstration_of_Dual-Gate_IGZO_2T0C_DRAM_with_Novel_Read_Operation_One_Bit_Line_in_Single_Cell_ION1500_A_mVDS1V_and_Retention_Timegt300s.pdf,/mnt/c/Users/ReachGao/Desktop/deepseek_work/大学课程/氧化物/实验/学长/2026_07_30_s41928-021-00671-0 (1)/First_Demonstration_of_Dual-Gate_IGZO_2T0C_DRAM_with_Novel_Read_Operation_One_Bit_Line_in_Single_Cell_ION1500_A_mVDS1V_and_Retention_Timegt300s.pdf,学长资料中的背景论文或软件手册,reference_only,senior reference only,703254,96cf85563f3940cb3a70092f31ae5ede3a8b250a9be63d0aa67ad505e55baa96,96cf85563f3940cb3a70092f31ae5ede3a8b250a9be63d0aa67ad505e55baa96,PASS
SENIOR_REFERENCE_INDEX_V1,senior:2026_07_30_s41928-021-00671-0 (1)/First_Demonstration_of_Dual-Gate_IGZO_2T0C_DRAM_with_Novel_Read_Operation_One_Bit_Line_in_Single_Cell_ION1500_A_mVDS1V_and_Retention_Timegt300s的全文翻译.docx,/mnt/c/Users/ReachGao/Desktop/deepseek_work/大学课程/氧化物/实验/学长/2026_07_30_s41928-021-00671-0 (1)/First_Demonstration_of_Dual-Gate_IGZO_2T0C_DRAM_with_Novel_Read_Operation_One_Bit_Line_in_Single_Cell_ION1500_A_mVDS1V_and_Retention_Timegt300s的全文翻译.docx,学长项目辅助文件,reference_only,senior reference only,927037,25bcf45cf4fd628c277c9c284110728b0cd8547b2f17ec7539a5b71619242e6c,25bcf45cf4fd628c277c9c284110728b0cd8547b2f17ec7539a5b71619242e6c,PASS
SENIOR_REFERENCE_INDEX_V1,senior:2026_07_30_s41928-021-00671-0 (1)/Physica Status Solidi  a - 2009 - Ogo - Tin monoxide as an s‐orbital‐based p‐type oxide semiconductor  Electronic.pdf,/mnt/c/Users/ReachGao/Desktop/deepseek_work/大学课程/氧化物/实验/学长/2026_07_30_s41928-021-00671-0 (1)/Physica Status Solidi  a - 2009 - Ogo - Tin monoxide as an s‐orbital‐based p‐type oxide semiconductor  Electronic.pdf,学长资料中的背景论文或软件手册,reference_only,senior reference only,501053,ce5007c1f4d35f6d12bef5069b5b0bf1aaabed58dc8127ad1fc0413db0d916db,ce5007c1f4d35f6d12bef5069b5b0bf1aaabed58dc8127ad1fc0413db0d916db,PASS
