vgs_v,vds_v,production_abs_drain_current_a_per_cm,reference_abs_drain_current_a_per_cm,relative_current_difference,log10_current_difference_decades,production_center_channel_potential_v,reference_center_channel_potential_v,center_channel_potential_difference_v
0.5,0.0,1.486014091315591e-20,3.8142866332747964e-20,0.6104083845319832,0.40939039829023116,0.0662778088252037,0.0662900568027023,1.2247977498588969e-05
0.5,0.01,2.1855115458542673e-05,2.1851534169256226e-05,0.00016386503623099576,7.117151243285491e-05,0.07112400196252017,0.07113603866599988,1.2036703479711974e-05
0.5,0.05,0.0001052667090477718,0.00010524996685499436,0.00015904546583511312,6.907806160549868e-05,0.0903872364245601,0.09039828352492997,1.1047100369865337e-05
0.5,0.1,0.000200014905089826,0.00019998467352182276,0.00015114657574969958,6.564708509770867e-05,0.11397494228335447,0.11398455315319118,9.610869836709779e-06
0.5,0.2,0.0003561717502476149,0.00035612461887168115,0.000132327664675823,5.747297728841971e-05,0.1580198502468934,0.15802663354440785,6.7832975144399565e-06
1.0,0.0,3.379165716833452e-19,2.1415558363296188e-19,0.36624716992677486,0.19808008827803292,0.07439310805119406,0.07442599342842192,3.288537722785645e-05
1.0,0.01,3.800270837723992e-05,3.7997287518224854e-05,0.00014264401792780712,6.19539286459414e-05,0.0793825350683778,0.07941518305215879,3.264798378099787e-05
1.0,0.05,0.00018645946223379113,0.00018643303657312762,0.0001417233555590671,6.155403320118324e-05,0.09996627569793574,0.09999713270857831,3.085701064256541e-05
1.0,0.1,0.0003612710661579342,0.0003612231951084638,0.00013250728872223928,5.7550997351718536e-05,0.12699007629206602,0.12701704411841638,2.6967826350365875e-05
1.0,0.2,0.0006652668981208667,0.0006651956102619077,0.00010715678047471733,4.654009204640985e-05,0.18449747716678622,0.18451348424862601,1.6007081839797266e-05
