mesh_role,mesh_level,stage_id,vgs_v,vds_v,source_current_a_per_cm,drain_current_a_per_cm,source_current_terminal_a,drain_current_terminal_a,current_imbalance_a_per_cm,relative_current_imbalance,center_channel_potential_v,center_channel_electron_density_cm3,solve_seconds,converged
production,interface_4x,T01_DC_EXTRACTION,0.025,0.01,-1.9684998969819004e-06,1.9684998969818886e-06,-1.1810999381891402e-08,1.1810999381891331e-08,-1.1858461261560205e-20,6.02411068435491e-15,0.014408333858874255,1.450116198059748e+16,0.02463631200225791,True
production,interface_4x,T01_DC_EXTRACTION,0.05,0.01,-2.8429456554713413e-06,2.8429456554713332e-06,-1.705767393282805e-08,1.7057673932828e-08,-8.046812998915853e-21,2.830449109510588e-15,0.023956637659065434,2.0944813548698664e+16,0.023762362001434667,True
production,interface_4x,T01_DC_EXTRACTION,0.075,0.01,-3.812387614255623e-06,3.8123876142556255e-06,-2.287432568553374e-08,2.2874325685533752e-08,2.541098841762901e-21,6.665373773277916e-16,0.03151494902877354,2.8023255972933036e+16,0.026497156999539584,True
production,interface_4x,T01_DC_EXTRACTION,0.1,0.01,-4.844135552338155e-06,4.844135552338161e-06,-2.906481331402893e-08,2.9064813314028968e-08,5.929230630780102e-21,1.2240017990244284e-15,0.03760935514542215,3.5441331036626316e+16,0.026132228998903884,True
production,interface_4x,T01_DC_EXTRACTION,0.125,0.01,-5.915463943365433e-06,5.915463943365446e-06,-3.54927836601926e-08,3.549278366019268e-08,1.3552527156068805e-20,2.2910336849012143e-15,0.04261394688933297,4.298240259247138e+16,0.02576446999955806,True
production,interface_4x,T01_DC_EXTRACTION,0.15,0.01,-7.010740648763814e-06,7.010740648763861e-06,-4.206444389258289e-08,4.206444389258317e-08,4.658681209898652e-20,6.6450628304444184e-15,0.04679061162274626,5.049282687776769e+16,0.02379817200198886,True
production,interface_4x,T01_DC_EXTRACTION,0.175,0.01,-8.119053455514664e-06,8.119053455514625e-06,-4.871432073308799e-08,4.871432073308775e-08,-3.8963515573697816e-20,4.799021928748704e-15,0.05032486190733331,5.7865991665084504e+16,0.024083612999675097,True
production,interface_4x,T01_DC_EXTRACTION,0.2,0.01,-9.232616560278914e-06,9.232616560278914e-06,-5.539569936167348e-08,5.539569936167348e-08,0.0,0.0,0.05335089065871351,6.502986521729127e+16,0.020294623001973378,True
production,interface_4x,T01_DC_EXTRACTION,0.225,0.01,-1.0345754808769395e-05,1.0345754808769341e-05,-6.207452885261638e-08,6.207452885261605e-08,-5.421010862427522e-20,5.239840845476542e-15,0.05596798928708962,7.193778958340112e+16,0.0197821389992896,True
production,interface_4x,T01_DC_EXTRACTION,0.25,0.01,-1.1454257140732219e-05,1.1454257140732251e-05,-6.872554284439331e-08,6.872554284439351e-08,3.218725199566341e-20,2.810068920244769e-15,0.05825121266351336,7.856168455637507e+16,0.019647308999992674,True
production,interface_4x,T01_DC_EXTRACTION,0.275,0.01,-1.2554957358367006e-05,1.2554957358367043e-05,-7.532974415020203e-08,7.532974415020226e-08,3.7269449679189215e-20,2.9685046802928094e-15,0.06025839298388962,8.488698931912098e+16,0.019377684002392925,True
production,interface_4x,T01_DC_EXTRACTION,0.3,0.01,-1.364545498197366e-05,1.3645454981973562e-05,-8.187272989184196e-08,8.187272989184138e-08,-9.825582188149884e-20,7.200626289947808e-15,0.062034847234010225,9.090887421217733e+16,0.020406946998264175,True
production,interface_4x,T01_DC_EXTRACTION,0.325,0.01,-1.472392389911127e-05,1.4723923899111031e-05,-8.834354339466763e-08,8.834354339466618e-08,-2.388632911257127e-19,1.622280125613325e-14,0.06361660925564036,9.66293991200861e+16,0.017960957000468625,True
production,interface_4x,T01_DC_EXTRACTION,0.35,0.01,-1.5788977373151537e-05,1.5788977373151794e-05,-9.473386423890922e-08,9.473386423891077e-08,2.574980159653073e-19,1.6308720310358238e-14,0.06503269936849954,1.0205538705889301e+17,0.020259480999811785,True
production,interface_4x,T01_DC_EXTRACTION,0.375,0.01,-1.68395702265674e-05,1.6839570226567458e-05,-1.010374213594044e-07,1.0103742135940475e-07,5.759824041329242e-20,3.4204103571729413e-15,0.06630675223068896,1.07196841615847e+17,0.02287256400086335,True
production,interface_4x,T01_DC_EXTRACTION,0.4,0.01,-1.78749262387773e-05,1.7874926238777034e-05,-1.072495574326638e-07,1.0724955743266221e-07,-2.642742795433417e-19,1.478463608817772e-14,0.0674582071956294,1.1206577834801971e+17,0.023366281999187777,True
production,interface_4x,T01_DC_EXTRACTION,0.425,0.01,-1.88944831189757e-05,1.8894483118975373e-05,-1.1336689871385421e-07,1.1336689871385224e-07,-3.2864878353466853e-19,1.7393901778906405e-14,0.06850319402342209,1.1667537048559936e+17,0.020471345997066237,True
production,interface_4x,T01_DC_EXTRACTION,0.45,0.01,-1.989785004736987e-05,1.989785004737032e-05,-1.1938710028421923e-07,1.193871002842219e-07,4.472333961502706e-19,2.247646831620266e-14,0.06945520223127116,1.2103933220400758e+17,0.01862319100109744,True
production,interface_4x,T01_DC_EXTRACTION,0.475,0.01,-2.088477441771168e-05,2.0884774417710973e-05,-1.253086465062701e-07,1.2530864650626584e-07,-7.081195439045951e-19,3.3906018314665755e-14,0.0703255939823775,1.2517148045164952e+17,0.019164255001669517,True
production,interface_4x,T01_DC_EXTRACTION,0.5,0.01,-2.1855115458543052e-05,2.185511545854263e-05,-1.3113069275125833e-07,1.311306927512558e-07,-4.2351647362715017e-19,1.9378368164218496e-14,0.07112400196252018,1.2908543012205066e+17,0.021306582999386592,True
