case_id,nta_cm3_ev,nga_cm3_ev,active_family,solve_mode,source_v,drain_v,vbg_v,vtg_v,mesh_level,node_count_with_interface_duplicates,element_count,dc_solve_count,all_dc_solves_converged,source_current_a_per_cm,drain_current_a_per_cm,relative_current_imbalance,center_channel_potential_v,center_channel_electron_density_cm3,center_tail_occupied_density_cm3,center_deep_occupied_density_cm3,center_occupied_bulk_traps_cm3,center_occupied_bulk_traps_derivative,center_physical_trap_charge_c_per_cm3,center_poisson_trap_source_c_per_cm3,minimum_occupied_bulk_traps_cm3,maximum_occupied_bulk_traps_cm3,minimum_occupied_bulk_traps_derivative,maximum_occupied_bulk_traps_derivative,wall_seconds
bulk_zero_control,0.0,0.0,none,coupled,0.0,0.01,0.0,0.1,interface_4x,2419,4480,7,True,-3.700428574078741e-06,3.700428574078735e-06,1.6023091682714736e-15,0.030249531738275284,2.6766155869164244e+16,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.2742442299995673
bulk_tail_reference,5e+18,0.0,tail,coupled,0.0,0.01,0.0,0.1,interface_4x,2419,4480,7,True,-1.193658476946172e-06,1.193658476946172e-06,0.0,-0.0014175902828842232,7872243689811113.0,4.731535205832297e+16,0.0,4.731535205832297e+16,1.929345698491086,-0.007580755149732886,0.007580755149732886,4.353027722476438e+16,5.9605257126548056e+16,1.1771790879266506,2.303621475495661,0.4084633330003271
bulk_deep_reference,0.0,5e+16,deep,coupled,0.0,0.01,0.0,0.1,interface_4x,2419,4480,7,True,-2.6212515985071586e-06,2.621251598507171e-06,4.685539435505567e-15,0.020461190651732342,1.836084819462873e+16,0.0,1.7513741956879856e+16,1.7513741956879856e+16,0.0051603401958699065,-0.002806010813721834,0.002806010813721834,1.7448875361337592e+16,1.7566149225240856e+16,0.00215190363768963,0.011952142277159818,0.38767747200017766
