row_index,row_uid,curve_id,split,kind,topology,selection_role,primary_axis_v,vds_v,ngspice_current_a_per_cm,xyce_current_a_per_cm,absolute_difference_a_per_cm,log_difference_dec
0,train_t01_single_idvg_l10:000,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,-1.0,0.01,2.6579079934401701e-15,2.6579079934401808e-15,1.0649622220483659e-29,1.7763568394002505e-15
1,train_t01_single_idvg_l10:001,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,-0.75,0.01,6.0489167544345496e-13,6.0489167544345879e-13,3.8370194429950014e-27,3.5527136788005009e-15
2,train_t01_single_idvg_l10:002,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,-0.5,0.01,1.3721670256760047e-10,1.3721670256760029e-10,1.809457589959748e-25,0
3,train_t01_single_idvg_l10:003,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,-0.475,0.01,2.3581003664181686e-10,2.3581003664181593e-10,9.3057818912215613e-25,1.7763568394002505e-15
4,train_t01_single_idvg_l10:004,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,-0.45,0.01,4.0505210798521065e-10,4.0505210798521018e-10,4.6528909456107807e-25,0
5,train_t01_single_idvg_l10:005,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,-0.425,0.01,6.9530860376758468e-10,6.9530860376758489e-10,2.0679515313825692e-25,0
6,train_t01_single_idvg_l10:006,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,-0.4,0.01,1.1925049618873204e-09,1.1925049618873182e-09,2.2747466845208261e-24,1.7763568394002505e-15
7,train_t01_single_idvg_l10:007,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,-0.375,0.01,2.0427728227402018e-09,2.0427728227401951e-09,6.6174449004242214e-24,1.7763568394002505e-15
8,train_t01_single_idvg_l10:008,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,-0.35,0.01,3.4935733185365114e-09,3.4935733185365197e-09,8.2718061255302767e-24,1.7763568394002505e-15
9,train_t01_single_idvg_l10:009,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,-0.325,0.01,5.9615241934983451e-09,5.9615241934983682e-09,2.3161057151484775e-23,1.7763568394002505e-15
10,train_t01_single_idvg_l10:010,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,-0.3,0.01,1.014249297045484e-08,1.0142492970454861e-08,2.150669592637872e-23,8.8817841970012523e-16
11,train_t01_single_idvg_l10:011,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,-0.275,0.01,1.7186341191869101e-08,1.7186341191869104e-08,3.3087224502121107e-24,0
12,train_t01_single_idvg_l10:012,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,-0.25,0.01,2.8965668020555663e-08,2.8965668020555967e-08,3.0440246541951418e-22,4.4408920985006262e-15
13,train_t01_single_idvg_l10:013,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,-0.225,0.01,4.8470799779042066e-08,4.8470799779042178e-08,1.1249656330721176e-22,8.8817841970012523e-16
