parameter_group_id,changed_parameter,channel_length_um,channel_length_cm,sweep_index,mesh_level,stage_id,mode_id,vbg_v,vtg_v,vds_v,source_current_a_per_cm,drain_current_a_per_cm,source_current_terminal_a,drain_current_terminal_a,current_imbalance_a_per_cm,relative_current_imbalance,center_channel_potential_v,center_channel_electron_density_cm3,solve_seconds,converged
P4,channel_length_um,8.0,0.0008,16,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.3,0.01,-1.397697679245677e-05,1.397697679245673e-05,-8.386186075474063e-08,8.386186075474038e-08,-4.0657581468206416e-20,2.9088966857374258e-15,0.05655025187777032,7.36366013195935e+16,0.03811331399992923,True
P4,channel_length_um,8.0,0.0008,17,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.35,0.01,-1.6409258021819475e-05,1.64092580218194e-05,-9.845554813091685e-08,9.84555481309164e-08,-7.453889935837843e-20,4.542490541574986e-15,0.05991607495374474,8.382604612962789e+16,0.038989071999822045,True
P4,channel_length_um,8.0,0.0008,18,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.4,0.01,-1.8785022642705413e-05,1.8785022642705392e-05,-1.1271013585623247e-07,1.1271013585623236e-07,-2.0328790734103208e-20,1.0821807948151326e-15,0.06263616594234978,9.308240802682285e+16,0.037388188000477385,True
P4,channel_length_um,8.0,0.0008,19,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.45,0.01,-2.108795934048189e-05,2.1087959340481878e-05,-1.2652775604289136e-07,1.2652775604289128e-07,-1.3552527156068805e-20,6.4266660122264395e-16,0.06487046811605164,1.0144507112223056e+17,0.037874659999943106,True
P4,channel_length_um,8.0,0.0008,20,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.5,0.01,-2.3309326748766942e-05,2.330932674876676e-05,-1.3985596049260166e-07,1.3985596049260055e-07,-1.8295911660692887e-19,7.849180655404702e-15,0.06673249768787719,1.089847637322855e+17,0.03010061099939776,True
P4,channel_length_um,8.0,0.0008,21,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.55,0.01,-2.5445192147923608e-05,2.544519214792324e-05,-1.5267115288754164e-07,1.5267115288753947e-07,-3.6591823321385775e-19,1.4380643348520268e-14,0.06830431233994222,1.1578273976442803e+17,0.029936756999632053,True
P4,channel_length_um,8.0,0.0008,22,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.6,0.01,-2.749467300504372e-05,2.7494673005043857e-05,-1.6496803803026232e-07,1.6496803803026314e-07,1.3552527156068805e-19,4.929146512701793e-15,0.06964631489644489,1.2192005459771973e+17,0.030343682000420813,True
P4,channel_length_um,8.0,0.0008,23,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.65,0.01,-2.9458807912957643e-05,2.9458807912957504e-05,-1.7675284747774585e-07,1.7675284747774503e-07,-1.3891340334970526e-19,4.715513396202408e-15,0.07080373863306283,1.2747248013653598e+17,0.03201399899990065,True
P4,channel_length_um,8.0,0.0008,24,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.7,0.01,-3.133982461461618e-05,3.133982461461684e-05,-1.8803894768769708e-07,1.8803894768770102e-07,6.572975670693371e-19,2.0973236932627078e-14,0.07181100215465426,1.3250846160239738e+17,0.03236402700076724,True
P4,channel_length_um,8.0,0.0008,25,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.75,0.01,-3.314066144323958e-05,3.314066144324037e-05,-1.9884396865943748e-07,1.988439686594422e-07,7.860465750519907e-19,2.371849386284108e-14,0.07269468291113948,1.3708865442661706e+17,0.031435017000148946,True
P4,channel_length_um,8.0,0.0008,26,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.8,0.01,-3.486465263346446e-05,3.486465263346441e-05,-2.0918791580078676e-07,2.0918791580078647e-07,-4.743384504624082e-20,1.3605139149073855e-15,0.0734755821234287,1.412662369966009e+17,0.031484789999922214,True
P4,channel_length_um,8.0,0.0008,27,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.85,0.01,-3.651532096333347e-05,3.651532096333443e-05,-2.1909192578000083e-07,2.1909192578000657e-07,9.554531645028508e-19,2.6165815862942444e-14,0.07417018247326859,1.4508756550171318e+17,0.03396173799956159,True
P4,channel_length_um,8.0,0.0008,28,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.9,0.01,-3.809624150379274e-05,3.809624150379237e-05,-2.2857744902275645e-07,2.2857744902275423e-07,-3.7269449679189215e-19,9.782972862422343e-15,0.07479169331105984,1.4859294282541254e+17,0.031622600000446255,True
P4,channel_length_um,8.0,0.0008,29,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,0.95,0.01,-3.9610952931529586e-05,3.9610952931529105e-05,-2.3766571758917752e-07,2.3766571758917464e-07,-4.811147140404426e-19,1.2146002012930222e-14,0.07535081118364945,1.518173863721772e+17,0.031027429999994638,True
P4,channel_length_um,8.0,0.0008,30,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,1.0,0.01,-4.1062900893966944e-05,4.1062900893966666e-05,-2.463774053638017e-07,2.463774053638e-07,-2.778268066994105e-19,6.7658835749772725e-15,0.07585628086995186,1.5479134096890454e+17,0.030103652000434522,True
P4,channel_length_um,10.0,0.001,0,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,-0.5,0.01,-2.1009005017869447e-10,2.100900501789906e-10,-1.2605403010721668e-12,1.2605403010739435e-12,2.961306592939839e-22,1.4095415705869421e-12,-0.23911894665357208,807306959954.4667,0.05369072600024083,True
P4,channel_length_um,10.0,0.001,1,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,-0.45,0.01,-4.949974025749092e-10,4.949974025786057e-10,-2.969984415449455e-12,2.9699844154716346e-12,3.6965667599229116e-21,7.46785082238062e-12,-0.21412109486385084,2123150613684.0562,0.05335716100034915,True
P4,channel_length_um,10.0,0.001,2,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,-0.4,0.01,-1.175346534127531e-09,1.1753465341285547e-09,-7.052079204765187e-12,7.052079204771329e-12,1.0236360080343717e-21,8.709227264564431e-13,-0.1891262528706111,5583036541237.598,0.05003981800018664,True
P4,channel_length_um,10.0,0.001,3,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,-0.35,0.01,-2.81429528103251e-09,2.814295281036621e-09,-1.688577168619506e-11,1.6885771686219725e-11,4.110674054082271e-21,1.4606406377400955e-12,-0.164138747680266,14676861535814.092,0.051226595000116504,True
