stage_id,mode_id,mesh_level,vbg_v,vtg_v,vds_v,source_current_a_per_cm,drain_current_a_per_cm,source_current_terminal_a,drain_current_terminal_a,current_imbalance_a_per_cm,relative_current_imbalance,center_channel_potential_v,center_channel_electron_density_cm3,t01_reference_abs_drain_current_a_per_cm,t01_reference_center_channel_potential_v,t01_reference_center_channel_electron_density_cm3,relative_current_difference,center_potential_difference_v,center_density_relative_difference,solve_seconds,converged
T02_A_DISABLED_LIMIT,disabled_exact_t01_limit,interface_4x,0.0,,0.01,-1.2325117540658379e-06,1.2325117540658265e-06,-7.395070524395027e-09,7.395070524394959e-09,-1.1434944787933055e-20,9.277757189910115e-15,0.002192329954178967,9060534649066728.0,1.2325117540658298e-06,0.0021923299541789674,9060534649066730.0,2.7489650933067186e-15,4.336808689942018e-19,2.2073752570506506e-16,0.02018900599796325,True
T02_A_DISABLED_LIMIT,disabled_exact_t01_limit,interface_4x,0.1,,0.01,-4.844135552338147e-06,4.844135552338172e-06,-2.906481331402888e-08,2.9064813314029034e-08,2.541098841762901e-20,5.245721995818967e-15,0.03760935514542215,3.544133103662631e+16,4.844135552338161e-06,0.03760935514542215,3.5441331036626316e+16,2.273146198188219e-15,0.0,1.1286257832320855e-16,0.030143982003210112,True
T02_A_DISABLED_LIMIT,disabled_exact_t01_limit,interface_4x,0.2,,0.01,-9.23261656027907e-06,9.232616560278904e-06,-5.539569936167442e-08,5.539569936167342e-08,-1.6601845766184287e-19,1.7981734276293253e-14,0.05335089065871351,6.502986521729127e+16,9.232616560278914e-06,0.05335089065871351,6.502986521729127e+16,1.1009225067118505e-15,0.0,0.0,0.026852928000153042,True
T02_A_DISABLED_LIMIT,disabled_exact_t01_limit,interface_4x,0.3,,0.01,-1.3645454981973447e-05,1.364545498197355e-05,-8.187272989184068e-08,8.18727298918413e-08,1.0333801956502464e-19,7.573072477358963e-15,0.062034847234010225,9.090887421217733e+16,1.3645454981973562e-05,0.062034847234010225,9.090887421217733e+16,8.690411039592246e-16,0.0,0.0,0.024387768000451615,True
T02_A_DISABLED_LIMIT,disabled_exact_t01_limit,interface_4x,0.5,,0.01,-2.1855115458542497e-05,2.1855115458542737e-05,-1.31130692751255e-07,1.3113069275125642e-07,2.405573570202213e-19,1.1006913117276263e-14,0.07112400196252015,1.2908543012205066e+17,2.185511545854263e-05,0.07112400196252018,1.2908543012205066e+17,4.960862250040006e-15,2.7755575615628914e-17,0.0,0.02845611100201495,True
T02_A_DISABLED_LIMIT,disabled_exact_t01_limit,interface_4x,0.7,,0.01,-2.9027259741928742e-05,2.902725974192925e-05,-1.7416355845157246e-07,1.741635584515755e-07,5.082197683525802e-19,1.7508361893991244e-14,0.07570260185647976,1.5399965967408957e+17,2.902725974192924e-05,0.07570260185647976,1.539996596740896e+17,3.5016723787982487e-16,0.0,2.077926669949907e-16,0.023945865003042854,True
T02_A_DISABLED_LIMIT,disabled_exact_t01_limit,interface_4x,1.0,,0.01,-3.800270837723783e-05,3.8002708377240146e-05,-2.2801625026342698e-07,2.2801625026344088e-07,2.3174821436877657e-18,6.098202582518323e-14,0.07938253506837777,1.7742484231065878e+17,3.8002708377239875e-05,0.07938253506837781,1.7742484231065875e+17,7.13240068130798e-15,4.163336342344337e-17,1.803580579993989e-16,0.023400883001158945,True
