dit_cm2_ev,is_zero_control,state_id,state_label,source_family,mesh_level,stage_id,vbg_v,vtg_v,vds_v,absolute_drain_current_a_per_cm,drain_current_terminal_a,relative_current_imbalance,center_channel_potential_v,center_channel_electron_density_cm3,node_row_count,channel_node_count,channel_element_count,minimum_potential_v,maximum_potential_v,minimum_electron_density_cm3,maximum_electron_density_cm3,minimum_cell_current_density_magnitude_a_per_cm2,median_cell_current_density_magnitude_a_per_cm2,maximum_cell_current_density_magnitude_a_per_cm2,node_csv,element_csv,vtk_file_count
0.0,True,p2_dit_zero_common_primary,P2 D_it=0 control common-primary proxy,top_primary,interface_4x,T03_P2_DIT_FORMAL,0.0,0.3,0.01,1.1549445541373129e-05,6.929667324823877e-08,2.053511784454081e-15,0.056544883007083165,7.36401270624011e+16,2419,1353,2560,0.0,0.3,1e+16,2.991755623840461e+17,1.936010309908176,3.803321115138429,13.983423972212625,results/tcad/t03_sensitivity/p2_dit_formal/t02_c_p2_dit_zero_common_primary_nodes.csv,results/tcad/t03_sensitivity/p2_dit_formal/t02_c_p2_dit_zero_common_primary_current_elements.csv,6
843000000000.0,False,p2_dit_8p43e11_common_primary,P2 D_it=8.43e11 common-primary proxy,top_primary,interface_4x,T03_P2_DIT_FORMAL,0.0,0.3,0.01,1.0711393749443818e-05,6.426836249666291e-08,9.489330338154441e-15,0.05381036023657851,6.630120387736622e+16,2419,1353,2560,0.0,0.3,1e+16,2.929220308865067e+17,1.527784636689824,3.4845176122328994,13.459320403828857,results/tcad/t03_sensitivity/p2_dit_formal/t02_c_p2_dit_8p43e11_common_primary_nodes.csv,results/tcad/t03_sensitivity/p2_dit_formal/t02_c_p2_dit_8p43e11_common_primary_current_elements.csv,6
3070000000000.0,False,p2_dit_3p07e12_common_primary,P2 D_it=3.07e12 common-primary proxy,top_primary,interface_4x,T03_P2_DIT_FORMAL,0.0,0.3,0.01,9.410611435282586e-06,5.646366861169551e-08,4.500413990522314e-15,0.04907466136652814,5.528040825872372e+16,2419,1353,2560,0.0,0.3,1e+16,2.7985660119892528e+17,1.0296875622359827,2.978159862858029,12.65113362619004,results/tcad/t03_sensitivity/p2_dit_formal/t02_c_p2_dit_3p07e12_common_primary_nodes.csv,results/tcad/t03_sensitivity/p2_dit_formal/t02_c_p2_dit_3p07e12_common_primary_current_elements.csv,6
6020000000000.0,False,p2_dit_6p02e12_common_primary,P2 D_it=6.02e12 common-primary proxy,top_primary,interface_4x,T03_P2_DIT_FORMAL,0.0,0.3,0.01,8.575696386250626e-06,5.145417831750376e-08,1.7778839599571377e-15,0.04568823961659146,4.8541765914440696e+16,2419,1353,2560,0.0,0.3,1e+16,2.6791016962237718e+17,0.7866002663414315,2.648156705779181,12.03461525040617,results/tcad/t03_sensitivity/p2_dit_formal/t02_c_p2_dit_6p02e12_common_primary_nodes.csv,results/tcad/t03_sensitivity/p2_dit_formal/t02_c_p2_dit_6p02e12_common_primary_current_elements.csv,6
