mesh_level,stage_id,vgs_v,vds_v,source_current_a_per_cm,drain_current_a_per_cm,source_current_terminal_a,drain_current_terminal_a,current_imbalance_a_per_cm,relative_current_imbalance,center_channel_potential_v,center_channel_electron_density_cm3,solve_seconds,converged
coarse,T01_A_STAGE_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e+16,0.001128570998844225,True
coarse,T01_A_STAGE_1,0.0,0.001,-1.351685131294834e-07,1.3516851312948272e-07,-8.110110787769005e-10,8.110110787768963e-10,-6.88214269644119e-22,5.091528002419104e-15,0.00023575750472103508,9899202817338082.0,0.00315062500158092,True
coarse,T01_A_STAGE_1,0.0,0.005,-6.49553212717558e-07,6.495532127175491e-07,-3.897319276305349e-09,3.897319276305295e-09,-8.893845946170154e-21,1.3692251492315258e-14,0.0011435483427994463,9510779895198490.0,0.003143504000036046,True
coarse,T01_A_STAGE_1,0.0,0.01,-1.2354583905166032e-06,1.2354583905166028e-06,-7.412750343099619e-09,7.412750343099617e-09,-4.235164736271502e-22,3.4280108247923917e-16,0.002198991124526312,9058585907033768.0,0.003021066997462185,True
fine,T01_A_STAGE_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e+16,0.0023613939993083477,True
fine,T01_A_STAGE_1,0.0,0.001,-1.35135356758903e-07,1.351353567589031e-07,-8.10812140553418e-10,8.108121405534186e-10,1.0587911840678754e-22,7.835041912509098e-16,0.00023557189982039586,9899179762911866.0,0.007696859000134282,True
fine,T01_A_STAGE_1,0.0,0.005,-6.487633651423171e-07,6.487633651423211e-07,-3.892580190853903e-09,3.892580190853927e-09,4.0234064994579266e-21,6.201654895503078e-15,0.0011415153667272268,9511175627300612.0,0.006565043000591686,True
fine,T01_A_STAGE_1,0.0,0.01,-1.2324883699791643e-06,1.2324883699791802e-06,-7.394930219874986e-09,7.394930219875081e-09,1.588186776101813e-20,1.2886018357549626e-14,0.0021923645933357556,9060563197780662.0,0.00702913000350236,True
