vgs_v,vds_v,t01_c_fine_abs_drain_current_a_per_cm,t01_d_fine_1x_abs_drain_current_a_per_cm,relative_current_difference,t01_c_fine_center_channel_potential_v,t01_d_fine_1x_center_channel_potential_v,center_channel_potential_difference_v
0.0,0.01,1.2324883699791723e-06,1.2324883699791802e-06,6.357102389724483e-15,0.0021923645933357577,0.0021923645933357556,2.168404344971009e-18
0.5,0.01,2.191632644088681e-05,2.1916326440886758e-05,2.318909465613964e-15,0.07093583476999778,0.07093583476999779,1.3877787807814457e-17
1.0,0.01,3.808578147525413e-05,3.808578147525443e-05,7.82852775719556e-15,0.07909518322772541,0.07909518322772538,2.7755575615628914e-17
