bulk_family_id,bulk_value_cm3_ev,nta_cm3_ev,nga_cm3_ev,is_zero_control,constant_current_criterion_terminal_a,constant_current_criterion_a_per_cm,vth_proxy_v,delta_vth_proxy_v,vth_bracket_lower_primary_gate_v,vth_bracket_upper_primary_gate_v,vth_bracket_lower_current_a_per_cm,vth_bracket_upper_current_a_per_cm,gm_evaluation_primary_gate_v,gm_proxy_s_per_cm,gm_proxy_terminal_s,maximum_sampled_gm_s_per_cm,maximum_sampled_gm_primary_gate_v,ss_window_lower_current_a_per_cm,ss_window_upper_current_a_per_cm,ss_fit_sample_count,ss_fit_slope_v_per_dec,ss_fit_intercept_v,ss_fit_r_squared,ss_proxy_mv_per_dec,low_gate_evaluation_top_gate_v,low_gate_current_proxy_a_per_cm,low_gate_current_proxy_terminal_a,parameter_claim_status
NTA,0.0,0.0,0.0,True,6e-08,1e-05,0.26385685799760256,0.0,0.25,0.3,9.462693911699367e-06,1.1549445541373129e-05,0.46385685799760257,3.937599666287622e-05,2.3625597997725733e-07,4.170461174228463e-05,0.3,1e-07,1e-06,4,0.13759377510040816,0.8119695591078275,0.9989888634089585,137.59377510040815,-0.5,2.100900501789906e-10,1.2605403010739435e-12,NUMERICAL_PROXY_NOT_PHYSICALLY_VALIDATED
NTA,1e+18,1e+18,0.0,False,6e-08,1e-05,0.30115121929633065,0.037294361298728096,0.3,0.35,9.95792243694497e-06,1.195926379905493e-05,0.5011512192963307,3.830958930920463e-05,2.2985753585522778e-07,4.0025475376370345e-05,0.35,1e-07,1e-06,5,0.1478261196108789,0.8926030253611309,0.9990128390856325,147.82611961087892,-0.5,2.0569640841638268e-10,1.2341784504982962e-12,NUMERICAL_PROXY_NOT_PHYSICALLY_VALIDATED
NTA,5e+18,5e+18,0.0,False,6e-08,1e-05,0.44489376573451767,0.1810369077369151,0.4,0.45,8.488229228515915e-06,1.0188174401648166e-05,0.6448937657345177,3.4558630787456404e-05,2.0735178472473844e-07,3.516852773843998e-05,0.55,1e-07,1e-06,6,0.18388960370537105,1.1822879701192877,0.9982292786810394,183.88960370537106,-0.5,1.8954532286555717e-10,1.1372719371933432e-12,NUMERICAL_PROXY_NOT_PHYSICALLY_VALIDATED
NTA,5e+19,5e+19,0.0,False,6e-08,1e-05,1.466667576519075,1.2028107185214725,1.45,1.5,9.713261160225724e-06,1.0599070950136594e-05,1.666667576519075,1.7905810957768222e-05,1.0743486574660934e-07,1.8001394428077225e-05,1.6,1e-07,1e-06,11,0.4325097041825082,3.292347124454562,0.9980190581674884,432.50970418250824,-0.5,9.285454342049525e-11,5.571272605229715e-13,NUMERICAL_PROXY_NOT_PHYSICALLY_VALIDATED
NGA,0.0,0.0,0.0,True,6e-08,1e-05,0.26385685799760256,0.0,0.25,0.3,9.462693911699367e-06,1.1549445541373129e-05,0.46385685799760257,3.937599666287622e-05,2.3625597997725733e-07,4.170461174228463e-05,0.3,1e-07,1e-06,4,0.13759377510040816,0.8119695591078275,0.9989888634089585,137.59377510040815,-0.5,2.100900501789906e-10,1.2605403010739435e-12,NUMERICAL_PROXY_NOT_PHYSICALLY_VALIDATED
NGA,1e+16,0.0,1e+16,False,6e-08,1e-05,0.2710762537275436,0.007219395729941069,0.25,0.3,9.172829569693316e-06,1.125791893216281e-05,0.47107625372754364,3.933749996165687e-05,2.3602499976994124e-07,4.171036250172396e-05,0.3,1e-07,1e-06,4,0.1372844922332411,0.8172477260197382,0.999107818588601,137.2844922332411,-0.5,1.9053908564211627e-10,1.1432345138526977e-12,NUMERICAL_PROXY_NOT_PHYSICALLY_VALIDATED
NGA,5e+16,0.0,5e+16,False,6e-08,1e-05,0.2979318182478403,0.03407496025023776,0.25,0.3,8.024453377331767e-06,1.0095418358781629e-05,0.49793181824784033,3.9239389781681244e-05,2.3543633869008746e-07,4.165745043959329e-05,0.35,1e-07,1e-06,5,0.1370760738477947,0.8453613453473465,0.9992450150230721,137.07607384779467,-0.5,1.3102495728868406e-10,7.861497437321043e-13,NUMERICAL_PROXY_NOT_PHYSICALLY_VALIDATED
NGA,5e+17,0.0,5e+17,False,6e-08,1e-05,0.6007213247192533,0.33686446672165077,0.6,0.65,9.9734142208766e-06,1.1994554804976682e-05,0.8007213247192533,3.650716469517625e-05,2.1904298817105748e-07,4.051072650486992e-05,0.6,1e-07,1e-06,5,0.1328739589427829,1.12708768162052,0.9994452694436453,132.8739589427829,-0.5,7.27776800403378e-12,4.3666608024202685e-14,NUMERICAL_PROXY_NOT_PHYSICALLY_VALIDATED
