state_id,state_label,source_family,mesh_level,stage_id,vbg_v,vtg_v,vds_v,absolute_drain_current_a_per_cm,drain_current_terminal_a,relative_current_imbalance,center_channel_potential_v,center_channel_electron_density_cm3,node_row_count,channel_node_count,channel_element_count,minimum_potential_v,maximum_potential_v,minimum_electron_density_cm3,maximum_electron_density_cm3,minimum_cell_current_density_magnitude_a_per_cm2,median_cell_current_density_magnitude_a_per_cm2,maximum_cell_current_density_magnitude_a_per_cm2,node_csv,element_csv,vtk_file_count
dual_negative_off_proxy,dual-negative off proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,-0.3,0.01,1.6264038843614528e-11,9.758423306168717e-14,3.675392350496908e-13,-0.28911750205974934,116709410776.62202,2419,1353,2560,-0.3,0.01,91038546322.07681,1e+16,6.519023826303573e-06,6.807993944699272e-06,6.908098240441074e-06,results/tcad/t02_dual_gate/t02_c_bidirectional/t02_c_dual_negative_off_proxy_nodes.csv,results/tcad/t02_dual_gate/t02_c_bidirectional/t02_c_dual_negative_off_proxy_current_elements.csv,6
top_positive_bottom_negative_asymmetry,top-positive bottom-negative asymmetry,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,0.3,0.01,2.0345721951130514e-06,1.2207433170678309e-08,3.746879340826284e-15,-0.005273306769229157,6790762243916133.0,2419,1353,2560,-0.3,0.3,533636404571540.3,8.44205952767241e+16,0.03390954255049085,0.3835333722724906,4.066291076176612,results/tcad/t02_dual_gate/t02_c_bidirectional/t02_c_top_positive_bottom_negative_asymmetry_nodes.csv,results/tcad/t02_dual_gate/t02_c_bidirectional/t02_c_top_positive_bottom_negative_asymmetry_current_elements.csv,6
bottom_positive_top_negative_asymmetry,bottom-positive top-negative asymmetry,bottom_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,-0.3,0.01,2.0345721951130615e-06,1.220743317067837e-08,2.4979195605508524e-15,-0.005273306769229149,6790762243916134.0,2419,1353,2560,-0.3,0.3,533636404571541.1,8.442059527672421e+16,0.03391026040755605,0.3834740192369535,4.065931904180982,results/tcad/t02_dual_gate/t02_c_bidirectional/t02_c_bottom_positive_top_negative_asymmetry_nodes.csv,results/tcad/t02_dual_gate/t02_c_bidirectional/t02_c_bottom_positive_top_negative_asymmetry_current_elements.csv,6
top_threshold_region_proxy,top-primary threshold-region proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,0.0,0.3,0.01,1.1549445541373129e-05,6.929667324823877e-08,2.053511784454081e-15,0.056544883007083165,7.36401270624011e+16,2419,1353,2560,0.0,0.3,1e+16,2.991755623840461e+17,1.936010309908176,3.803321115138429,13.983423972212625,results/tcad/t02_dual_gate/t02_c_bidirectional/t02_c_top_threshold_region_proxy_nodes.csv,results/tcad/t02_dual_gate/t02_c_bidirectional/t02_c_top_threshold_region_proxy_current_elements.csv,6
bottom_threshold_region_proxy,bottom-primary threshold-region proxy,bottom_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.0,0.01,1.1549445541373112e-05,6.929667324823867e-08,1.0414238335445624e-14,0.05654488300708315,7.364012706240107e+16,2419,1353,2560,0.0,0.3,1e+16,2.991755623840462e+17,1.9360481540385317,3.803291894798543,13.981374196241337,results/tcad/t02_dual_gate/t02_c_bidirectional/t02_c_bottom_threshold_region_proxy_nodes.csv,results/tcad/t02_dual_gate/t02_c_bidirectional/t02_c_bottom_threshold_region_proxy_current_elements.csv,6
dual_positive_on_proxy,dual-positive on proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.3,0.01,2.3157084286939043e-05,1.3894250572163425e-07,5.5598108288300086e-15,0.0767101008455341,1.6031206462487552e+17,2419,1353,2560,0.0,0.3,1e+16,3.987610859447558e+17,7.027276340321419,8.67613768285922,16.910490180674074,results/tcad/t02_dual_gate/t02_c_bidirectional/t02_c_dual_positive_on_proxy_nodes.csv,results/tcad/t02_dual_gate/t02_c_bidirectional/t02_c_dual_positive_on_proxy_current_elements.csv,6
