mesh_level,vgs_v,vds_v,t01_da_abs_drain_current_a_per_cm,t01_db_abs_drain_current_a_per_cm,relative_current_difference,t01_da_center_channel_potential_v,t01_db_center_channel_potential_v,center_channel_potential_difference_v
interface_4x,0.5,0.01,2.1855115458542737e-05,2.1855115458542673e-05,2.9455119609612535e-15,0.07112400196252015,0.07112400196252017,1.3877787807814457e-17
interface_4x,1.0,0.01,3.8002708377239353e-05,3.800270837723992e-05,1.4978041430746847e-14,0.07938253506837786,0.0793825350683778,6.938893903907228e-17
interface_8x,0.5,0.01,2.1851534169256206e-05,2.1851534169256226e-05,9.303141178391297e-16,0.07113603866599988,0.07113603866599988,0.0
interface_8x,1.0,0.01,3.799728751822518e-05,3.7997287518224854e-05,8.560101864893433e-15,0.07941518305215875,0.07941518305215879,4.163336342344337e-17
