point_uid,parameter_group_id,changed_parameter,case_id,r_pair_w_kohm_um,r_pair_ohm,r_source_ohm,r_drain_ohm,execution_mode,circuit_coupled,device_id,curve_kind,curve_id,point_index,mesh_level,stage_id,mode_id,vbg_v,vtg_v,requested_external_source_v,requested_external_vds_v,external_source_v,external_drain_v,external_vds_v,internal_source_v,internal_drain_v,internal_device_vds_v,source_current_a_per_cm,drain_current_a_per_cm,source_current_terminal_a,drain_current_terminal_a,external_source_current_terminal_a,external_drain_current_terminal_a,external_source_current_a_per_cm,external_drain_current_a_per_cm,current_imbalance_a_per_cm,relative_current_imbalance,source_resistor_current_external_to_internal_a,drain_resistor_current_external_to_internal_a,source_voltage_source_current_a,drain_voltage_source_current_a,source_kcl_residual_a,drain_kcl_residual_a,source_kcl_relative_residual,drain_kcl_relative_residual,source_drop_v,drain_drop_v,total_resistor_drop_v,circuit_ohms_law_residual_v,circuit_ohms_law_relative_residual,voltage_partition_residual_v,total_resistor_power_w,circuit_closure_applicable,circuit_solution_list_json,center_channel_potential_v,center_channel_electron_density_cm3,solve_seconds,converged
ideal_control:ideal_control_transfer:010,P3,symmetric_total_source_drain_series_resistance_width_product,ideal_control,0.0,0.0,0.0,0.0,direct_ideal_ohmic_contacts,False,t03_p3_contact_ideal_control_transfer,transfer,ideal_control_transfer,10,interface_4x,T03_P3_CONTACT_RESISTANCE,enabled_symmetric_teaching_top_stack,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.01,-1.1930966936239747e-06,1.1930966936239793e-06,-7.158580161743848e-09,7.158580161743876e-09,-7.158580161743848e-09,7.158580161743876e-09,-1.1930966936239747e-06,1.1930966936239793e-06,4.658681209898652e-21,3.904697108620853e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,[],0.001332691319669748,8792236312879518.0,0.04404483999678632,True
ideal_control:ideal_control_transfer:011,P3,symmetric_total_source_drain_series_resistance_width_product,ideal_control,0.0,0.0,0.0,0.0,direct_ideal_ohmic_contacts,False,t03_p3_contact_ideal_control_transfer,transfer,ideal_control_transfer,11,interface_4x,T03_P3_CONTACT_RESISTANCE,enabled_symmetric_teaching_top_stack,0.0,0.05,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.01,-2.243559487785056e-06,2.243559487785061e-06,-1.3461356926710337e-08,1.3461356926710367e-08,-1.3461356926710337e-08,1.3461356926710367e-08,-2.243559487785056e-06,2.243559487785061e-06,5.082197683525802e-21,2.2652386581214153e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,[],0.017648561760206974,1.6481049918011626e+16,0.046912301004340407,True
ideal_control:ideal_control_transfer:012,P3,symmetric_total_source_drain_series_resistance_width_product,ideal_control,0.0,0.0,0.0,0.0,direct_ideal_ohmic_contacts,False,t03_p3_contact_ideal_control_transfer,transfer,ideal_control_transfer,12,interface_4x,T03_P3_CONTACT_RESISTANCE,enabled_symmetric_teaching_top_stack,0.0,0.1,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.01,-3.700428574078751e-06,3.7004285740787333e-06,-2.2202571444472508e-08,2.22025714444724e-08,-2.2202571444472508e-08,2.22025714444724e-08,-3.7004285740787515e-06,3.7004285740787333e-06,-1.7787691892340307e-20,4.806927504814408e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,[],0.030249531738275284,2.676615586916425e+16,0.04277361799904611,True
ideal_control:ideal_control_transfer:013,P3,symmetric_total_source_drain_series_resistance_width_product,ideal_control,0.0,0.0,0.0,0.0,direct_ideal_ohmic_contacts,False,t03_p3_contact_ideal_control_transfer,transfer,ideal_control_transfer,13,interface_4x,T03_P3_CONTACT_RESISTANCE,enabled_symmetric_teaching_top_stack,0.0,0.15,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.01,-5.462041732526001e-06,5.462041732526012e-06,-3.277225039515601e-08,3.2772250395156074e-08,-3.277225039515601e-08,3.2772250395156074e-08,-5.462041732526001e-06,5.462041732526012e-06,1.1011428314305904e-20,2.015991245312856e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,[],0.039725363314865605,3.854225028782632e+16,0.04323848700005328,True
ideal_control:ideal_control_transfer:014,P3,symmetric_total_source_drain_series_resistance_width_product,ideal_control,0.0,0.0,0.0,0.0,direct_ideal_ohmic_contacts,False,t03_p3_contact_ideal_control_transfer,transfer,ideal_control_transfer,14,interface_4x,T03_P3_CONTACT_RESISTANCE,enabled_symmetric_teaching_top_stack,0.0,0.2,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.01,-7.412956638914872e-06,7.412956638914868e-06,-4.447773983348924e-08,4.447773983348921e-08,-4.447773983348924e-08,4.447773983348921e-08,-7.412956638914872e-06,7.412956638914868e-06,-4.235164736271502e-21,5.713192377301503e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,[],0.04685755866596013,5.071597384095384e+16,0.041897237999364734,True
ideal_control:ideal_control_transfer:015,P3,symmetric_total_source_drain_series_resistance_width_product,ideal_control,0.0,0.0,0.0,0.0,direct_ideal_ohmic_contacts,False,t03_p3_contact_ideal_control_transfer,transfer,ideal_control_transfer,15,interface_4x,T03_P3_CONTACT_RESISTANCE,enabled_symmetric_teaching_top_stack,0.0,0.25,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.01,-9.46269391169945e-06,9.462693911699362e-06,-5.67761634701967e-08,5.677616347019617e-08,-5.67761634701967e-08,5.677616347019617e-08,-9.46269391169945e-06,9.462693911699362e-06,-8.809142651444724e-20,9.309339109609483e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,[],0.052304628007629216,6.254748623536028e+16,0.04024305900384206,True
ideal_control:ideal_control_transfer:016,P3,symmetric_total_source_drain_series_resistance_width_product,ideal_control,0.0,0.0,0.0,0.0,direct_ideal_ohmic_contacts,False,t03_p3_contact_ideal_control_transfer,transfer,ideal_control_transfer,16,interface_4x,T03_P3_CONTACT_RESISTANCE,enabled_symmetric_teaching_top_stack,0.0,0.3,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.01,-1.1549445541373103e-05,1.154944554137312e-05,-6.929667324823862e-08,6.929667324823872e-08,-6.929667324823862e-08,6.929667324823872e-08,-1.1549445541373102e-05,1.154944554137312e-05,1.6940658945086007e-20,1.466794131752919e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,[],0.056544883007083165,7.364012706240109e+16,0.04107808099797694,True
ideal_control:ideal_control_transfer:017,P3,symmetric_total_source_drain_series_resistance_width_product,ideal_control,0.0,0.0,0.0,0.0,direct_ideal_ohmic_contacts,False,t03_p3_contact_ideal_control_transfer,transfer,ideal_control_transfer,17,interface_4x,T03_P3_CONTACT_RESISTANCE,enabled_symmetric_teaching_top_stack,0.0,0.35,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.01,-1.3633155085927871e-05,1.363315508592784e-05,-8.179893051556722e-08,8.179893051556704e-08,-8.179893051556722e-08,8.179893051556704e-08,-1.3633155085927871e-05,1.3633155085927839e-05,-3.049318610115481e-20,2.2366932605813198e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,[],0.05991023918327385,8.382967866404533e+16,0.04194832599750953,True
ideal_control:ideal_control_transfer:018,P3,symmetric_total_source_drain_series_resistance_width_product,ideal_control,0.0,0.0,0.0,0.0,direct_ideal_ohmic_contacts,False,t03_p3_contact_ideal_control_transfer,transfer,ideal_control_transfer,18,interface_4x,T03_P3_CONTACT_RESISTANCE,enabled_symmetric_teaching_top_stack,0.0,0.4,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.01,-1.5688469780507107e-05,1.568846978050712e-05,-9.413081868304264e-08,9.413081868304272e-08,-9.413081868304264e-08,9.413081868304272e-08,-1.5688469780507107e-05,1.568846978050712e-05,1.3552527156068805e-20,8.638527113018876e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,[],0.06262985128503153,9.308615506074048e+16,0.04061974000069313,True
ideal_control:ideal_control_transfer:019,P3,symmetric_total_source_drain_series_resistance_width_product,ideal_control,0.0,0.0,0.0,0.0,direct_ideal_ohmic_contacts,False,t03_p3_contact_ideal_control_transfer,transfer,ideal_control_transfer,19,interface_4x,T03_P3_CONTACT_RESISTANCE,enabled_symmetric_teaching_top_stack,0.0,0.45,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.01,-1.7699657872945445e-05,1.769965787294544e-05,-1.0619794723767267e-07,1.0619794723767263e-07,-1.0619794723767267e-07,1.0619794723767263e-07,-1.7699657872945445e-05,1.769965787294544e-05,-6.776263578034403e-21,3.8284715030521366e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,[],0.06486366097371234,1.0144894339019608e+17,0.0404160099933506,True
