case_id,solve_mode,interface_equation_active,dit_cm2_ev,x_cm,y_cm,x_um,y_nm,potential_r0_v,potential_r1_v,potential_difference_v,devsim_fluxterm_c_per_cm2,physical_qit_c_per_cm2,formula_fluxterm_c_per_cm2
electrostatic_representative_dit_equation,electrostatic,True,3070000000000.0,0.00035,3e-06,3.5,30.0,0.015802595261215822,0.015802595261021502,1.9432025433196998e-13,7.772794507316709e-09,-7.772794507316709e-09,7.772794507316709e-09
electrostatic_representative_dit_equation,electrostatic,True,3070000000000.0,0.000375,3e-06,3.75,30.0,0.015802595261215822,0.015802595261021502,1.9432025433196998e-13,7.772794507316709e-09,-7.772794507316709e-09,7.772794507316709e-09
electrostatic_representative_dit_equation,electrostatic,True,3070000000000.0,0.0004,3e-06,4.0,30.0,0.015802595261215815,0.015802595261021495,1.9432025433196998e-13,7.772794507316706e-09,-7.772794507316706e-09,7.772794507316706e-09
electrostatic_representative_dit_equation,electrostatic,True,3070000000000.0,0.00042500000000000003,3e-06,4.25,30.0,0.01580259526121582,0.0158025952610215,1.9432025433196998e-13,7.772794507316707e-09,-7.772794507316707e-09,7.772794507316707e-09
electrostatic_representative_dit_equation,electrostatic,True,3070000000000.0,0.00045000000000000004,3e-06,4.5,30.0,0.015802595261215812,0.015802595261021492,1.9432025433196998e-13,7.772794507316704e-09,-7.772794507316704e-09,7.772794507316704e-09
electrostatic_representative_dit_equation,electrostatic,True,3070000000000.0,0.000475,3e-06,4.75,30.0,0.01580259526121582,0.0158025952610215,1.9432025433196998e-13,7.772794507316707e-09,-7.772794507316707e-09,7.772794507316707e-09
electrostatic_representative_dit_equation,electrostatic,True,3070000000000.0,0.0005,3e-06,5.0,30.0,0.015802595261215822,0.015802595261021502,1.9432025433196998e-13,7.772794507316709e-09,-7.772794507316709e-09,7.772794507316709e-09
electrostatic_representative_dit_equation,electrostatic,True,3070000000000.0,0.0005250000000000001,3e-06,5.250000000000001,30.0,0.015802595261215812,0.015802595261021492,1.9432025433196998e-13,7.772794507316704e-09,-7.772794507316704e-09,7.772794507316704e-09
electrostatic_representative_dit_equation,electrostatic,True,3070000000000.0,0.0005499999999999999,3e-06,5.499999999999999,30.0,0.015802595261215815,0.0158025952610215,1.9431678488501802e-13,7.772794507316707e-09,-7.772794507316707e-09,7.772794507316707e-09
electrostatic_representative_dit_equation,electrostatic,True,3070000000000.0,0.000575,3e-06,5.75,30.0,0.015802595261215822,0.015802595261021502,1.9432025433196998e-13,7.772794507316709e-09,-7.772794507316709e-09,7.772794507316709e-09
electrostatic_representative_dit_equation,electrostatic,True,3070000000000.0,0.0006000000000000001,3e-06,6.000000000000001,30.0,0.01580259526121582,0.0158025952610215,1.9432025433196998e-13,7.772794507316707e-09,-7.772794507316707e-09,7.772794507316707e-09
electrostatic_representative_dit_equation,electrostatic,True,3070000000000.0,0.000625,3e-06,6.25,30.0,0.015802595261215815,0.015802595261021495,1.9432025433196998e-13,7.772794507316706e-09,-7.772794507316706e-09,7.772794507316706e-09
electrostatic_representative_dit_equation,electrostatic,True,3070000000000.0,0.0006500000000000001,3e-06,6.500000000000001,30.0,0.015802595261215815,0.015802595261021495,1.9432025433196998e-13,7.772794507316706e-09,-7.772794507316706e-09,7.772794507316706e-09
electrostatic_representative_dit_equation,electrostatic,True,3070000000000.0,0.000675,3e-06,6.75,30.0,0.015802595261215812,0.015802595261021492,1.9432025433196998e-13,7.772794507316704e-09,-7.772794507316704e-09,7.772794507316704e-09
