route,case_id,vdd_v,v_top_load_v,v_top_load_over_vdd,wload_over_wdriver,point_count,voh_v,vol_v,vm_v,max_gain_v_per_v,vil_v,vih_v,nml_v,nmh_v,p_static_input_low_w,p_static_input_high_w,monotonic_nonincreasing,logic_separable,unit_gain_crossings,extraction_status,qualified
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,101,0.01722485372974463,0.007695486761690863,0.01483203291821373,0.17986038709508212,,,,,2.047561121630101e-09,2.476281136615169e-09,True,False,0,missing_registered_crossing,False
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,101,0.03033227155394023,0.0142009244186247,0.02434999429225026,0.28380555070545155,,,,,3.054919753531495e-09,4.3579994835045056e-09,True,False,0,missing_registered_crossing,False
ngspice,v100_t050_r0500,0.1,0.05,0.5,0.5,101,0.04753784623576601,0.024620067403451084,0.036515874993694596,0.3425828795544511,,,,,3.864017522239403e-09,6.976808655334991e-09,True,False,0,missing_registered_crossing,False
ngspice,v100_t075_r0125,0.1,0.07500000000000001,0.75,0.125,101,0.0205677939342175,0.009153915855068778,0.017282945879764523,0.2154402801894384,,,,,2.343907123698798e-09,2.9149002716623478e-09,True,False,0,missing_registered_crossing,False
ngspice,v100_t075_r0250,0.1,0.07500000000000001,0.75,0.25,101,0.03570171163091168,0.01678671683148975,0.027914925776945446,0.3244369775499134,,,,,3.360522849600894e-09,5.0527950934073315e-09,True,False,0,missing_registered_crossing,False
ngspice,v100_t075_r0500,0.1,0.07500000000000001,0.75,0.5,101,0.05415082739380082,0.028757121321487448,0.04104495637042634,0.3544213556263137,,,,,4.064075095452903e-09,7.885897760385122e-09,True,False,0,missing_registered_crossing,False
ngspice,v100_t100_r0125,0.1,0.1,1.0,0.125,101,0.02409384419225911,0.010681079310694267,0.019757979727920965,0.2525600667525919,,,,,2.625925365080316e-09,3.3637784748295223e-09,True,False,0,missing_registered_crossing,False
ngspice,v100_t100_r0250,0.1,0.1,1.0,0.25,101,0.041111220886159,0.019469879453394606,0.0314207081745254,0.35834562166341816,,,,,3.616875497690493e-09,5.74220763077611e-09,True,False,0,missing_registered_crossing,False
ngspice,v100_t100_r0500,0.1,0.1,1.0,0.5,101,0.06020728984431952,0.03295157085569528,0.045350060045739105,0.352267900860119,,,,,4.207860189137525e-09,8.73457559136782e-09,True,True,0,missing_registered_crossing,False
ngspice,v200_t050_r0125,0.2,0.1,0.5,0.125,101,0.05484406620254841,0.013442615753535751,0.03653358247230269,0.6412416753039558,,,,,8.164584564082169e-09,1.381713984845334e-08,True,False,0,missing_registered_crossing,False
ngspice,v200_t050_r0250,0.2,0.1,0.5,0.25,101,0.08971366995074496,0.02480572541263635,0.055925441781442584,0.6840117586320443,,,,,9.136722362624058e-09,2.4248758592776635e-08,True,False,0,missing_registered_crossing,False
ngspice,v200_t050_r0500,0.2,0.1,0.5,0.5,101,0.1204825283872796,0.043031669774788214,0.077861206725475,0.5673094618399988,,,,,9.3420105113779e-09,3.852080682447822e-08,True,True,0,missing_registered_crossing,False
ngspice,v200_t075_r0125,0.2,0.15000000000000002,0.75,0.125,101,0.07261049979752857,0.016908454225319974,0.04435391695678284,0.8017534608094207,,,,,8.82685780349593e-09,1.712177744116604e-08,True,False,0,missing_registered_crossing,False
ngspice,v200_t075_r0250,0.2,0.15000000000000002,0.75,0.25,101,0.1109232915437526,0.031123339553248634,0.06654388254070398,0.7094843889243618,,,,,9.305232698681235e-09,2.954216597745235e-08,True,True,0,missing_registered_crossing,False
ngspice,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,101,0.140703652971257,0.0536953288843995,0.09074996397822052,0.5673401244304268,,,,,9.38221878782328e-09,4.5449072001154256e-08,True,True,0,missing_registered_crossing,False
ngspice,v200_t100_r0125,0.2,0.2,1.0,0.125,101,0.0912000246178676,0.020601375449351998,0.052139110625857917,0.8844509306588296,,,,,9.154365413189192e-09,2.052462761329062e-08,True,False,0,missing_registered_crossing,False
ngspice,v200_t100_r0250,0.2,0.2,1.0,0.25,101,0.1297109407704714,0.03786554538330091,0.07676294214656616,0.7197872807275962,,,,,9.365031331834248e-09,3.478682374921993e-08,True,True,0,missing_registered_crossing,False
ngspice,v200_t100_r0500,0.2,0.2,1.0,0.5,101,0.1568002503897712,0.06502168734575782,0.10273646013297111,0.5576555273553764,,,,,9.395715698319438e-09,5.167135002765641e-08,True,True,0,missing_registered_crossing,False
xyce,v100_t050_r0125,0.1,0.05,0.5,0.125,101,0.01722485372974649,0.007695758959272343,0.014832967158095197,0.17851655331073413,,,,,2.04756112163006e-09,2.4762687742492565e-09,True,False,0,missing_registered_crossing,False
xyce,v100_t050_r0250,0.1,0.05,0.5,0.25,101,0.030332271553945744,0.014201395739660411,0.024351109514255873,0.2821613473415994,,,,,3.0549197535313308e-09,4.357960949138679e-09,True,False,0,missing_registered_crossing,False
xyce,v100_t050_r0500,0.1,0.05,0.5,0.5,101,0.047537846235773965,0.024620770646988865,0.036516862464473124,0.34164573624700934,,,,,3.864017522239187e-09,6.976714186483143e-09,True,False,0,missing_registered_crossing,False
xyce,v100_t075_r0125,0.1,0.07500000000000001,0.75,0.125,101,0.020567793934220247,0.009154242334518947,0.01728400230468972,0.21385203472952877,,,,,2.3439071236987245e-09,2.9148837652417045e-09,True,False,0,missing_registered_crossing,False
xyce,v100_t075_r0250,0.1,0.07500000000000001,0.75,0.25,101,0.03570171163091907,0.016787276686304687,0.02791610339369675,0.32278661226570887,,,,,3.3605228496006384e-09,5.052744368851223e-09,True,False,0,missing_registered_crossing,False
xyce,v100_t075_r0500,0.1,0.07500000000000001,0.75,0.5,101,0.05415082739380501,0.02875792152284914,0.04104589240125342,0.35387447649232184,,,,,4.064075095452785e-09,7.885779830446018e-09,True,False,0,missing_registered_crossing,False
xyce,v100_t100_r0125,0.1,0.1,1.0,0.125,101,0.024093844192263004,0.010681463959928238,0.019759145966422965,0.2507443837805635,,,,,2.6259253650801974e-09,3.3637570670364252e-09,True,False,0,missing_registered_crossing,False
xyce,v100_t100_r0250,0.1,0.1,1.0,0.25,101,0.04111122088616815,0.01947053131673527,0.03142192024119463,0.3568418127526604,,,,,3.6168754976901464e-09,5.742142823038087e-09,True,False,0,missing_registered_crossing,False
xyce,v100_t100_r0500,0.1,0.1,1.0,0.5,101,0.06020728984432131,0.03295245203370297,0.04535091051025964,0.35213343396788,,,,,4.207860189137477e-09,8.734434224458273e-09,True,True,0,missing_registered_crossing,False
xyce,v200_t050_r0125,0.2,0.1,0.5,0.125,101,0.05484406620255122,0.013443452255698136,0.03654241873121989,0.6336314902179104,,,,,8.164584564081984e-09,1.3817015021746319e-08,True,False,0,missing_registered_crossing,False
xyce,v200_t050_r0250,0.2,0.1,0.5,0.25,101,0.08971366994397166,0.0248072892871668,0.05593291938497689,0.6832968418769847,,,,,9.136722362821026e-09,2.4248331383091915e-08,True,False,0,missing_registered_crossing,False
xyce,v200_t050_r0500,0.2,0.1,0.5,0.5,101,0.12048252718392319,0.04303433555800455,0.07786541714945588,0.5672256149234153,,,,,9.342010518411234e-09,3.851957362047912e-08,True,True,0,missing_registered_crossing,False
xyce,v200_t075_r0125,0.2,0.15000000000000002,0.75,0.125,101,0.07261049979689192,0.016909553883023627,0.044364145214279345,0.7965340552305646,,,,,8.826857803532827e-09,1.712159522851156e-08,True,False,0,missing_registered_crossing,False
xyce,v200_t075_r0250,0.2,0.15000000000000002,0.75,0.25,101,0.11092329152281988,0.031125454764458972,0.06655119912634835,0.7092809005519457,,,,,9.305232698989082e-09,2.9541528280684063e-08,True,True,0,missing_registered_crossing,False
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,101,0.14070365112410443,0.05369896411984976,0.09075321270370315,0.5672399701054267,,,,,9.382218792750676e-09,4.5447243965143597e-08,True,True,0,missing_registered_crossing,False
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,101,0.09120002461603703,0.02060278361238832,0.0521502708818957,0.8835171227343022,,,,,9.154365413266949e-09,2.0524371612555277e-08,True,False,0,missing_registered_crossing,False
xyce,v200_t100_r0250,0.2,0.2,1.0,0.25,101,0.1297109407485477,0.03786833925255935,0.07676948114821255,0.7195589312309445,,,,,9.365031331999948e-09,3.478590453007212e-08,True,True,0,missing_registered_crossing,False
xyce,v200_t100_r0500,0.2,0.2,1.0,0.5,101,0.15680024958954286,0.06502640484763385,0.10273861602203342,0.5575465799919678,,,,,9.39571569953948e-09,5.166880193706903e-08,True,True,0,missing_registered_crossing,False
