capacitance_ratio,top_relative_permittivity,bottom_relative_permittivity,fixed_relative_permittivity_sum,top_coupling_fraction,family_id,primary_gate,secondary_gate,sweep_direction,sweep_index,mesh_level,stage_id,mode_id,primary_gate_v,fixed_secondary_gate_v,vbg_v,vtg_v,vds_v,source_current_a_per_cm,drain_current_a_per_cm,source_current_terminal_a,drain_current_terminal_a,current_imbalance_a_per_cm,relative_current_imbalance,center_channel_potential_v,center_channel_electron_density_cm3,solve_seconds,converged
0.5,4.533333333333333,9.066666666666666,13.6,0.3333333333333333,top_primary,top_gate,bottom_gate,forward,13,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,0.15,0.0,0.0,0.15,0.01,-3.9824386682924765e-06,3.982438668292457e-06,-2.389463200975486e-08,2.3894632009754744e-08,-1.9481757786848908e-20,4.891916589189299e-15,0.03187116086812892,2.84836820337593e+16,0.040231108001535176,True
0.5,4.533333333333333,9.066666666666666,13.6,0.3333333333333333,top_primary,top_gate,bottom_gate,forward,14,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,0.2,0.0,0.0,0.2,0.01,-5.2506542794109705e-06,5.250654279410983e-06,-3.1503925676465825e-08,3.15039256764659e-08,1.2705494208814505e-20,2.419792569210975e-15,0.03850039011686509,3.675934054676094e+16,0.0386551129995496,True
0.5,4.533333333333333,9.066666666666666,13.6,0.3333333333333333,top_primary,top_gate,bottom_gate,forward,15,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,0.25,0.0,0.0,0.25,0.01,-6.613482917702478e-06,6.613482917702443e-06,-3.968089750621487e-08,3.9680897506214656e-08,-3.5575383784680614e-20,5.37922063568881e-15,0.043864703227343586,4.518734689976896e+16,0.03709371100012504,True
0.5,4.533333333333333,9.066666666666666,13.6,0.3333333333333333,top_primary,top_gate,bottom_gate,forward,16,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,0.3,0.0,0.0,0.3,0.01,-8.034199316552253e-06,8.034199316552203e-06,-4.8205195899313515e-08,4.8205195899313223e-08,-4.912791094074942e-20,6.1148484130254155e-15,0.04824285841834704,5.3481087207549704e+16,0.03906097900107852,True
0.5,4.533333333333333,9.066666666666666,13.6,0.3333333333333333,top_primary,top_gate,bottom_gate,forward,17,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,0.35,0.0,0.0,0.35,0.01,-9.485326670591065e-06,9.485326670591092e-06,-5.691196002354639e-08,5.691196002354655e-08,2.710505431213761e-20,2.8575773142506353e-15,0.05185536881739126,6.1460730175986e+16,0.042808694999621366,True
0.5,4.533333333333333,9.066666666666666,13.6,0.3333333333333333,top_primary,top_gate,bottom_gate,forward,18,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,0.4,0.0,0.0,0.4,0.01,-1.0947071306334247e-05,1.0947071306334063e-05,-6.568242783800549e-08,6.568242783800438e-08,-1.8465318250143747e-19,1.686781581431671e-14,0.054870538340801654,6.902670756321334e+16,0.040664045000085025,True
0.5,4.533333333333333,9.066666666666666,13.6,0.3333333333333333,top_primary,top_gate,bottom_gate,forward,19,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,0.45,0.0,0.0,0.45,0.01,-1.2405438087965407e-05,1.2405438087965297e-05,-7.443262852779244e-08,7.443262852779178e-08,-1.1011428314305904e-19,8.87629137820466e-15,0.05741537624284356,7.613383014874224e+16,0.03821902399977262,True
0.5,4.533333333333333,9.066666666666666,13.6,0.3333333333333333,top_primary,top_gate,bottom_gate,forward,20,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,0.5,0.0,0.0,0.5,0.01,-1.3850640818323193e-05,1.3850640818323288e-05,-8.310384490993916e-08,8.310384490993973e-08,9.486769009248164e-20,6.849335805963525e-15,0.059585816067741264,8.277140161898733e+16,0.033310167000308866,True
0.5,4.533333333333333,9.066666666666666,13.6,0.3333333333333333,top_primary,top_gate,bottom_gate,forward,21,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,0.55,0.0,0.0,0.55,0.01,-1.527590617823233e-05,1.5275906178232683e-05,-9.165543706939399e-08,9.16554370693961e-08,3.5236570605778894e-19,2.306676291059515e-14,0.06145482184971762,8.89494216466864e+16,0.03299492499900225,True
0.5,4.533333333333333,9.066666666666666,13.6,0.3333333333333333,top_primary,top_gate,bottom_gate,forward,22,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,0.6,0.0,0.0,0.6,0.01,-1.667661249070399e-05,1.6676612490704044e-05,-1.0005967494422394e-07,1.0005967494422427e-07,5.421010862427522e-20,3.2506666839259637e-15,0.06307842842786245,9.468951708934109e+16,0.032211227000516374,True
