state_id,state_label,parameter_group_id,case_id,r_pair_w_kohm_um,r_pair_ohm,mesh_level,stage_id,vbg_v,vtg_v,external_vds_v,internal_source_v,internal_drain_v,internal_device_vds_v,absolute_external_drain_current_a_per_cm,absolute_external_drain_current_terminal_a,relative_current_imbalance,source_kcl_relative_residual,drain_kcl_relative_residual,circuit_ohms_law_relative_residual,voltage_partition_residual_v,center_channel_potential_v,center_channel_electron_density_cm3,node_row_count,channel_node_count,channel_element_count,minimum_potential_v,maximum_potential_v,minimum_electron_density_cm3,maximum_electron_density_cm3,minimum_cell_current_density_magnitude_a_per_cm2,median_cell_current_density_magnitude_a_per_cm2,maximum_cell_current_density_magnitude_a_per_cm2,node_csv,element_csv,vtk_file_count
contact_ideal_control_output_vtg_1p0_vds_0p2,"ideal_control at VTG=1.0 V, external VDS=0.2 V",P3,ideal_control,0.0,0.0,interface_4x,T03_P3_CONTACT_RESISTANCE,0.0,1.0,0.2,0.0,0.2,0.2,0.0005748690048001235,3.449214028800741e-06,9.429993297885926e-16,0.0,0.0,0.0,0.0,0.16677904600954305,1.1261521939241883e+17,2419,1353,2560,0.0,1.0,1e+16,3.493105639159464e+18,11.162563494048785,88.64268623648279,2028.2414803865809,results/tcad/t03_sensitivity/p3_contact_resistance/t03_p3_contact_ideal_control_output_vtg_1p0_vds_0p2_nodes.csv,results/tcad/t03_sensitivity/p3_contact_resistance/t03_p3_contact_ideal_control_output_vtg_1p0_vds_0p2_current_elements.csv,6
contact_literature_low_magnitude_proxy_output_vtg_1p0_vds_0p2,"literature_low_magnitude_proxy at VTG=1.0 V, external VDS=0.2 V",P3,literature_low_magnitude_proxy,0.5,8.333333333333334,interface_4x,T03_P3_CONTACT_RESISTANCE,0.0,1.0,0.2,1.4369846635225835e-05,0.1999856301533648,0.19997126030672957,0.0005747938654088179,3.448763192452908e-06,1.1317471229940486e-15,1.2280242219987507e-15,3.747929925540191e-13,1.873277269206127e-13,0.0,0.1667779810972617,1.1261571578222502e+17,2419,1353,2560,0.0,1.0,1e+16,3.4930545204504243e+18,11.162032501553083,88.63152538375769,2027.9741989478694,results/tcad/t03_sensitivity/p3_contact_resistance/t03_p3_contact_literature_low_magnitude_proxy_output_vtg_1p0_vds_0p2_nodes.csv,results/tcad/t03_sensitivity/p3_contact_resistance/t03_p3_contact_literature_low_magnitude_proxy_output_vtg_1p0_vds_0p2_current_elements.csv,6
contact_literature_high_magnitude_proxy_output_vtg_1p0_vds_0p2,"literature_high_magnitude_proxy at VTG=1.0 V, external VDS=0.2 V",P3,literature_high_magnitude_proxy,4.5,75.0,interface_4x,T03_P3_CONTACT_RESISTANCE,0.0,1.0,0.2,0.00012919350597605155,0.19987080649402397,0.19974161298804793,0.0005741933598935045,3.445160159361027e-06,1.1329307319260683e-15,2.458617039770116e-16,1.017867454464827e-13,5.0352476974494515e-14,0.0,0.1667694760651961,1.126196802565885e+17,2419,1353,2560,0.0,1.0,1e+16,3.4926459199641697e+18,11.157780865281529,88.54232385028232,2025.838134030882,results/tcad/t03_sensitivity/p3_contact_resistance/t03_p3_contact_literature_high_magnitude_proxy_output_vtg_1p0_vds_0p2_nodes.csv,results/tcad/t03_sensitivity/p3_contact_resistance/t03_p3_contact_literature_high_magnitude_proxy_output_vtg_1p0_vds_0p2_current_elements.csv,6
