family_id,primary_gate,secondary_gate,sweep_direction,sweep_index,mesh_level,stage_id,mode_id,primary_gate_v,fixed_secondary_gate_v,vbg_v,vtg_v,vds_v,source_current_a_per_cm,drain_current_a_per_cm,source_current_terminal_a,drain_current_terminal_a,current_imbalance_a_per_cm,relative_current_imbalance,center_channel_potential_v,center_channel_electron_density_cm3,solve_seconds,converged
top_primary,top_gate,bottom_gate,forward,13,interface_4x,T03_P1_SECONDARY_BIAS,enabled_symmetric_teaching_top_stack,0.15,-0.4,-0.4,0.15,0.01,-2.9154881322031025e-08,2.915488132204154e-08,-1.7492928793218614e-10,1.7492928793224924e-10,1.0515119946774088e-20,3.6066413135506386e-13,-0.11433635189011221,100733836994759.62,0.03886052300003939,True
top_primary,top_gate,bottom_gate,forward,14,interface_4x,T03_P1_SECONDARY_BIAS,enabled_symmetric_teaching_top_stack,0.2,-0.4,-0.4,0.2,0.01,-8.471756336804317e-08,8.471756336805487e-08,-5.08305380208259e-10,5.083053802083292e-10,1.1699642583950023e-20,1.381017361550049e-13,-0.0897545716757207,260590360092552.4,0.03822540900000604,True
top_primary,top_gate,bottom_gate,forward,15,interface_4x,T03_P1_SECONDARY_BIAS,enabled_symmetric_teaching_top_stack,0.25,-0.4,-0.4,0.25,0.01,-2.390440661156313e-07,2.390440661156421e-07,-1.434264396693788e-09,1.4342643966938527e-09,1.079967007749233e-20,4.517857419756148e-14,-0.06592470052590005,654428307485042.1,0.046222260998547426,True
top_primary,top_gate,bottom_gate,forward,16,interface_4x,T03_P1_SECONDARY_BIAS,enabled_symmetric_teaching_top_stack,0.3,-0.4,-0.4,0.3,0.01,-6.248556957008031e-07,6.248556957008021e-07,-3.749134174204819e-09,3.749134174204813e-09,-1.0587911840678754e-21,1.6944571224247137e-15,-0.04389525570063449,1531328856224678.2,0.045700491000388865,True
top_primary,top_gate,bottom_gate,forward,17,interface_4x,T03_P1_SECONDARY_BIAS,enabled_symmetric_teaching_top_stack,0.35,-0.4,-0.4,0.35,0.01,-1.4167540490071869e-06,1.416754049007224e-06,-8.500524294043122e-09,8.500524294043343e-09,3.705769144237564e-20,2.615675703792302e-14,-0.025163070256531382,3150941328863176.0,0.0483167330003198,True
top_primary,top_gate,bottom_gate,forward,18,interface_4x,T03_P1_SECONDARY_BIAS,enabled_symmetric_teaching_top_stack,0.4,-0.4,-0.4,0.4,0.01,-2.682047435020928e-06,2.68204743502091e-06,-1.6092284610125568e-08,1.609228461012546e-08,-1.8211208365967457e-20,6.790039627254152e-15,-0.010611105838642025,5515021334061416.0,0.04476651099867013,True
top_primary,top_gate,bottom_gate,forward,19,interface_4x,T03_P1_SECONDARY_BIAS,enabled_symmetric_teaching_top_stack,0.45,-0.4,-0.4,0.45,0.01,-4.314165138619244e-06,4.3141651386191714e-06,-2.5884990831715465e-08,2.5884990831715028e-08,-7.284483346386983e-20,1.6885035950938107e-14,0.00015323531433007514,8342916758824046.0,0.045623148000231595,True
top_primary,top_gate,bottom_gate,forward,20,interface_4x,T03_P1_SECONDARY_BIAS,enabled_symmetric_teaching_top_stack,0.5,-0.4,-0.4,0.5,0.01,-6.151552088611305e-06,6.151552088611102e-06,-3.690931253166783e-08,3.690931253166661e-08,-2.0328790734103208e-19,3.304660424112961e-14,0.008106945957600396,1.132898649408056e+16,0.039195549999931245,True
top_primary,top_gate,bottom_gate,forward,21,interface_4x,T03_P1_SECONDARY_BIAS,enabled_symmetric_teaching_top_stack,0.55,-0.4,-0.4,0.55,0.01,-8.070844667847545e-06,8.070844667847702e-06,-4.842506800708527e-08,4.842506800708621e-08,1.5754812818929986e-19,1.9520649284322568e-14,0.014118549886961507,1.4277982847318532e+16,0.04172396299873071,True
top_primary,top_gate,bottom_gate,forward,22,interface_4x,T03_P1_SECONDARY_BIAS,enabled_symmetric_teaching_top_stack,0.6,-0.4,-0.4,0.6,0.01,-9.997120476855949e-06,9.997120476856045e-06,-5.998272286113569e-08,5.998272286113627e-08,9.656175598699024e-20,9.658956917698121e-15,0.01879158629661207,1.709237160916475e+16,0.04417691699927673,True
top_primary,top_gate,bottom_gate,forward,23,interface_4x,T03_P1_SECONDARY_BIAS,enabled_symmetric_teaching_top_stack,0.65,-0.4,-0.4,0.65,0.01,-1.1888642369188673e-05,1.1888642369188466e-05,-7.133185421513204e-08,7.13318542151308e-08,-2.0667603913004928e-19,1.7384326377390528e-14,0.022520619289589032,1.973204792003858e+16,0.03858610600036627,True
top_primary,top_gate,bottom_gate,forward,24,interface_4x,T03_P1_SECONDARY_BIAS,enabled_symmetric_teaching_top_stack,0.7,-0.4,-0.4,0.7,0.01,-1.3723287490349632e-05,1.3723287490349964e-05,-8.23397249420978e-08,8.233972494209978e-08,3.3203691532368573e-19,2.4195143879130256e-14,0.025564321534377696,2.2186517620718816e+16,0.04239328800031217,True
top_primary,top_gate,bottom_gate,forward,25,interface_4x,T03_P1_SECONDARY_BIAS,enabled_symmetric_teaching_top_stack,0.75,-0.4,-0.4,0.75,0.01,-1.5490128461903555e-05,1.549012846190396e-05,-9.294077077142133e-08,9.294077077142375e-08,4.0318768289304696e-19,2.602868555187498e-14,0.028096324382141713,2.4459648843744548e+16,0.03923300199858204,True
top_primary,top_gate,bottom_gate,forward,26,interface_4x,T03_P1_SECONDARY_BIAS,enabled_symmetric_teaching_top_stack,0.8,-0.4,-0.4,0.8,0.01,-1.7184615992613837e-05,1.718461599261438e-05,-1.0310769595568303e-07,1.0310769595568628e-07,5.421010862427522e-19,3.15457201066196e-14,0.03023656032766828,2.656181675039121e+16,0.04250440899886598,True
top_primary,top_gate,bottom_gate,forward,27,interface_4x,T03_P1_SECONDARY_BIAS,enabled_symmetric_teaching_top_stack,0.85,-0.4,-0.4,0.85,0.01,-1.8805847403667213e-05,1.880584740366827e-05,-1.1283508442200328e-07,1.1283508442200962e-07,1.0570971181733668e-18,5.621108666271372e-14,0.03207022713436514,2.850592573931042e+16,0.04466881000007561,True
top_primary,top_gate,bottom_gate,forward,28,interface_4x,T03_P1_SECONDARY_BIAS,enabled_symmetric_teaching_top_stack,0.9,-0.4,-0.4,0.9,0.01,-2.0354998027730306e-05,2.0354998027730763e-05,-1.2212998816638184e-07,1.221299881663846e-07,4.573977915173222e-19,2.2471030991709424e-14,0.03365942099550988,3.030541881928021e+16,0.03951127700020152,True
top_primary,top_gate,bottom_gate,forward,29,interface_4x,T03_P1_SECONDARY_BIAS,enabled_symmetric_teaching_top_stack,0.95,-0.4,-0.4,0.95,0.01,-2.1834404241991858e-05,2.1834404241991753e-05,-1.3100642545195114e-07,1.3100642545195053e-07,-1.0503208545953324e-19,4.810393922154096e-15,0.035050448022240645,3.197330845562752e+16,0.037889541999902576,True
top_primary,top_gate,bottom_gate,forward,30,interface_4x,T03_P1_SECONDARY_BIAS,enabled_symmetric_teaching_top_stack,1.0,-0.4,-0.4,1.0,0.01,-2.3247018675229507e-05,2.324701867522862e-05,-1.3948211205137704e-07,1.3948211205137171e-07,-8.876905287225068e-19,3.8185134236949334e-14,0.036278544613616244,3.3521736365988784e+16,0.043170841001483495,True
top_primary,top_gate,bottom_gate,forward,0,interface_4x,T03_P1_SECONDARY_BIAS,enabled_symmetric_teaching_top_stack,-0.5,-0.2,-0.2,-0.5,0.01,-2.9978673583193913e-12,2.9978673618514873e-12,-1.7987204149916347e-14,1.7987204171108925e-14,3.532095950724807e-21,1.1782028770423584e-09,-0.3391173997450324,16871204733.287018,0.04092263600068691,True
