mesh_level,vgs_v,vds_v,t01_db_abs_drain_current_a_per_cm,t01_dc_abs_drain_current_a_per_cm,relative_current_difference,t01_db_center_channel_potential_v,t01_dc_center_channel_potential_v,center_channel_potential_difference_v
interface_4x,0.5,0.01,2.1855115458542673e-05,2.185511545854263e-05,2.0153502890787582e-15,0.07112400196252017,0.07112400196252018,1.3877787807814457e-17
interface_4x,1.0,0.01,3.800270837723992e-05,3.8002708377239875e-05,1.248170119228904e-15,0.0793825350683778,0.07938253506837781,1.3877787807814457e-17
interface_8x,0.5,0.01,2.1851534169256226e-05,2.1851534169256098e-05,5.891989412981156e-15,0.07113603866599988,0.07113603866599989,1.3877787807814457e-17
interface_8x,1.0,0.01,3.7997287518224854e-05,3.7997287518224915e-05,1.6050190996675298e-15,0.07941518305215879,0.07941518305215879,0.0
