stage_id,mode_id,mesh_level,vbg_v,vtg_v,vds_v,source_current_a_per_cm,drain_current_a_per_cm,source_current_terminal_a,drain_current_terminal_a,current_imbalance_a_per_cm,relative_current_imbalance,center_channel_potential_v,center_channel_electron_density_cm3,solve_seconds,converged
T02_B_MINIMAL_TOP_GATE,enabled_symmetric_teaching_top_stack,interface_4x,0.0,0.0,0.01,-1.1930966936239753e-06,1.1930966936239768e-06,-7.158580161743852e-09,7.158580161743861e-09,1.4823076576950256e-21,1.242403625470274e-15,0.0013326913196697481,8792236312879518.0,0.032148302998393774,True
T02_B_MINIMAL_TOP_GATE,enabled_symmetric_teaching_top_stack,interface_4x,0.0,0.1,0.01,-3.700428574078727e-06,3.7004285740787383e-06,-2.2202571444472362e-08,2.2202571444472432e-08,1.1434944787933055e-20,3.0901676816664153e-15,0.03024953173827528,2.676615586916425e+16,0.05211851400235901,True
T02_B_MINIMAL_TOP_GATE,enabled_symmetric_teaching_top_stack,interface_4x,0.0,0.2,0.01,-7.4129566389147605e-06,7.412956638914865e-06,-4.447773983348856e-08,4.447773983348919e-08,1.0418505251227894e-19,1.4054453248161712e-14,0.04685755866596012,5.071597384095385e+16,0.05080522500065854,True
T02_B_MINIMAL_TOP_GATE,enabled_symmetric_teaching_top_stack,interface_4x,0.0,0.3,0.01,-1.1549445541373237e-05,1.154944554137314e-05,-6.929667324823942e-08,6.929667324823884e-08,-9.656175598699024e-20,8.360726550991553e-15,0.056544883007083165,7.364012706240109e+16,0.04554897599882679,True
