route,case_id,vdd_v,v_top_load_v,v_top_load_over_vdd,wload_over_wdriver,vin_fraction,vin_v,vout_v,supply_current_a,static_power_w,finite
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.36,0.036,0.012212016104620532,2.26778654338634e-08,2.26778654338634e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.37,0.037,0.012107059379609701,2.272523486875161e-08,2.272523486875161e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.38,0.038000000000000006,0.012003591115967351,2.277198295949021e-08,2.2771982959490213e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.39,0.03900000000000001,0.011901586887715492,2.281811859391036e-08,2.2818118593910363e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.4,0.04000000000000001,0.011801022672073681,2.286365055456953e-08,2.286365055456953e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.41000000000000003,0.04100000000000001,0.011701874844511781,2.290858751838319e-08,2.290858751838319e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.42,0.042,0.011604120173732921,2.295293805636985e-08,2.2952938056369855e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.43,0.043000000000000003,0.011507735816598261,2.299671063350213e-08,2.299671063350213e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.44,0.044000000000000004,0.011412699313003202,2.30399136086572e-08,2.3039913608657205e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.45,0.045000000000000005,0.011318988580714721,2.308255523466063e-08,2.3082555234660633e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.46,0.046000000000000006,0.011226581910178531,2.312464365841733e-08,2.312464365841733e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.47000000000000003,0.04700000000000001,0.011135457959304332,2.316618692112403e-08,2.3166186921124034e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.48,0.048,0.011045595748236603,2.320719295855787e-08,2.320719295855787e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.49,0.049,0.010956974654118204,2.324766960143587e-08,2.324766960143587e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.5,0.05,0.010869574405853101,2.328762457584062e-08,2.328762457584062e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.51,0.051000000000000004,0.010783375078874611,2.332706550370724e-08,2.332706550370724e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.52,0.052000000000000005,0.010698357089924221,2.336599990336754e-08,2.336599990336754e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.53,0.053000000000000005,0.010614501191846851,2.340443519014697e-08,2.3404435190146974e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.54,0.054000000000000006,0.010531788468406652,2.344237867701053e-08,2.344237867701053e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.55,0.05500000000000001,0.010450200329128282,2.347983757525386e-08,2.347983757525386e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.56,0.05600000000000001,0.010369718504167331,2.351681899523596e-08,2.351681899523596e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.5700000000000001,0.05700000000000001,0.010290325039213732,2.355332994715035e-08,2.3553329947150352e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.58,0.057999999999999996,0.010212002290431371,2.358937734183115e-08,2.358937734183115e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.59,0.059,0.010134732919437471,2.362496799159143e-08,2.362496799159143e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.6,0.06,0.010058499888323722,2.366010861109085e-08,2.3660108611090853e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.61,0.061,0.009983286454722465,2.369480581822992e-08,2.3694805818229924e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.62,0.062,0.00990907616691988,2.372906613506829e-08,2.372906613506829e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.63,0.063,0.009835852859018121,2.376289598876485e-08,2.3762895988764854e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.64,0.064,0.009763600646148592,2.379630171253729e-08,2.3796301712537292e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.65,0.065,0.009692303919737789,2.382928954663897e-08,2.3829289546638972e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.66,0.066,0.00962194734282701,2.386186563935108e-08,2.386186563935108e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.67,0.067,0.009552515845447715,2.389403604798845e-08,2.3894036047988453e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.68,0.068,0.00948399462005317,2.392580673991692e-08,2.392580673991692e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.6900000000000001,0.069,0.009416369117007493,2.395718359358073e-08,2.3957183593580733e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.7000000000000001,0.07,0.009349625040133194,2.398817239953853e-08,2.398817239953853e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.71,0.071,0.009283748342317375,2.401877886150621e-08,2.401877886150621e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.72,0.072,0.009218725221177698,2.404900859740555e-08,2.404900859740555e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.73,0.073,0.009154542114788276,2.407886714041695e-08,2.407886714041695e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.74,0.074,0.009091185697465833,2.410835994003555e-08,2.410835994003555e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.75,0.07500000000000001,0.009028642875616612,2.413749236312916e-08,2.4137492363129162e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.76,0.07600000000000001,0.008966900783643815,2.416626969499719e-08,2.416626969499719e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.77,0.07700000000000001,0.008905946779916053,2.419469714042936e-08,2.419469714042936e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.78,0.07800000000000001,0.008845768442796656,2.422277982476364e-08,2.4222779824763642e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.79,0.07900000000000001,0.00878635356673353,2.425052279494214e-08,2.4250522794942145e-09,True
