row_index,row_uid,curve_id,split,kind,topology,selection_role,primary_axis_v,vds_v,ngspice_current_a_per_cm,xyce_current_a_per_cm,absolute_difference_a_per_cm,log_difference_dec
30,train_t01_single_idvg_l10:030,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,0.2,0.01,1.0208528919573316e-32,8.6903684423212757e-06,8.6903684423212757e-06,14.939038189460748
31,train_t01_single_idvg_l10:031,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,0.225,0.01,1.0208528919573316e-32,9.4939583255123673e-06,9.4939583255123673e-06,14.977447321016243
32,train_t01_single_idvg_l10:032,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,0.25,0.01,1.0208528919573316e-32,1.0271257533827911e-05,1.0271257533827911e-05,15.011623618530901
33,train_t01_single_idvg_l10:033,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,0.275,0.01,1.0208528919573316e-32,1.1023079621238914e-05,1.1023079621238914e-05,15.042302944394468
34,train_t01_single_idvg_l10:034,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,0.3,0.01,1.0208528919573316e-32,1.175112652232194e-05,1.175112652232194e-05,15.070079502265354
35,train_t01_single_idvg_l10:035,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,0.325,0.01,1.0208528919573316e-32,1.2457494508081496e-05,1.2457494508081496e-05,15.095430704383297
36,train_t01_single_idvg_l10:036,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,0.35,0.01,1.0208528919573316e-32,1.3144364293803414e-05,1.3144364293803414e-05,15.118739586990928
37,train_t01_single_idvg_l10:037,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,0.375,0.01,1.0208528919573316e-32,1.3813823262374508e-05,1.3813823262374508e-05,15.140313895229813
38,train_t01_single_idvg_l10:038,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,0.4,0.01,1.0208528919573316e-32,1.4467775633109624e-05,1.4467775633109624e-05,15.160401765084192
39,train_t01_single_idvg_l10:039,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,0.425,0.01,1.0208528919573316e-32,1.5107907529900152e-05,1.5107907529900152e-05,15.179204318002389
40,train_t01_single_idvg_l10:040,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,0.45,0.01,1.0208528919573316e-32,1.5735684095559413e-05,1.5735684095559413e-05,15.196885628245006
41,train_t01_single_idvg_l10:041,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,0.475,0.01,1.0208528919573316e-32,1.6352363736922139e-05,1.6352363736922139e-05,15.213580538874215
42,train_t01_single_idvg_l10:042,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,0.5,0.01,1.0208528919573316e-32,1.6959020240564963e-05,1.6959020240564963e-05,15.229400758509897
43,train_t01_single_idvg_l10:043,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,0.525,0.01,1.0208528919573316e-32,1.7556567299768853e-05,1.7556567299768853e-05,15.244439605618973
