row_index,row_uid,curve_id,dataset_id,split,kind,topology,selection_role,optimizer_input,vbg_v,vtg_v,vds_v,primary_axis_v,target_current_a_per_cm,model_current_a_per_cm,w_um,l_um,temperature_k,route,source_current_a,current_a_per_cm,finite_current
0,train_t01_single_idvg_l10:000,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,-1.0,0.0,0.01,-1.0,1.4396342722143404e-22,6.090616787629208e-23,60.0,10.0,300.0,ngspice,-6.1251173517439891e-35,1.0208528919573316e-32,True
1,train_t01_single_idvg_l10:001,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,-0.75,0.0,0.01,-0.75,7.28621303081562e-19,9.438626763607024e-19,60.0,10.0,300.0,ngspice,-6.1251173517439891e-35,1.0208528919573316e-32,True
2,train_t01_single_idvg_l10:002,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,-0.5,0.0,0.01,-0.5,1.1489829793277076e-14,1.4626772846592984e-14,60.0,10.0,300.0,ngspice,-6.1251173517439891e-35,1.0208528919573316e-32,True
3,train_t01_single_idvg_l10:003,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,-0.475,0.0,0.01,-0.475,3.020301716978869e-14,3.8385517487351805e-14,60.0,10.0,300.0,ngspice,-6.1251173517439891e-35,1.0208528919573316e-32,True
4,train_t01_single_idvg_l10:004,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,-0.45,0.0,0.01,-0.45,7.939207664878849e-14,1.0073535295956633e-13,60.0,10.0,300.0,ngspice,-6.1251173517439891e-35,1.0208528919573316e-32,True
5,train_t01_single_idvg_l10:005,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,-0.425,0.0,0.01,-0.425,2.0868566979241513e-13,2.6435577556783514e-13,60.0,10.0,300.0,ngspice,-6.1251173517439891e-35,1.0208528919573316e-32,True
6,train_t01_single_idvg_l10:006,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,-0.4,0.0,0.01,-0.4,5.485228773872765e-13,6.937171027664065e-13,60.0,10.0,300.0,ngspice,-6.1251173517439891e-35,1.0208528919573316e-32,True
7,train_t01_single_idvg_l10:007,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,-0.375,0.0,0.01,-0.375,1.4417207234939495e-12,1.8203412899771125e-12,60.0,10.0,300.0,ngspice,-6.1251173517439891e-35,1.0208528919573316e-32,True
8,train_t01_single_idvg_l10:008,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,-0.35,0.0,0.01,-0.35,3.789208143029197e-12,4.776203460274061e-12,60.0,10.0,300.0,ngspice,-6.1251173517439891e-35,1.0208528919573316e-32,True
9,train_t01_single_idvg_l10:009,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,-0.325,0.0,0.01,-0.325,9.958456145131035e-12,1.2529748297859826e-11,60.0,10.0,300.0,ngspice,-6.1251173517439891e-35,1.0208528919573316e-32,True
