family_id,primary_gate,secondary_gate,sweep_direction,sweep_index,mesh_level,stage_id,mode_id,primary_gate_v,fixed_secondary_gate_v,vbg_v,vtg_v,vds_v,source_current_a_per_cm,drain_current_a_per_cm,source_current_terminal_a,drain_current_terminal_a,current_imbalance_a_per_cm,relative_current_imbalance,center_channel_potential_v,center_channel_electron_density_cm3,solve_seconds,converged
top_primary,top_gate,bottom_gate,forward,16,interface_4x,T02_C_BIDIRECTIONAL,enabled_symmetric_teaching_top_stack,0.3,-0.3,-0.3,0.3,0.01,-2.034572195113059e-06,2.0345721951130514e-06,-1.2207433170678354e-08,1.2207433170678309e-08,-7.623296525288703e-21,3.746879340826284e-15,-0.005273306769229157,6790762243916133.0,0.05292274200473912,True
top_primary,top_gate,bottom_gate,forward,17,interface_4x,T02_C_BIDIRECTIONAL,enabled_symmetric_teaching_top_stack,0.35,-0.3,-0.3,0.35,0.01,-3.5195696351103263e-06,3.5195696351103623e-06,-2.1117417810661958e-08,2.1117417810662173e-08,3.5998900258307764e-20,1.022821082986726e-14,0.007195379914897825,1.0969154804403766e+16,0.05309435399976792,True
top_primary,top_gate,bottom_gate,forward,18,interface_4x,T02_C_BIDIRECTIONAL,enabled_symmetric_teaching_top_stack,0.4,-0.3,-0.3,0.4,0.01,-5.301579556318107e-06,5.3015795563180085e-06,-3.180947733790864e-08,3.180947733790805e-08,-9.825582188149884e-20,1.8533310844011274e-14,0.01636073681426477,1.5604720161605046e+16,0.04414631200052099,True
top_primary,top_gate,bottom_gate,forward,19,interface_4x,T02_C_BIDIRECTIONAL,enabled_symmetric_teaching_top_stack,0.45,-0.3,-0.3,0.45,0.01,-7.235406713421257e-06,7.235406713421363e-06,-4.3412440280527545e-08,4.341244028052818e-08,1.0587911840678754e-19,1.4633471565653166e-14,0.023180823956883454,2.0286690525543956e+16,0.043474792000779416,True
top_primary,top_gate,bottom_gate,forward,20,interface_4x,T02_C_BIDIRECTIONAL,enabled_symmetric_teaching_top_stack,0.5,-0.3,-0.3,0.5,0.01,-9.22205039634488e-06,9.222050396344935e-06,-5.5332302378069284e-08,5.533230237806961e-08,5.421010862427522e-20,5.8783140727316825e-15,0.02838761551236972,2.478832196540853e+16,0.04129582400491927,True
top_primary,top_gate,bottom_gate,forward,21,interface_4x,T02_C_BIDIRECTIONAL,enabled_symmetric_teaching_top_stack,0.55,-0.3,-0.3,0.55,0.01,-1.1202627874488703e-05,1.1202627874488718e-05,-6.721576724693222e-08,6.721576724693231e-08,1.5246593050577406e-20,1.3609836211107077e-15,0.032471396408680755,2.9009103091895868e+16,0.042525078999460675,True
top_primary,top_gate,bottom_gate,forward,22,interface_4x,T02_C_BIDIRECTIONAL,enabled_symmetric_teaching_top_stack,0.6,-0.3,-0.3,0.6,0.01,-1.3143940753370244e-05,1.314394075337021e-05,-7.886364452022146e-08,7.886364452022126e-08,-3.3881317890172014e-20,2.5777138322450586e-15,0.03575294034074123,3.291696621106566e+16,0.04586867299803998,True
top_primary,top_gate,bottom_gate,forward,23,interface_4x,T02_C_BIDIRECTIONAL,enabled_symmetric_teaching_top_stack,0.65,-0.3,-0.3,0.65,0.01,-1.5027986809913638e-05,1.5027986809913586e-05,-9.016792085948183e-08,9.016792085948152e-08,-5.251604272976662e-20,3.494549429277042e-15,0.03844510863126469,3.651354352114199e+16,0.044620279004448093,True
top_primary,top_gate,bottom_gate,forward,24,interface_4x,T02_C_BIDIRECTIONAL,enabled_symmetric_teaching_top_stack,0.7,-0.3,-0.3,0.7,0.01,-1.6845634089939832e-05,1.6845634089939916e-05,-1.01073804539639e-07,1.010738045396395e-07,8.470329472543003e-20,5.02820459432953e-15,0.04069283547577506,3.981583171987661e+16,0.043862149002961814,True
top_primary,top_gate,bottom_gate,forward,25,interface_4x,T02_C_BIDIRECTIONAL,enabled_symmetric_teaching_top_stack,0.75,-0.3,-0.3,0.75,0.01,-1.8592954897320166e-05,1.8592954897320427e-05,-1.11557729383921e-07,1.1155772938392256e-07,2.608861477543245e-19,1.4031451654407166e-14,0.04259757609143719,4.284691485563029e+16,0.04314566500397632,True
top_primary,top_gate,bottom_gate,forward,26,interface_4x,T02_C_BIDIRECTIONAL,enabled_symmetric_teaching_top_stack,0.8,-0.3,-0.3,0.8,0.01,-2.0269094200370098e-05,2.026909420036998e-05,-1.216145652022206e-07,1.2161456520221988e-07,-1.1858461261560205e-19,5.850513665945506e-15,0.04423224008146742,4.563137449381354e+16,0.044017448999511544,True
top_primary,top_gate,bottom_gate,forward,27,interface_4x,T02_C_BIDIRECTIONAL,enabled_symmetric_teaching_top_stack,0.85,-0.3,-0.3,0.85,0.01,-2.1875009588984425e-05,2.187500958898435e-05,-1.3125005753390655e-07,1.312500575339061e-07,-7.453889935837843e-20,3.407491048411421e-15,0.045650484999679344,4.819309240117171e+16,0.042381166997074615,True
top_primary,top_gate,bottom_gate,forward,28,interface_4x,T02_C_BIDIRECTIONAL,enabled_symmetric_teaching_top_stack,0.9,-0.3,-0.3,0.9,0.01,-2.341271231109967e-05,2.3412712311099538e-05,-1.4047627386659804e-07,1.4047627386659724e-07,-1.3213713977167085e-19,5.6438202467053045e-15,0.04689264584762329,5.055427343891454e+16,0.04291301800549263,True
top_primary,top_gate,bottom_gate,forward,29,interface_4x,T02_C_BIDIRECTIONAL,enabled_symmetric_teaching_top_stack,0.95,-0.3,-0.3,0.95,0.01,-2.4884802481758417e-05,2.488480248175771e-05,-1.493088148905505e-07,1.4930881489054626e-07,-7.081195439045951e-19,2.8455903735771095e-14,0.047989617572337696,5.273508864917195e+16,0.04320110099797603,True
top_primary,top_gate,bottom_gate,forward,30,interface_4x,T02_C_BIDIRECTIONAL,enabled_symmetric_teaching_top_stack,1.0,-0.3,-0.3,1.0,0.01,-2.6294180931493914e-05,2.629418093149221e-05,-1.577650855889635e-07,1.5776508558895326e-07,-1.7042302898756523e-18,6.481397136179308e-14,0.04896546135361403,5.4753628457213656e+16,0.03417282499867724,True
