region,x_um,y_um,potential_v,mesh_level,top_gate_v,bottom_gate_v
bottom_oxide,2.5,0.03,0.3930817610062894,fine,1.0,0.0
bottom_oxide,2.75,0.0,0.0,fine,1.0,0.0
bottom_oxide,2.75,0.005,0.06551362683438156,fine,1.0,0.0
bottom_oxide,2.75,0.01,0.13102725366876314,fine,1.0,0.0
bottom_oxide,2.75,0.015,0.19654088050314467,fine,1.0,0.0
bottom_oxide,2.75,0.02,0.2620545073375263,fine,1.0,0.0
bottom_oxide,2.75,0.024999999999999998,0.3275681341719078,fine,1.0,0.0
bottom_oxide,2.75,0.03,0.39308176100628933,fine,1.0,0.0
bottom_oxide,3.0,0.0,0.0,fine,1.0,0.0
bottom_oxide,3.0,0.005,0.06551362683438156,fine,1.0,0.0
bottom_oxide,3.0,0.01,0.1310272536687631,fine,1.0,0.0
bottom_oxide,3.0,0.015,0.19654088050314467,fine,1.0,0.0
bottom_oxide,3.0,0.02,0.2620545073375262,fine,1.0,0.0
bottom_oxide,3.0,0.024999999999999998,0.3275681341719078,fine,1.0,0.0
bottom_oxide,3.0,0.03,0.39308176100628933,fine,1.0,0.0
bottom_oxide,3.25,0.0,0.0,fine,1.0,0.0
bottom_oxide,3.25,0.005,0.06551362683438157,fine,1.0,0.0
bottom_oxide,3.25,0.01,0.13102725366876314,fine,1.0,0.0
bottom_oxide,3.25,0.015,0.1965408805031447,fine,1.0,0.0
bottom_oxide,3.25,0.02,0.2620545073375263,fine,1.0,0.0
bottom_oxide,3.25,0.024999999999999998,0.3275681341719078,fine,1.0,0.0
bottom_oxide,3.25,0.03,0.3930817610062894,fine,1.0,0.0
bottom_oxide,3.5,0.0,0.0,fine,1.0,0.0
bottom_oxide,3.5,0.005,0.06551362683438156,fine,1.0,0.0
bottom_oxide,3.5,0.01,0.1310272536687631,fine,1.0,0.0
bottom_oxide,3.5,0.015,0.19654088050314467,fine,1.0,0.0
bottom_oxide,3.5,0.02,0.2620545073375262,fine,1.0,0.0
bottom_oxide,3.5,0.024999999999999998,0.3275681341719078,fine,1.0,0.0
bottom_oxide,3.5,0.03,0.39308176100628933,fine,1.0,0.0
bottom_oxide,3.75,0.0,0.0,fine,1.0,0.0
bottom_oxide,3.75,0.005,0.06551362683438156,fine,1.0,0.0
bottom_oxide,3.75,0.01,0.1310272536687631,fine,1.0,0.0
bottom_oxide,3.75,0.015,0.19654088050314467,fine,1.0,0.0
bottom_oxide,3.75,0.02,0.2620545073375262,fine,1.0,0.0
bottom_oxide,3.75,0.024999999999999998,0.3275681341719078,fine,1.0,0.0
bottom_oxide,3.75,0.03,0.39308176100628933,fine,1.0,0.0
bottom_oxide,4.0,0.0,0.0,fine,1.0,0.0
bottom_oxide,4.0,0.005,0.06551362683438156,fine,1.0,0.0
bottom_oxide,4.0,0.01,0.1310272536687631,fine,1.0,0.0
bottom_oxide,4.0,0.015,0.19654088050314467,fine,1.0,0.0
bottom_oxide,4.0,0.02,0.2620545073375262,fine,1.0,0.0
bottom_oxide,4.0,0.024999999999999998,0.3275681341719077,fine,1.0,0.0
bottom_oxide,4.0,0.03,0.39308176100628933,fine,1.0,0.0
bottom_oxide,4.25,0.0,0.0,fine,1.0,0.0
bottom_oxide,4.25,0.005,0.06551362683438157,fine,1.0,0.0
bottom_oxide,4.25,0.01,0.13102725366876314,fine,1.0,0.0
bottom_oxide,4.25,0.015,0.1965408805031447,fine,1.0,0.0
bottom_oxide,4.25,0.02,0.2620545073375263,fine,1.0,0.0
bottom_oxide,4.25,0.024999999999999998,0.3275681341719078,fine,1.0,0.0
bottom_oxide,4.25,0.03,0.3930817610062894,fine,1.0,0.0
bottom_oxide,4.5,0.0,0.0,fine,1.0,0.0
bottom_oxide,4.5,0.005,0.06551362683438157,fine,1.0,0.0
bottom_oxide,4.5,0.01,0.13102725366876314,fine,1.0,0.0
bottom_oxide,4.5,0.015,0.1965408805031447,fine,1.0,0.0
bottom_oxide,4.5,0.02,0.2620545073375263,fine,1.0,0.0
bottom_oxide,4.5,0.024999999999999998,0.3275681341719078,fine,1.0,0.0
bottom_oxide,4.5,0.03,0.3930817610062894,fine,1.0,0.0
bottom_oxide,4.75,0.0,0.0,fine,1.0,0.0
bottom_oxide,4.75,0.005,0.06551362683438156,fine,1.0,0.0
bottom_oxide,4.75,0.01,0.1310272536687631,fine,1.0,0.0
bottom_oxide,4.75,0.015,0.19654088050314464,fine,1.0,0.0
bottom_oxide,4.75,0.02,0.2620545073375262,fine,1.0,0.0
bottom_oxide,4.75,0.024999999999999998,0.3275681341719077,fine,1.0,0.0
bottom_oxide,4.75,0.03,0.39308176100628933,fine,1.0,0.0
bottom_oxide,5.0,0.0,0.0,fine,1.0,0.0
bottom_oxide,5.0,0.005,0.06551362683438157,fine,1.0,0.0
bottom_oxide,5.0,0.01,0.13102725366876314,fine,1.0,0.0
bottom_oxide,5.0,0.015,0.1965408805031447,fine,1.0,0.0
bottom_oxide,5.0,0.02,0.2620545073375263,fine,1.0,0.0
bottom_oxide,5.0,0.024999999999999998,0.32756813417190783,fine,1.0,0.0
bottom_oxide,5.0,0.03,0.3930817610062894,fine,1.0,0.0
bottom_oxide,5.25,0.0,0.0,fine,1.0,0.0
bottom_oxide,5.25,0.005,0.06551362683438156,fine,1.0,0.0
bottom_oxide,5.25,0.01,0.1310272536687631,fine,1.0,0.0
bottom_oxide,5.25,0.015,0.19654088050314467,fine,1.0,0.0
bottom_oxide,5.25,0.02,0.2620545073375262,fine,1.0,0.0
bottom_oxide,5.25,0.024999999999999998,0.3275681341719077,fine,1.0,0.0
bottom_oxide,5.25,0.03,0.39308176100628933,fine,1.0,0.0
bottom_oxide,5.5,0.0,0.0,fine,1.0,0.0
bottom_oxide,5.5,0.005,0.06551362683438156,fine,1.0,0.0
bottom_oxide,5.5,0.01,0.1310272536687631,fine,1.0,0.0
bottom_oxide,5.5,0.015,0.19654088050314467,fine,1.0,0.0
