family,electron_density_cm3,gauss_legendre_integral_ev,simpson_reference_integral_ev,relative_error,order
tail,1000000000000.0,0.0005228562505379284,0.000522855835968451,7.928944251344545e-07,96
tail,1e+16,0.010217988731807936,0.010217988724593138,7.060879002488494e-10,96
tail,1e+20,0.07815023145935576,0.07815023145935339,3.0365894902954226e-14,96
deep,1000000000000.0,0.2524748181666935,0.25247474631232575,2.846002175786551e-07,96
deep,1e+16,0.34897750722675186,0.34897750722297377,1.0826167516823531e-11,96
deep,1e+20,0.35440719284061484,0.35440719284061495,3.1326198989546165e-16,96
