row_index,row_uid,curve_id,dataset_id,split,kind,topology,selection_role,optimizer_input,vbg_v,vtg_v,vds_v,primary_axis_v,target_current_a_per_cm,model_current_a_per_cm,w_um,l_um,temperature_k,route,source_current_a,current_a_per_cm,finite_current
20,train_t01_single_idvg_l10:020,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,-0.05,0.0,0.01,-0.05,3.274565428440231e-07,3.571205247784301e-07,60.0,10.0,300.0,ngspice,-6.8083484482328931e-09,1.1347247413721488e-06,True
21,train_t01_single_idvg_l10:021,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,-0.025,0.0,0.01,-0.025,6.796881577291168e-07,7.541181738920138e-07,60.0,10.0,300.0,ngspice,-9.582278343890877e-09,1.5970463906484794e-06,True
22,train_t01_single_idvg_l10:022,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,0.0,0.0,0.01,0.0,1.2325117540658298e-06,1.4441717838661932e-06,60.0,10.0,300.0,ngspice,-1.301395717634004e-08,2.1689928627233399e-06,True
23,train_t01_single_idvg_l10:023,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,0.025,0.0,0.01,0.025,1.9684998969818886e-06,2.475358582784314e-06,60.0,10.0,300.0,ngspice,-1.705610331782325e-08,2.8426838863038749e-06,True
24,train_t01_single_idvg_l10:024,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,0.05,0.0,0.01,0.05,2.8429456554713332e-06,3.8005620697684004e-06,60.0,10.0,300.0,ngspice,-2.1603904719205721e-08,3.6006507865342869e-06,True
25,train_t01_single_idvg_l10:025,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,0.075,0.0,0.01,0.075,3.8123876142556255e-06,5.298478058243962e-06,60.0,10.0,300.0,ngspice,-2.651711775088092e-08,4.4195196251468197e-06,True
26,train_t01_single_idvg_l10:026,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,0.1,0.0,0.01,0.1,4.844135552338161e-06,6.842230639348292e-06,60.0,10.0,300.0,ngspice,-3.1647785984543023e-08,5.2746309974238375e-06,True
27,train_t01_single_idvg_l10:027,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,0.125,0.0,0.01,0.125,5.915463943365446e-06,8.347466754912412e-06,60.0,10.0,300.0,ngspice,-3.6863483639229053e-08,6.1439139398715084e-06,True
28,train_t01_single_idvg_l10:028,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,0.15,0.0,0.01,0.15,7.010740648763861e-06,9.777153263366206e-06,60.0,10.0,300.0,ngspice,-4.2060606930525708e-08,7.010101155087618e-06,True
29,train_t01_single_idvg_l10:029,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,0.175,0.0,0.01,0.175,8.119053455514625e-06,1.1124985953421532e-05,60.0,10.0,300.0,ngspice,-4.7167728858517068e-08,7.8612881430861783e-06,True
30,train_t01_single_idvg_l10:030,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,0.2,0.0,0.01,0.2,9.232616560278914e-06,1.2398748931457746e-05,60.0,10.0,300.0,ngspice,-5.2142210653927367e-08,8.6903684423212283e-06,True
31,train_t01_single_idvg_l10:031,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,0.225,0.0,0.01,0.225,1.0345754808769341e-05,1.3610274568746628e-05,60.0,10.0,300.0,ngspice,-5.696374995307403e-08,9.4939583255123385e-06,True
