state_id,state_label,vtg_v,vbg_v,vds_v,source_current_a_per_cm,drain_current_a_per_cm,relative_current_imbalance,center_channel_potential_v,center_channel_electron_density_cm3,node_row_count,state_csv,state_csv_sha256,vtk_file_count
top_gate_zero_reference,VTG=0 V reference at fixed VDS and VBG,0.0,0.0,0.01,-1.1930966936239753e-06,1.1930966936239768e-06,1.242403625470274e-15,0.0013326913196697481,8792236312879518.0,2419,results/tcad/t02_dual_gate/t02_b_minimal_bias/t02_b_top_gate_zero_reference_nodes.csv,bbe31adad1c7d5a96cc6fceed53a480132fa395a7b731dac41c93221ba8dfbc1,6
top_gate_positive_endpoint,VTG=0.3 V positive endpoint at fixed VDS and VBG,0.3,0.0,0.01,-1.1549445541373237e-05,1.154944554137314e-05,8.360726550991553e-15,0.056544883007083165,7.364012706240109e+16,2419,results/tcad/t02_dual_gate/t02_b_minimal_bias/t02_b_top_gate_positive_endpoint_nodes.csv,6c6e07779adbc2c53f6a28fd9c8c33a5e8e0624fc4c8b34ea6395b453a55bb7d,6
