dit_cm2_ev,is_zero_control,family_id,primary_gate,secondary_gate,sweep_direction,sweep_index,mesh_level,stage_id,mode_id,primary_gate_v,fixed_secondary_gate_v,vbg_v,vtg_v,vds_v,source_current_a_per_cm,drain_current_a_per_cm,source_current_terminal_a,drain_current_terminal_a,current_imbalance_a_per_cm,relative_current_imbalance,center_channel_potential_v,center_channel_electron_density_cm3,solve_seconds,converged
0.0,True,top_primary,top_gate,bottom_gate,forward,20,interface_4x,T03_P2_DIT_FORMAL,enabled_symmetric_teaching_top_stack,0.5,0.0,0.0,0.5,0.01,-1.965725697832039e-05,1.9657256978320098e-05,-1.1794354186992233e-07,1.1794354186992059e-07,-2.913793338554793e-19,1.4822990520846118e-14,0.066725187703265,1.0898877096719963e+17,0.03537459000654053,True
0.0,True,top_primary,top_gate,bottom_gate,forward,21,interface_4x,T03_P2_DIT_FORMAL,enabled_symmetric_teaching_top_stack,0.55,0.0,0.0,0.55,0.01,-2.155591042715199e-05,2.155591042715182e-05,-1.2933546256291194e-07,1.293354625629109e-07,-1.6940658945086007e-19,7.858939200149684e-15,0.0682964942120616,1.1578688929258678e+17,0.03537684099865146,True
0.0,True,top_primary,top_gate,bottom_gate,forward,22,interface_4x,T03_P2_DIT_FORMAL,enabled_symmetric_teaching_top_stack,0.6,0.0,0.0,0.6,0.01,-2.3392967118616967e-05,2.3392967118617238e-05,-1.403578027117018e-07,1.4035780271170343e-07,2.710505431213761e-19,1.1586838973738444e-14,0.06963798865793097,1.2192435109110224e+17,0.036082147002161946,True
0.0,True,top_primary,top_gate,bottom_gate,forward,23,interface_4x,T03_P2_DIT_FORMAL,enabled_symmetric_teaching_top_stack,0.65,0.0,0.0,0.65,0.01,-2.5167565654035183e-05,2.5167565654034624e-05,-1.510053939242111e-07,1.5100539392420775e-07,-5.590417451878382e-19,2.2212785808237498e-14,0.07079490921126312,1.274769258296556e+17,0.03517365200241329,True
0.0,True,top_primary,top_gate,bottom_gate,forward,24,interface_4x,T03_P2_DIT_FORMAL,enabled_symmetric_teaching_top_stack,0.7,0.0,0.0,0.7,0.01,-2.6880027442441277e-05,2.6880027442442047e-05,-1.6128016465464766e-07,1.612801646546523e-07,7.691059161069047e-19,2.861254207250287e-14,0.07180167864808575,1.3251305666177562e+17,0.03529056599654723,True
0.0,True,top_primary,top_gate,bottom_gate,forward,25,interface_4x,T03_P2_DIT_FORMAL,enabled_symmetric_teaching_top_stack,0.75,0.0,0.0,0.75,0.01,-2.85314494905187e-05,2.8531449490519663e-05,-1.711886969431122e-07,1.7118869694311798e-07,9.622294280808852e-19,3.372522059913611e-14,0.07268487779972853,1.3709339733937157e+17,0.03511496900318889,True
0.0,True,top_primary,top_gate,bottom_gate,forward,26,interface_4x,T03_P2_DIT_FORMAL,enabled_symmetric_teaching_top_stack,0.8,0.0,0.0,0.8,0.01,-3.012342820263897e-05,3.012342820263873e-05,-1.807405692158338e-07,1.807405692158324e-07,-2.371692252312041e-19,7.873248145455995e-15,0.07346531051699728,1.4127112492585208e+17,0.035769460002484266,True
0.0,True,top_primary,top_gate,bottom_gate,forward,27,interface_4x,T03_P2_DIT_FORMAL,enabled_symmetric_teaching_top_stack,0.85,0.0,0.0,0.85,0.01,-3.165787043737222e-05,3.165787043737322e-05,-1.899472226242333e-07,1.899472226242393e-07,1.0028870095490916e-18,3.167891572280707e-14,0.07415946144285523,1.4509259459244374e+17,0.03438174499751767,True
0.0,True,top_primary,top_gate,bottom_gate,forward,28,interface_4x,T03_P2_DIT_FORMAL,enabled_symmetric_teaching_top_stack,0.9,0.0,0.0,0.9,0.01,-3.3136863501807014e-05,3.313686350180507e-05,-1.988211810108421e-07,1.9882118101083043e-07,-1.9447876468958736e-18,5.868955119393907e-14,0.07478054131688958,1.4859810845960803e+17,0.03568851699674269,True
0.0,True,top_primary,top_gate,bottom_gate,forward,29,interface_4x,T03_P2_DIT_FORMAL,enabled_symmetric_teaching_top_stack,0.95,0.0,0.0,0.95,0.01,-3.456258546147579e-05,3.456258546147611e-05,-2.073755127688547e-07,2.0737551276885667e-07,3.2526065174565133e-19,9.410773164183302e-15,0.07533924759837274,1.518226833779193e+17,0.03389403600158403,True
0.0,True,top_primary,top_gate,bottom_gate,forward,30,interface_4x,T03_P2_DIT_FORMAL,enabled_symmetric_teaching_top_stack,1.0,0.0,0.0,1.0,0.01,-3.593724333278649e-05,3.593724333278673e-05,-2.1562345999671894e-07,2.156234599967204e-07,2.439454888092385e-19,6.7880968651448835e-15,0.07584432558886496,1.5479676378982486e+17,0.03295438000350259,True
