vgs_v,vds_v,coarse_abs_drain_current_a_per_cm,fine_abs_drain_current_a_per_cm,relative_current_difference,log10_current_difference_decades,coarse_center_channel_potential_v,fine_center_channel_potential_v,center_channel_potential_difference_v
-1.0,0.01,1.5052437967109648e-22,1.4393730277021347e-22,0.043760863956231646,0.019433485885954838,-0.9769319048287611,-0.9769319048287611,0.0
-0.5,0.01,1.202234818519294e-14,1.1487748527893323e-14,0.04446715808464472,0.019754381536756682,-0.476931905014861,-0.4769319050150263,1.653122083666858e-13
0.0,0.01,1.235458390516603e-06,1.2324883699791723e-06,0.0024039826514826996,0.0010452933376683404,0.002198991124526311,0.0021923645933357577,6.626531190553377e-06
0.1,0.01,4.619338754154418e-06,4.8469678762677804e-06,0.04696320007151344,0.020890329479917646,0.03754230670684667,0.03760075049716299,5.8443790316317634e-05
0.2,0.01,8.414929785335686e-06,9.245197537947333e-06,0.08980530153128416,0.04086569841926302,0.05311521723650709,0.05331185247518088,0.00019663523867378963
0.3,0.01,1.1948973446527943e-05,1.3673428971089396e-05,0.12611726935559323,0.058546842938911325,0.0616070069938306,0.06194863117812196,0.00034162418429135866
0.5,0.01,1.7875978850995357e-05,2.191632644088681e-05,0.18435332220430123,0.08849792839533421,0.07042982773589626,0.07093583476999778,0.000506007034101516
1.0,0.01,2.7609767940764428e-05,3.808578147525413e-05,0.27506363605264056,0.13970011480759403,0.07876574861835714,0.07909518322772541,0.00032943460936826763
