mesh_role,mesh_level,constant_current_criterion_terminal_a,constant_current_criterion_a_per_cm,vth_proxy_v,vth_bracket_lower_vgs_v,vth_bracket_upper_vgs_v,vth_bracket_lower_current_a_per_cm,vth_bracket_upper_current_a_per_cm,ss_proxy_mv_per_dec,ss_fit_point_count,ss_fit_r_squared,ss_fit_slope_dec_per_v,ss_fit_intercept,ss_fit_vgs_min_v,ss_fit_vgs_max_v,ss_window_min_current_a_per_cm,ss_window_max_current_a_per_cm,physical_oxide_capacitance_f_per_cm2,mobility_gm_lower_vgs_v,mobility_gm_upper_vgs_v,gm_at_mobility_point_s_per_cm,mobility_proxy_cm2_vs,configured_transport_mobility_cm2_vs,mobility_proxy_to_configured_ratio,maximum_sampled_gm_s_per_cm,maximum_sampled_gm_vgs_v,minimum_abs_drain_current_a_per_cm,maximum_abs_drain_current_a_per_cm,numerical_current_span_ratio,numerical_current_span_decades,parameter_claim_status
production,interface_4x,6e-08,1e-05,0.2175349093826012,0.2,0.225,9.232616560278914e-06,1.0345754808769341e-05,59.60806717441677,12,0.9999997259885728,16.77625273562285,-5.549824162446146,-0.425,-0.15,1e-13,1e-08,2.0069492375679998e-07,0.475,0.525,3.8480973487629664e-05,19.17386487276604,35.5,0.5401088696553814,4.4534027065094304e-05,0.2,1.4396342722143404e-22,3.8002708377239875e-05,2.6397474074291715e+17,17.42156237201832,NUMERICAL_PROXY_NOT_PHYSICALLY_VALIDATED
reference,interface_8x,6e-08,1e-05,0.21755189228562863,0.2,0.225,9.231968722219097e-06,1.034492338792612e-05,59.60806732290207,12,0.9999997259834749,16.776252693832753,-5.549820253449497,-0.425,-0.15,1e-13,1e-08,2.0069492375679998e-07,0.475,0.525,3.8470764729562385e-05,19.16877816809201,35.5,0.539965582199775,4.45271151793027e-05,0.2,1.4396473314773006e-22,3.7997287518224915e-05,2.6393469211125357e+17,17.421496478519586,NUMERICAL_PROXY_NOT_PHYSICALLY_VALIDATED
