mesh_role,mesh_level,curve_id,vgs_v,point_count,zero_vds_abs_drain_current_a_per_cm,endpoint_abs_drain_current_a_per_cm,low_field_segment_conductance_s_per_cm,high_field_segment_conductance_s_per_cm,high_to_low_segment_conductance_ratio,minimum_segment_conductance_s_per_cm,maximum_segment_conductance_s_per_cm,maximum_relative_current_drop,monotonic_nondecreasing
production,interface_4x,interface_4x_vgs_0p000,0.0,5,0.0,5.190756321362378e-06,0.00012325117540658336,2.0057019589650202e-06,0.016273288691556666,2.0057019589650202e-06,0.00012325117540658336,0.0,True
production,interface_4x,interface_4x_vgs_0p300,0.3,5,2.2441845460684357e-20,0.00018944387581659394,0.0013645454981973525,0.0007280080566171487,0.5335168798540552,0.0007280080566171487,0.0013645454981973525,0.0,True
production,interface_4x,interface_4x_vgs_0p500,0.5,5,1.486014091315591e-20,0.0003561717502476149,0.002185511545854266,0.0015615684515778892,0.714509358021949,0.0015615684515778892,0.002185511545854266,0.0,True
production,interface_4x,interface_4x_vgs_1p000,1.0,5,3.379165716833452e-19,0.0006652668981208667,0.0038002708377239585,0.003039958319629325,0.7999320178584964,0.003039958319629325,0.0038002708377239585,0.0,True
reference,interface_8x,interface_8x_vgs_0p500,0.5,5,3.8142866332747964e-20,0.00035612461887168115,0.002185153416925619,0.0015613994534985837,0.7145491210843127,0.0015613994534985837,0.002185153416925619,0.0,True
reference,interface_8x,interface_8x_vgs_1p000,1.0,5,2.1415558363296188e-19,0.0006651956102619077,0.0037997287518224637,0.0030397241515344384,0.7999845120724725,0.0030397241515344384,0.0037997287518224637,0.0,True
