mesh_role,mesh_level,refinement_factor,node_count_with_interface_duplicates,element_count,curve_count,dc_solve_count,reported_bias_point_count,total_solve_seconds,wall_seconds
production,interface_4x,4.0,1394,2560,4,41,20,0.807436281000264,0.8547769830001926
reference,interface_8x,8.0,2378,4480,2,24,10,0.9034465719851141,0.9299556580008357
