state_id,state_label,source_family,mesh_level,stage_id,vbg_v,vtg_v,vds_v,region,element_index,node0_index,node1_index,node2_index,x0_cm,y0_cm,x1_cm,y1_cm,x2_cm,y2_cm,centroid_x_cm,centroid_y_cm,centroid_x_um,centroid_y_nm,electron_current_density_x_en0_a_per_cm2,electron_current_density_x_en1_a_per_cm2,electron_current_density_x_en2_a_per_cm2,electron_current_density_y_en0_a_per_cm2,electron_current_density_y_en1_a_per_cm2,electron_current_density_y_en2_a_per_cm2,electron_current_density_x_a_per_cm2,electron_current_density_y_a_per_cm2,electron_current_density_magnitude_a_per_cm2,mean_element_node_current_density_magnitude_a_per_cm2,maximum_element_node_current_density_magnitude_a_per_cm2,projection_method
p1_ratio_0p50_common_primary,P1 Ctop/Cbottom=0.50 common-primary proxy,top_primary,interface_4x,T03_P1_CAPACITANCE_RATIO,0.0,0.3,0.01,channel,11,6,7,8,0.0,3.225e-06,2.5e-05,3.225e-06,0.0,3.3e-06,8.333333333333334e-06,3.25e-06,0.08333333333333334,32.5,-2.688862035199304,-2.6888620351993624,-2.688862035199362,-5.844470537248793e-14,0.0,0.0,-2.6888620351993424,-1.9481568457495977e-14,2.6888620351993424,2.6888620351993424,2.6888620351993624,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_ratio_0p50_common_primary,P1 Ctop/Cbottom=0.50 common-primary proxy,top_primary,interface_4x,T03_P1_CAPACITANCE_RATIO,0.0,0.3,0.01,channel,12,7,8,9,2.5e-05,3.225e-06,0.0,3.3e-06,2.5e-05,3.3e-06,1.6666666666666667e-05,3.275e-06,0.16666666666666669,32.75,-2.7210255519687077,-2.7210255519687077,-2.688990004798132,-0.010620985772090205,-0.010620985772090205,-0.04265653294266604,-2.710347036245183,-0.02129950149561548,2.7104307269596486,2.7104736277025907,2.7210462803497815,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_ratio_0p50_common_primary,P1 Ctop/Cbottom=0.50 common-primary proxy,top_primary,interface_4x,T03_P1_CAPACITANCE_RATIO,0.0,0.3,0.01,channel,13,7,9,69,2.5e-05,3.225e-06,2.5e-05,3.3e-06,5e-05,3.225e-06,3.3333333333333335e-05,3.25e-06,0.33333333333333337,32.5,-1.724379182278536,-1.6988362984907897,-1.6988362984907899,0.014921898015655808,-0.010620985772090205,-0.010620985772090205,-1.707350593086705,-0.0021066911761748676,1.7073518928039513,1.7073942473952661,1.7244437443175644,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_ratio_0p50_common_primary,P1 Ctop/Cbottom=0.50 common-primary proxy,top_primary,interface_4x,T03_P1_CAPACITANCE_RATIO,0.0,0.3,0.01,channel,14,7,68,69,2.5e-05,3.225e-06,5e-05,3.1500000000000003e-06,5e-05,3.225e-06,4.1666666666666665e-05,3.2e-06,0.41666666666666663,32.0,-1.6988362984907894,-1.6988362984907897,-1.6743904402426177,-4.496018802276735e-06,-4.496018802276735e-06,-0.024450354266974426,-1.6906876790747323,-0.00815311543485966,1.690707337615354,1.690747182121707,1.6988362984967391,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_ratio_0p50_common_primary,P1 Ctop/Cbottom=0.50 common-primary proxy,top_primary,interface_4x,T03_P1_CAPACITANCE_RATIO,0.0,0.3,0.01,channel,15,8,9,10,0.0,3.3e-06,2.5e-05,3.3e-06,0.0,3.3750000000000003e-06,8.333333333333334e-06,3.325e-06,0.08333333333333334,33.25,-2.7210255519687836,-2.7210255519687077,-2.7210255519687077,7.615522215202974e-14,0.0,0.0,-2.721025551968733,2.5385074050676582e-14,2.721025551968733,2.721025551968733,2.7210255519687836,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_ratio_0p50_common_primary,P1 Ctop/Cbottom=0.50 common-primary proxy,top_primary,interface_4x,T03_P1_CAPACITANCE_RATIO,0.0,0.3,0.01,channel,16,9,10,11,2.5e-05,3.3e-06,0.0,3.3750000000000003e-06,2.5e-05,3.3750000000000003e-06,1.6666666666666667e-05,3.35e-06,0.16666666666666669,33.5,-2.7544800695424168,-2.7544800695424168,-2.721166091433215,-0.013532510034306803,-0.013532510034306803,-0.046846488143508884,-2.7433754101726833,-0.02463716940404083,2.743486036278731,2.743531976424242,2.7545133113372726,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_ratio_0p50_common_primary,P1 Ctop/Cbottom=0.50 common-primary proxy,top_primary,interface_4x,T03_P1_CAPACITANCE_RATIO,0.0,0.3,0.01,channel,17,9,11,70,2.5e-05,3.3e-06,2.5e-05,3.3750000000000003e-06,5e-05,3.3e-06,3.3333333333333335e-05,3.325e-06,0.33333333333333337,33.25,-1.7777284258198724,-1.7505174558432608,-1.7505174558432608,0.01367845994230481,-0.013532510034306803,-0.013532510034306803,-1.759587779168798,-0.004462186708769599,1.7595934370502768,1.7596401908955386,1.777781048451804,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_ratio_0p50_common_primary,P1 Ctop/Cbottom=0.50 common-primary proxy,top_primary,interface_4x,T03_P1_CAPACITANCE_RATIO,0.0,0.3,0.01,channel,18,9,69,70,2.5e-05,3.3e-06,5e-05,3.225e-06,5e-05,3.3e-06,4.1666666666666665e-05,3.275e-06,0.41666666666666663,32.75,-1.7505174558432608,-1.7505174558432608,-1.7245020109475253,-5.546751765778092e-06,-5.546751765778092e-06,-0.02602099164750137,-1.7418456408780159,-0.008677361717010975,1.7418672547734841,1.7419110755684712,1.7505174558520487,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_ratio_0p50_common_primary,P1 Ctop/Cbottom=0.50 common-primary proxy,top_primary,interface_4x,T03_P1_CAPACITANCE_RATIO,0.0,0.3,0.01,channel,19,10,11,12,0.0,3.3750000000000003e-06,2.5e-05,3.3750000000000003e-06,0.0,3.45e-06,8.333333333333334e-06,3.4e-06,0.08333333333333334,34.0,-2.7544800695424527,-2.7544800695424168,-2.7544800695424168,3.5421033559083595e-14,0.0,0.0,-2.754480069542429,1.1807011186361198e-14,2.754480069542429,2.754480069542429,2.7544800695424527,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_ratio_0p50_common_primary,P1 Ctop/Cbottom=0.50 common-primary proxy,top_primary,interface_4x,T03_P1_CAPACITANCE_RATIO,0.0,0.3,0.01,channel,20,11,12,13,2.5e-05,3.3750000000000003e-06,0.0,3.45e-06,2.5e-05,3.45e-06,1.6666666666666667e-05,3.4250000000000002e-06,0.16666666666666669,34.25,-2.789291980655785,-2.789291980655785,-2.7546331836131697,-0.01637922652983749,-0.01637922652983749,-0.051038023572452955,-2.7777390483082467,-0.02793215887737598,2.7778794837062235,2.777928701073177,2.7893400711301566,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
