state_id,state_label,source_family,mesh_level,stage_id,vbg_v,vtg_v,vds_v,region,element_index,node0_index,node1_index,node2_index,x0_cm,y0_cm,x1_cm,y1_cm,x2_cm,y2_cm,centroid_x_cm,centroid_y_cm,centroid_x_um,centroid_y_nm,electron_current_density_x_en0_a_per_cm2,electron_current_density_x_en1_a_per_cm2,electron_current_density_x_en2_a_per_cm2,electron_current_density_y_en0_a_per_cm2,electron_current_density_y_en1_a_per_cm2,electron_current_density_y_en2_a_per_cm2,electron_current_density_x_a_per_cm2,electron_current_density_y_a_per_cm2,electron_current_density_magnitude_a_per_cm2,mean_element_node_current_density_magnitude_a_per_cm2,maximum_element_node_current_density_magnitude_a_per_cm2,projection_method
p2_bulk_nta_5e19_common_primary,NTA 5e19 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,11,6,7,8,0.0,3.225e-06,2.5e-05,3.225e-06,0.0,3.3e-06,8.333333333333334e-06,3.25e-06,0.08333333333333334,32.5,-0.03118191425956346,-0.031181914259569968,-0.031181914259569964,-6.506539465296509e-15,0.0,0.0,-0.0311819142595678,-2.1688464884321697e-15,0.0311819142595678,0.0311819142595678,0.031181914259569968,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nta_5e19_common_primary,NTA 5e19 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,12,7,8,9,2.5e-05,3.225e-06,0.0,3.3e-06,2.5e-05,3.3e-06,1.6666666666666667e-05,3.275e-06,0.16666666666666669,32.75,-0.030564720798038864,-0.030564720798038864,-0.031180316642497923,-8.30568226183794e-05,-8.30568226183794e-05,0.0005325390218406747,-0.03076991941285855,0.0001221417922013053,0.030770161834010747,0.03077151043719643,0.031184864016638197,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nta_5e19_common_primary,NTA 5e19 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,13,7,9,69,2.5e-05,3.225e-06,2.5e-05,3.3e-06,5e-05,3.225e-06,3.3333333333333335e-05,3.25e-06,0.33333333333333337,32.5,-0.0229114273682181,-0.023227694835870973,-0.023227694835870973,-0.00039932429027125424,-8.30568226183794e-05,-8.30568226183794e-05,-0.023122272346653348,-0.00018847931183600436,0.02312304052074035,0.023123531229017776,0.02322784333131534,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nta_5e19_common_primary,NTA 5e19 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,14,7,68,69,2.5e-05,3.225e-06,5e-05,3.1500000000000003e-06,5e-05,3.225e-06,4.1666666666666665e-05,3.2e-06,0.41666666666666663,32.0,-0.023227694835870973,-0.023227694835870973,-0.02362709977151386,2.4814968762929184e-08,2.4814968762929184e-08,0.00039942975061164703,-0.0233608298144186,0.00013315979351639096,0.023361209325478815,0.02336195516575054,0.023630475825483156,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nta_5e19_common_primary,NTA 5e19 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,15,8,9,10,0.0,3.3e-06,2.5e-05,3.3e-06,0.0,3.3750000000000003e-06,8.333333333333334e-06,3.325e-06,0.08333333333333334,33.25,-0.030564720798022922,-0.030564720798038864,-0.030564720798038864,-1.5942924186896124e-14,0.0,0.0,-0.03056472079803355,-5.314308062298708e-15,0.03056472079803355,0.03056472079803355,0.030564720798038864,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nta_5e19_common_primary,NTA 5e19 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,16,9,10,11,2.5e-05,3.3e-06,0.0,3.3750000000000003e-06,2.5e-05,3.3750000000000003e-06,1.6666666666666667e-05,3.35e-06,0.16666666666666669,33.5,-0.030107745537738203,-0.030107745537738203,-0.030563673877916305,-0.00010695497132164858,-0.00010695497132164858,0.0003489733688564509,-0.030259721651130903,4.502114207105125e-05,0.03025975514288167,0.030260512369551115,0.03056566608676792,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nta_5e19_common_primary,NTA 5e19 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,17,9,11,70,2.5e-05,3.3e-06,2.5e-05,3.3750000000000003e-06,5e-05,3.3e-06,3.3333333333333335e-05,3.325e-06,0.33333333333333337,33.25,-0.022366728487111333,-0.02259867137026205,-0.022598671370262054,-0.0003388978544723758,-0.00010695497132164858,-0.00010695497132164858,-0.02252135707587848,-0.00018426926570522432,0.022522110906873387,0.02252238158088812,0.02259892446704029,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nta_5e19_common_primary,NTA 5e19 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,18,9,69,70,2.5e-05,3.3e-06,5e-05,3.225e-06,5e-05,3.3e-06,4.1666666666666665e-05,3.275e-06,0.41666666666666663,32.75,-0.022598671370262054,-0.02259867137026205,-0.022909297379269597,4.60168877111645e-08,4.60168877111645e-08,0.0003106720258952536,-0.022702213373264567,0.00010358801989022532,0.0227024497031289,0.022702915509413436,0.022911403787622502,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nta_5e19_common_primary,NTA 5e19 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,19,10,11,12,0.0,3.3750000000000003e-06,2.5e-05,3.3750000000000003e-06,0.0,3.45e-06,8.333333333333334e-06,3.4e-06,0.08333333333333334,34.0,-0.03010774553777806,-0.030107745537738203,-0.030107745537738203,3.985558092458605e-14,0.0,0.0,-0.030107745537751487,1.3285193641528685e-14,0.030107745537751487,0.030107745537751487,0.03010774553777806,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nta_5e19_common_primary,NTA 5e19 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,20,11,12,13,2.5e-05,3.3750000000000003e-06,0.0,3.45e-06,2.5e-05,3.45e-06,1.6666666666666667e-05,3.4250000000000002e-06,0.16666666666666669,34.25,-0.02980373421911655,-0.029803734219116553,-0.030107227665940685,-0.00013086950099066848,-0.00013086950099066848,0.00017262394583346174,-0.029904898701391264,-2.9705018715958404e-05,0.029904913454624975,0.02990525521088426,0.03010772254348474,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
