bulk_family_id,bulk_value_cm3_ev,nta_cm3_ev,nga_cm3_ev,is_zero_control,inactive_family_id,family_id,primary_gate,secondary_gate,sweep_direction,sweep_index,mesh_level,stage_id,mode_id,primary_gate_v,fixed_secondary_gate_v,vbg_v,vtg_v,vds_v,source_current_a_per_cm,drain_current_a_per_cm,source_current_terminal_a,drain_current_terminal_a,current_imbalance_a_per_cm,relative_current_imbalance,center_channel_potential_v,center_channel_electron_density_cm3,solve_seconds,converged
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,13,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.15,0.0,0.0,0.15,0.01,-5.462041732526001e-06,5.462041732526014e-06,-3.277225039515601e-08,3.277225039515609e-08,1.2705494208814505e-20,2.326143744591756e-15,0.039725363314865605,3.854225028782632e+16,0.044550713999342406,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,14,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.2,0.0,0.0,0.2,0.01,-7.412956638914972e-06,7.4129566389148655e-06,-4.447773983348983e-08,4.447773983348919e-08,-1.0672615135404184e-19,1.4397244790799592e-14,0.04685755866596013,5.071597384095385e+16,0.04223151300175232,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,15,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.25,0.0,0.0,0.25,0.01,-9.462693911699197e-06,9.462693911699367e-06,-5.677616347019518e-08,5.67761634701962e-08,1.6940658945086007e-19,1.7902575210787624e-14,0.052304628007629216,6.254748623536028e+16,0.04359352300161845,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,16,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.3,0.0,0.0,0.3,0.01,-1.1549445541373153e-05,1.1549445541373129e-05,-6.929667324823892e-08,6.929667324823877e-08,-2.371692252312041e-20,2.053511784454081e-15,0.056544883007083165,7.36401270624011e+16,0.04234405500028515,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,17,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.35,0.0,0.0,0.35,0.01,-1.3633155085927868e-05,1.3633155085927829e-05,-8.179893051556721e-08,8.179893051556697e-08,-3.8963515573697816e-20,2.8579969440761315e-15,0.05991023918327385,8.382967866404534e+16,0.04784623700106749,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,18,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.4,0.0,0.0,0.4,0.01,-1.5688469780507097e-05,1.5688469780507118e-05,-9.413081868304259e-08,9.413081868304271e-08,2.0328790734103208e-20,1.2957790669528316e-15,0.06262985128503153,9.30861550607405e+16,0.042122591999941505,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,19,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.45,0.0,0.0,0.45,0.01,-1.7699657872945354e-05,1.7699657872945472e-05,-1.0619794723767213e-07,1.0619794723767284e-07,1.1858461261560205e-19,6.699825130341228e-15,0.06486366097371234,1.0144894339019608e+17,0.04353348199947504,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,20,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.5,0.0,0.0,0.5,0.01,-1.965725697832039e-05,1.9657256978320098e-05,-1.1794354186992233e-07,1.1794354186992059e-07,-2.913793338554793e-19,1.4822990520846118e-14,0.066725187703265,1.0898877096719963e+17,0.03392308100228547,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,21,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.55,0.0,0.0,0.55,0.01,-2.155591042715199e-05,2.155591042715182e-05,-1.2933546256291194e-07,1.293354625629109e-07,-1.6940658945086007e-19,7.858939200149684e-15,0.0682964942120616,1.1578688929258678e+17,0.03507528499903856,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,22,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.6,0.0,0.0,0.6,0.01,-2.3392967118616967e-05,2.3392967118617238e-05,-1.403578027117018e-07,1.4035780271170343e-07,2.710505431213761e-19,1.1586838973738444e-14,0.06963798865793097,1.2192435109110224e+17,0.034953473001223756,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,23,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.65,0.0,0.0,0.65,0.01,-2.5167565654035183e-05,2.5167565654034624e-05,-1.510053939242111e-07,1.5100539392420775e-07,-5.590417451878382e-19,2.2212785808237498e-14,0.07079490921126312,1.274769258296556e+17,0.033124931000202196,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,24,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.7,0.0,0.0,0.7,0.01,-2.6880027442441277e-05,2.6880027442442047e-05,-1.6128016465464766e-07,1.612801646546523e-07,7.691059161069047e-19,2.861254207250287e-14,0.07180167864808575,1.3251305666177562e+17,0.034731708001345396,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,25,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.75,0.0,0.0,0.75,0.01,-2.85314494905187e-05,2.8531449490519663e-05,-1.711886969431122e-07,1.7118869694311798e-07,9.622294280808852e-19,3.372522059913611e-14,0.07268487779972853,1.3709339733937157e+17,0.03335287799927755,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,26,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.8,0.0,0.0,0.8,0.01,-3.012342820263897e-05,3.012342820263873e-05,-1.807405692158338e-07,1.807405692158324e-07,-2.371692252312041e-19,7.873248145455995e-15,0.07346531051699728,1.4127112492585208e+17,0.033815421997132944,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,27,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.85,0.0,0.0,0.85,0.01,-3.165787043737222e-05,3.165787043737322e-05,-1.899472226242333e-07,1.899472226242393e-07,1.0028870095490916e-18,3.167891572280707e-14,0.07415946144285523,1.4509259459244374e+17,0.03488811599891051,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,28,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.9,0.0,0.0,0.9,0.01,-3.3136863501807014e-05,3.313686350180507e-05,-1.988211810108421e-07,1.9882118101083043e-07,-1.9447876468958736e-18,5.868955119393907e-14,0.07478054131688958,1.4859810845960803e+17,0.03450734400030342,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,29,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.95,0.0,0.0,0.95,0.01,-3.456258546147579e-05,3.456258546147611e-05,-2.073755127688547e-07,2.0737551276885667e-07,3.2526065174565133e-19,9.410773164183302e-15,0.07533924759837274,1.518226833779193e+17,0.033249724001507275,True
NTA,0.0,0.0,0.0,True,NGA,top_primary,top_gate,bottom_gate,forward,30,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,1.0,0.0,0.0,1.0,0.01,-3.593724333278649e-05,3.593724333278673e-05,-2.1562345999671894e-07,2.156234599967204e-07,2.439454888092385e-19,6.7880968651448835e-15,0.07584432558886496,1.5479676378982486e+17,0.03355192199887824,True
NTA,1e+18,1e+18,0.0,False,NGA,top_primary,top_gate,bottom_gate,forward,0,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,-0.5,0.0,0.0,-0.5,0.01,-2.056964084139886e-10,2.0569640841638268e-10,-1.2341784504839318e-12,1.2341784504982962e-12,2.3940674878816003e-21,1.1638839522347853e-11,-0.2396809817719346,789847080178.63,0.07688363099805429,True
NTA,1e+18,1e+18,0.0,False,NGA,top_primary,top_gate,bottom_gate,forward,1,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,-0.45,0.0,0.0,-0.45,0.01,-4.8115105024213e-10,4.811510502470789e-10,-2.88690630145278e-12,2.8869063014824734e-12,4.9489182073281955e-21,1.0285581221919489e-11,-0.21487754296741315,2061583397080.292,0.06178878499849816,True
NTA,1e+18,1e+18,0.0,False,NGA,top_primary,top_gate,bottom_gate,forward,2,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,-0.4,0.0,0.0,-0.4,0.01,-1.1314054088588696e-09,1.1314054088504654e-09,-6.788432453153217e-12,6.788432453102792e-12,-8.404155023538761e-21,7.428066860680076e-12,-0.19014470994278773,5366173834244.322,0.061481306998757645,True
NTA,1e+18,1e+18,0.0,False,NGA,top_primary,top_gate,bottom_gate,forward,3,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,-0.35,0.0,0.0,-0.35,0.01,-2.673911346588034e-09,2.6739113465772424e-09,-1.6043468079528206e-11,1.6043468079463453e-11,-1.0791811861673076e-20,4.035964720911054e-12,-0.16550978216949452,13914650492993.615,0.06342876099733985,True
NTA,1e+18,1e+18,0.0,False,NGA,top_primary,top_gate,bottom_gate,forward,4,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,-0.3,0.0,0.0,-0.3,0.01,-6.346984593832114e-09,6.34698459383551e-09,-3.8081907562992684e-11,3.808190756301306e-11,3.3955764145301786e-21,5.349904926235558e-13,-0.1410131246386995,35887198782182.164,0.07430918800309882,True
NTA,1e+18,1e+18,0.0,False,NGA,top_primary,top_gate,bottom_gate,forward,5,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,-0.25,0.0,0.0,-0.25,0.01,-1.5107602026398e-08,1.5107602026403093e-08,-9.0645612158388e-11,9.064561215841856e-11,5.092123850876438e-21,3.370570552478871e-13,-0.11671761347585828,91833208251793.9,0.07571100999848568,True
NTA,1e+18,1e+18,0.0,False,NGA,top_primary,top_gate,bottom_gate,forward,6,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,-0.2,0.0,0.0,-0.2,0.01,-3.594392871548144e-08,3.594392871548512e-08,-2.1566357229288866e-10,2.1566357229291073e-10,3.679299364635867e-21,1.0236219289659275e-13,-0.09272767189302898,232209109700080.38,0.07745421200161218,True
NTA,1e+18,1e+18,0.0,False,NGA,top_primary,top_gate,bottom_gate,forward,7,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,-0.15,0.0,0.0,-0.15,0.01,-8.493305918935734e-08,8.493305918935308e-08,-5.09598355136144e-10,5.095983551361185e-10,-4.2616345158731986e-21,5.0176392520748963e-14,-0.0692271764507871,576040523903935.9,0.0773311390003073,True
NTA,1e+18,1e+18,0.0,False,NGA,top_primary,top_gate,bottom_gate,forward,8,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,-0.1,0.0,0.0,-0.1,0.01,-1.9690546989613998e-07,1.9690546989614184e-07,-1.1814328193768398e-09,1.181432819376851e-09,1.852884572118782e-21,9.410020824185786e-15,-0.046546741347294154,1383903483295796.2,0.07450845399944228,True
NTA,1e+18,1e+18,0.0,False,NGA,top_primary,top_gate,bottom_gate,forward,9,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,-0.05,0.0,0.0,-0.05,0.01,-4.3851795753121633e-07,4.385179575312165e-07,-2.631107745187298e-09,2.631107745187299e-09,1.5881867761018131e-22,3.621714342197163e-16,-0.0252463575505628,3150297921701694.0,0.07493281699862564,True
NTA,1e+18,1e+18,0.0,False,NGA,top_primary,top_gate,bottom_gate,forward,10,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.0,0.0,0.0,0.0,0.01,-9.104831443388195e-07,9.104831443388179e-07,-5.4628988660329174e-09,5.4628988660329075e-09,-1.5881867761018131e-21,1.744334077985741e-15,-0.006109500271255406,6591636501383881.0,0.06304647499928251,True
NTA,1e+18,1e+18,0.0,False,NGA,top_primary,top_gate,bottom_gate,forward,11,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.05,0.0,0.0,0.05,0.01,-1.7123716122560194e-06,1.7123716122560183e-06,-1.0274229673536117e-08,1.027422967353611e-08,-1.0587911840678754e-21,6.183185802017219e-16,0.010122135560666958,1.2321559674754498e+16,0.06301033400086453,True
NTA,1e+18,1e+18,0.0,False,NGA,top_primary,top_gate,bottom_gate,forward,12,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.1,0.0,0.0,0.1,0.01,-2.881633781944078e-06,2.8816337819440594e-06,-1.7289802691664467e-08,1.7289802691664358e-08,-1.8634724839594607e-20,6.466722092292656e-15,0.023163508237993558,2.0359642105280268e+16,0.06262204499944346,True
NTA,1e+18,1e+18,0.0,False,NGA,top_primary,top_gate,bottom_gate,forward,13,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.15,0.0,0.0,0.15,0.01,-4.3749357591779845e-06,4.3749357591779795e-06,-2.6249614555067906e-08,2.6249614555067876e-08,-5.082197683525802e-21,1.161662242208719e-15,0.03329088344571338,3.006648563879176e+16,0.06234487099936814,True
NTA,1e+18,1e+18,0.0,False,NGA,top_primary,top_gate,bottom_gate,forward,14,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.2,0.0,0.0,0.2,0.01,-6.10661991906504e-06,6.106619919065079e-06,-3.663971951439024e-08,3.663971951439048e-08,3.8963515573697816e-20,6.380537202266735e-15,0.041070036872419925,4.056345909284269e+16,0.06354885299879243,True
NTA,1e+18,1e+18,0.0,False,NGA,top_primary,top_gate,bottom_gate,forward,15,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.25,0.0,0.0,0.25,0.01,-7.990523493979698e-06,7.990523493979732e-06,-4.794314096387819e-08,4.7943140963878396e-08,3.3881317890172014e-20,4.240187506575643e-15,0.04707546618099443,5.111489849865846e+16,0.0656215240014717,True
NTA,1e+18,1e+18,0.0,False,NGA,top_primary,top_gate,bottom_gate,forward,16,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.3,0.0,0.0,0.3,0.01,-9.957922436944943e-06,9.95792243694497e-06,-5.974753462166966e-08,5.974753462166982e-08,2.710505431213761e-20,2.721958770393202e-15,0.051772039740405895,6.1247501385830264e+16,0.06375832800040371,True
