mesh_level,stage_id,vgs_v,vds_v,region,x_cm,y_cm,x_um,y_nm,potential_v,electron_density_cm3
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.0,0.0,0.0,0.0,-0.5,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.0,5e-07,0.0,5.0,-0.49993658803466773,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,2.5e-05,0.0,0.25,0.0,-0.5,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,2.5e-05,5e-07,0.25,5.0,-0.49554978601562316,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.0,1e-06,0.0,10.0,-0.4998766855109507,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,2.5e-05,1e-06,0.25,10.0,-0.4910973277126893,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.0,1.5e-06,0.0,15.0,-0.4998238064734723,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,2.5e-05,1.5e-06,0.25,15.0,-0.4866403773827204,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.0,2e-06,0.0,20.0,-0.4997814741792665,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,2.5e-05,2e-06,0.25,20.0,-0.4821766805323333,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.0,2.5e-06,0.0,25.000000000000004,-0.4997532257199782,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,2.5e-05,2.5e-06,0.25,25.000000000000004,-0.47770397247812285,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.0,3e-06,0.0,30.0,-0.49974261666328346,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,2.5e-05,3e-06,0.25,30.0,-0.47321997492632617,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,5e-05,0.0,0.5,0.0,-0.5,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,5e-05,5e-07,0.5,5.0,-0.49677378038902276,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,5e-05,1e-06,0.5,10.0,-0.4935480375021205,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,5e-05,1.5e-06,0.5,15.0,-0.49032324933744686,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,5e-05,2e-06,0.5,20.0,-0.4870998964437605,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,5e-05,2.5e-06,0.5,25.000000000000004,-0.4838784632018506,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,5e-05,3e-06,0.5,30.0,-0.48065943911332176,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,7.500000000000001e-05,0.0,0.7500000000000001,0.0,-0.5,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,7.500000000000001e-05,5e-07,0.7500000000000001,5.0,-0.49680596457501147,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,7.500000000000001e-05,1e-06,0.7500000000000001,10.0,-0.4936119417199533,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,7.500000000000001e-05,1.5e-06,0.7500000000000001,15.0,-0.4904179438240035,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,7.500000000000001e-05,2e-06,0.7500000000000001,20.0,-0.487223982914183,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,7.500000000000001e-05,2.5e-06,0.7500000000000001,25.000000000000004,-0.48403007047264507,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,7.500000000000001e-05,3e-06,0.7500000000000001,30.0,-0.4808362172520011,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.0001,0.0,1.0,0.0,-0.5,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.0001,5e-07,1.0,5.0,-0.49680672393514697,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.0001,1e-06,1.0,10.0,-0.49361344816693575,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.0001,1.5e-06,1.0,15.0,-0.49042017298721474,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.0001,2e-06,1.0,20.0,-0.48722689867831404,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.0001,2.5e-06,1.0,25.000000000000004,-0.48403362550845763,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.0001,3e-06,1.0,30.0,-0.480840353727383,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.000125,0.0,1.25,0.0,-0.5,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.000125,5e-07,1.25,5.0,-0.4968067416907132,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.000125,1e-06,1.25,10.0,-0.4936134833883628,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.000125,1.5e-06,1.25,15.0,-0.49042022509977207,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.000125,2e-06,1.25,20.0,-0.48722696683153954,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.000125,2.5e-06,1.25,25.000000000000004,-0.4840337085899318,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.000125,3e-06,1.25,30.0,-0.4808404503807807,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.00015000000000000001,0.0,1.5000000000000002,0.0,-0.5,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.00015000000000000001,5e-07,1.5000000000000002,5.0,-0.49680674210531717,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.00015000000000000001,1e-06,1.5000000000000002,10.0,-0.49361348421079637,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.00015000000000000001,1.5e-06,1.5000000000000002,15.0,-0.4904202263165971,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.00015000000000000001,2e-06,1.5000000000000002,20.0,-0.48722696842287344,
fine,T01_A_STAGE_2,-0.5,0.01,bottom_oxide,0.00015000000000000001,2.5e-06,1.5000000000000002,25.000000000000004,-0.4840337105297719,
