mesh_level,stage_id,vgs_v,vds_v,region,x_cm,y_cm,x_um,y_nm,potential_v,electron_density_cm3
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0006000000000000001,2e-06,6.000000000000001,20.0,0.0014743156201500482,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0006000000000000001,3e-06,6.000000000000001,30.0,0.0022114731267737476,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0006500000000000001,0.0,6.500000000000001,0.0,0.0,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0006500000000000001,1e-06,6.500000000000001,10.0,0.0008004610891270805,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0006500000000000001,2e-06,6.500000000000001,20.0,0.001600922055069828,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0006500000000000001,3e-06,6.500000000000001,30.0,0.0024013827746439276,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0007,0.0,7.0,0.0,0.0,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0007,1e-06,7.0,10.0,0.0008640722683214625,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0007,2e-06,7.0,20.0,0.0017281444116096435,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0007,3e-06,7.0,30.0,0.0025922163048312805,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.00075,0.0,7.5,0.0,0.0,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.00075,1e-06,7.5,10.0,0.0009279960307193886,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.00075,2e-06,7.5,20.0,0.001855991934509719,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.00075,3e-06,7.5,30.0,0.0027839875844419613,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0008,0.0,8.0,0.0,0.0,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0008,1e-06,8.0,10.0,0.0009922371157628138,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0008,2e-06,8.0,20.0,0.0019844741026304237,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0008,3e-06,8.0,30.0,0.0029767108317100073,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0008500000000000001,0.0,8.5,0.0,0.0,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0008500000000000001,1e-06,8.5,10.0,0.0010568004388176947,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0008500000000000001,2e-06,8.5,20.0,0.002113600740815889,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0008500000000000001,3e-06,8.5,30.0,0.003170400769628526,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0009000000000000001,0.0,9.0,0.0,0.0,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0009000000000000001,1e-06,9.0,10.0,0.0011217058106238848,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0009000000000000001,2e-06,9.0,20.0,0.002243410342893495,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.0009000000000000001,3e-06,9.0,30.0,0.0033651121169046925,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.00095,0.0,9.5,0.0,0.0,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.00095,1e-06,9.5,10.0,0.0011898070681176556,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.00095,2e-06,9.5,20.0,0.002380115591002008,
coarse,T01_A_STAGE_2,0.0,0.01,bottom_oxide,0.00095,3e-06,9.5,30.0,0.0035714278044663202,
