mesh_level,stage_id,vgs_v,vds_v,region,x_cm,y_cm,x_um,y_nm,potential_v,electron_density_cm3
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.00015000000000000001,3e-06,1.5000000000000002,30.0,-0.9808404524043779,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.000175,0.0,1.75,0.0,-1.0,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.000175,5e-07,1.75,5.0,-0.9968067420854531,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.000175,1e-06,1.75,10.0,-0.9936134841709139,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.000175,1.5e-06,1.75,15.0,-0.9904202262563903,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.000175,2e-06,1.75,20.0,-0.9872269683418895,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.000175,2.5e-06,1.75,25.000000000000004,-0.9840337104274186,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.000175,3e-06,1.75,30.0,-0.9808404525129842,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.0002,0.0,2.0,0.0,-1.0,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.0002,5e-07,2.0,5.0,-0.9968067420859192,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.0002,1e-06,2.0,10.0,-0.9936134841718386,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.0002,1.5e-06,2.0,15.0,-0.9904202262577584,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.0002,2e-06,2.0,20.0,-0.9872269683436787,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.0002,2.5e-06,2.0,25.000000000000004,-0.9840337104295998,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.0002,3e-06,2.0,30.0,-0.9808404525155215,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.00022500000000000002,0.0,2.25,0.0,-1.0,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.00022500000000000002,5e-07,2.25,5.0,-0.9968067420859301,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.00022500000000000002,1e-06,2.25,10.0,-0.9936134841718602,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.00022500000000000002,1.5e-06,2.25,15.0,-0.9904202262577904,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.00022500000000000002,2e-06,2.25,20.0,-0.9872269683437205,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.00022500000000000002,2.5e-06,2.25,25.000000000000004,-0.9840337104296507,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.00022500000000000002,3e-06,2.25,30.0,-0.9808404525155808,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.00025,0.0,2.5,0.0,-1.0,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.00025,5e-07,2.5,5.0,-0.9968067420859303,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.00025,1e-06,2.5,10.0,-0.9936134841718608,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.00025,1.5e-06,2.5,15.0,-0.9904202262577911,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.00025,2e-06,2.5,20.0,-0.9872269683437215,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.00025,2.5e-06,2.5,25.000000000000004,-0.9840337104296519,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.00025,3e-06,2.5,30.0,-0.9808404525155823,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.00027499999999999996,0.0,2.7499999999999996,0.0,-1.0,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.00027499999999999996,5e-07,2.7499999999999996,5.0,-0.9968067420859303,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.00027499999999999996,1e-06,2.7499999999999996,10.0,-0.9936134841718608,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.00027499999999999996,1.5e-06,2.7499999999999996,15.0,-0.9904202262577911,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.00027499999999999996,2e-06,2.7499999999999996,20.0,-0.9872269683437215,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.00027499999999999996,2.5e-06,2.7499999999999996,25.000000000000004,-0.9840337104296519,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.00027499999999999996,3e-06,2.7499999999999996,30.0,-0.9808404525155823,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.00030000000000000003,0.0,3.0000000000000004,0.0,-1.0,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.00030000000000000003,5e-07,3.0000000000000004,5.0,-0.9968067420859303,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.00030000000000000003,1e-06,3.0000000000000004,10.0,-0.9936134841718608,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.00030000000000000003,1.5e-06,3.0000000000000004,15.0,-0.9904202262577911,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.00030000000000000003,2e-06,3.0000000000000004,20.0,-0.9872269683437215,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.00030000000000000003,2.5e-06,3.0000000000000004,25.000000000000004,-0.9840337104296519,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.00030000000000000003,3e-06,3.0000000000000004,30.0,-0.9808404525155823,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.00032500000000000004,0.0,3.2500000000000004,0.0,-1.0,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.00032500000000000004,5e-07,3.2500000000000004,5.0,-0.9968067420859303,
fine,T01_A_STAGE_2,-1.0,0.01,bottom_oxide,0.00032500000000000004,1e-06,3.2500000000000004,10.0,-0.9936134841718608,
