state_id,state_label,mesh_level,stage_id,vgs_v,vds_v,region,element_index,node0_index,node1_index,node2_index,x0_cm,y0_cm,x1_cm,y1_cm,x2_cm,y2_cm,centroid_x_cm,centroid_y_cm,centroid_x_um,centroid_y_nm,electron_current_density_x_en0_a_per_cm2,electron_current_density_x_en1_a_per_cm2,electron_current_density_x_en2_a_per_cm2,electron_current_density_y_en0_a_per_cm2,electron_current_density_y_en1_a_per_cm2,electron_current_density_y_en2_a_per_cm2,electron_current_density_x_a_per_cm2,electron_current_density_y_a_per_cm2,electron_current_density_magnitude_a_per_cm2,mean_element_node_current_density_magnitude_a_per_cm2,maximum_element_node_current_density_magnitude_a_per_cm2,projection_method
on_proxy,on proxy,interface_4x,T01_DC_EXTRACTION,1.0,0.01,channel,0,0,1,2,0.0,3e-06,0.0,3.075e-06,2.5e-05,3e-06,8.333333333333334e-06,3.0250000000000003e-06,0.08333333333333334,30.250000000000004,-27.773712771917662,-27.77371277191766,-27.773712771917662,0.0,0.0,0.0,-27.773712771917662,0.0,27.773712771917662,27.773712771917662,27.773712771917662,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
on_proxy,on proxy,interface_4x,T01_DC_EXTRACTION,1.0,0.01,channel,1,1,2,3,0.0,3.075e-06,2.5e-05,3e-06,2.5e-05,3.075e-06,1.6666666666666667e-05,3.05e-06,0.16666666666666669,30.5,-25.613463192465844,-25.613463192465844,-27.766755442301225,0.165817622310192,0.165817622310192,2.3191098721455696,-26.3312272757443,0.8835817055886511,26.34604802389443,26.363811428095747,27.863434432812618,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
on_proxy,on proxy,interface_4x,T01_DC_EXTRACTION,1.0,0.01,channel,2,1,3,4,0.0,3.075e-06,2.5e-05,3.075e-06,0.0,3.1500000000000003e-06,8.333333333333334e-06,3.1000000000000004e-06,0.08333333333333334,31.000000000000004,-25.613463192477298,-25.613463192465844,-25.613463192465844,1.1451620149651726e-11,0.0,0.0,-25.613463192469663,3.8172067165505756e-12,25.613463192469663,25.613463192469663,25.613463192477298,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
on_proxy,on proxy,interface_4x,T01_DC_EXTRACTION,1.0,0.01,channel,3,2,3,42,2.5e-05,3e-06,2.5e-05,3.075e-06,5e-05,3e-06,3.3333333333333335e-05,3.0250000000000003e-06,0.33333333333333337,30.250000000000004,-107.89724729479306,-138.3187921177516,-138.3187921177516,-30.255727200648348,0.165817622310192,0.165817622310192,-128.17827717676542,-9.974697318675988,128.5658015438122,129.5656025514154,138.31889150943067,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
on_proxy,on proxy,interface_4x,T01_DC_EXTRACTION,1.0,0.01,channel,4,3,4,5,2.5e-05,3.075e-06,0.0,3.1500000000000003e-06,2.5e-05,3.1500000000000003e-06,1.6666666666666667e-05,3.125e-06,0.16666666666666669,31.25,-23.896333576427015,-23.896333576427015,-25.607291921514587,0.3461319758270215,0.3461319758270215,2.0570903209145928,-24.466653024789537,0.9164514241895452,24.483810844072906,24.495821624130233,25.68978435374783,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
on_proxy,on proxy,interface_4x,T01_DC_EXTRACTION,1.0,0.01,channel,5,3,5,43,2.5e-05,3.075e-06,2.5e-05,3.1500000000000003e-06,5e-05,3.075e-06,3.3333333333333335e-05,3.1000000000000004e-06,0.33333333333333337,31.000000000000004,-70.37944160062547,-85.71824949454805,-85.71824949454805,-14.992675918095559,0.3461319758270215,0.3461319758270215,-80.60531352990718,-4.766803988813838,80.74613916171106,81.13217949384749,85.71894833555925,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
on_proxy,on proxy,interface_4x,T01_DC_EXTRACTION,1.0,0.01,channel,6,3,42,43,2.5e-05,3.075e-06,5e-05,3e-06,5e-05,3.075e-06,4.1666666666666665e-05,3.05e-06,0.41666666666666663,30.5,-85.71824949454805,-85.71824949454805,-107.74041485148177,-0.00041145381704234485,-0.00041145381704234485,22.021753903116675,-93.05897128019262,7.3403103318275305,93.34801707318292,93.80148998411386,109.96797096127048,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
on_proxy,on proxy,interface_4x,T01_DC_EXTRACTION,1.0,0.01,channel,7,4,5,6,0.0,3.1500000000000003e-06,2.5e-05,3.1500000000000003e-06,0.0,3.225e-06,8.333333333333334e-06,3.1750000000000005e-06,0.08333333333333334,31.750000000000004,-23.89633357642811,-23.896333576427015,-23.896333576427015,1.090967833619775e-12,0.0,0.0,-23.89633357642738,3.63655944539925e-13,23.89633357642738,23.89633357642738,23.89633357642811,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
on_proxy,on proxy,interface_4x,T01_DC_EXTRACTION,1.0,0.01,channel,8,5,6,7,2.5e-05,3.1500000000000003e-06,0.0,3.225e-06,2.5e-05,3.225e-06,1.6666666666666667e-05,3.2e-06,0.16666666666666669,32.0,-22.481149524062577,-22.481149524062577,-23.890755282366385,0.44982559560395236,0.4498255956039524,1.8594313539077594,-22.951018110163847,0.9196941817052213,22.969437731057575,22.97810168491934,23.96300634148004,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
on_proxy,on proxy,interface_4x,T01_DC_EXTRACTION,1.0,0.01,channel,9,5,7,44,2.5e-05,3.1500000000000003e-06,2.5e-05,3.225e-06,5e-05,3.1500000000000003e-06,3.3333333333333335e-05,3.1750000000000005e-06,0.33333333333333337,31.750000000000004,-49.68126020806736,-58.46087217053723,-58.46087217053723,-8.32978636686592,0.44982559560395236,0.4498255956039524,-55.534334849713936,-2.4767117252193382,55.58953541962723,55.7666436124691,58.462602730346816,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
on_proxy,on proxy,interface_4x,T01_DC_EXTRACTION,1.0,0.01,channel,10,5,43,44,2.5e-05,3.1500000000000003e-06,5e-05,3.075e-06,5e-05,3.1500000000000003e-06,4.1666666666666665e-05,3.125e-06,0.41666666666666663,31.25,-58.46087217053722,-58.46087217053723,-70.29895131467546,-0.0006597455625336621,-0.0006597455625336621,11.837419398575696,-62.40689855191664,3.9453666358168764,62.531487306478105,62.73678744392125,71.28861798324391,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
