state_id,state_label,mesh_level,stage_id,vgs_v,vds_v,region,element_index,node0_index,node1_index,node2_index,x0_cm,y0_cm,x1_cm,y1_cm,x2_cm,y2_cm,centroid_x_cm,centroid_y_cm,centroid_x_um,centroid_y_nm,electron_current_density_x_en0_a_per_cm2,electron_current_density_x_en1_a_per_cm2,electron_current_density_x_en2_a_per_cm2,electron_current_density_y_en0_a_per_cm2,electron_current_density_y_en1_a_per_cm2,electron_current_density_y_en2_a_per_cm2,electron_current_density_x_a_per_cm2,electron_current_density_y_a_per_cm2,electron_current_density_magnitude_a_per_cm2,mean_element_node_current_density_magnitude_a_per_cm2,maximum_element_node_current_density_magnitude_a_per_cm2,projection_method
near_target_proxy,near course-target proxy,interface_4x,T01_DC_EXTRACTION,0.2,0.01,channel,0,0,1,2,0.0,3e-06,0.0,3.075e-06,2.5e-05,3e-06,8.333333333333334e-06,3.0250000000000003e-06,0.08333333333333334,30.250000000000004,-4.866581219348748,-4.866581219348749,-4.866581219348749,-8.8552583897709e-16,-3.480178043628027e-47,0.0,-4.866581219348749,-2.9517527965902997e-16,4.866581219348749,4.866581219348749,4.866581219348749,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
near_target_proxy,near course-target proxy,interface_4x,T01_DC_EXTRACTION,0.2,0.01,channel,1,1,2,3,0.0,3.075e-06,2.5e-05,3e-06,2.5e-05,3.075e-06,1.6666666666666667e-05,3.05e-06,0.16666666666666669,30.5,-4.749403011822203,-4.749403011822203,-4.866218049018341,0.004241739606235478,0.004241739606235478,0.12105677680237353,-4.788341357554249,0.04318008533828149,4.788536047294026,4.788844463738328,4.86772357923102,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
near_target_proxy,near course-target proxy,interface_4x,T01_DC_EXTRACTION,0.2,0.01,channel,2,1,3,4,0.0,3.075e-06,2.5e-05,3.075e-06,0.0,3.1500000000000003e-06,8.333333333333334e-06,3.1000000000000004e-06,0.08333333333333334,31.000000000000004,-4.749403011822093,-4.749403011822203,-4.749403011822203,-1.1069072987213624e-13,0.0,0.0,-4.749403011822166,-3.689690995737875e-14,4.749403011822166,4.749403011822166,4.749403011822203,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
near_target_proxy,near course-target proxy,interface_4x,T01_DC_EXTRACTION,0.2,0.01,channel,3,2,3,42,2.5e-05,3e-06,2.5e-05,3.075e-06,5e-05,3e-06,3.3333333333333335e-05,3.0250000000000003e-06,0.33333333333333337,30.250000000000004,-7.383597551613999,-7.694407592203349,-7.694407592203348,-0.3065683009831135,0.004241739606235478,0.004241739606235478,-7.590804245340231,-0.09936160725688085,7.591454525983274,7.592925573123755,7.694408761387155,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
near_target_proxy,near course-target proxy,interface_4x,T01_DC_EXTRACTION,0.2,0.01,channel,4,3,4,5,2.5e-05,3.075e-06,0.0,3.1500000000000003e-06,2.5e-05,3.1500000000000003e-06,1.6666666666666667e-05,3.125e-06,0.16666666666666669,31.25,-4.640532266943494,-4.640532266943494,-4.749043688763283,0.011262931116393335,0.011262931116393335,0.1197743529361828,-4.676702740883424,0.04743340505632315,4.676943281086672,4.677215238956384,4.7505538470165405,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
near_target_proxy,near course-target proxy,interface_4x,T01_DC_EXTRACTION,0.2,0.01,channel,5,3,5,43,2.5e-05,3.075e-06,2.5e-05,3.1500000000000003e-06,5e-05,3.075e-06,3.3333333333333335e-05,3.1000000000000004e-06,0.33333333333333337,31.000000000000004,-6.821382343720875,-7.0898002297127265,-7.0898002297127265,-0.257154954875459,0.011262931116393335,0.011262931116393335,-7.0003276010487765,-0.07820969754755744,7.000764478169209,7.001948711721638,7.089809175912421,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
near_target_proxy,near course-target proxy,interface_4x,T01_DC_EXTRACTION,0.2,0.01,channel,6,3,42,43,2.5e-05,3.075e-06,5e-05,3e-06,5e-05,3.075e-06,4.1666666666666665e-05,3.05e-06,0.41666666666666663,30.5,-7.0898002297127265,-7.0898002297127265,-7.381801907496444,-2.193958139763422e-05,-2.1939581397634224e-05,0.29197973820231843,-7.187134122307299,0.0973119530131744,7.187792881561985,7.189058197463222,7.3875741328963205,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
near_target_proxy,near course-target proxy,interface_4x,T01_DC_EXTRACTION,0.2,0.01,channel,7,4,5,6,0.0,3.1500000000000003e-06,2.5e-05,3.1500000000000003e-06,0.0,3.225e-06,8.333333333333334e-06,3.1750000000000005e-06,0.08333333333333334,31.750000000000004,-4.6405322669434055,-4.640532266943494,-4.640532266943494,-8.855258389770899e-14,0.0,0.0,-4.640532266943464,-2.9517527965902996e-14,4.640532266943464,4.640532266943464,4.640532266943494,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
near_target_proxy,near course-target proxy,interface_4x,T01_DC_EXTRACTION,0.2,0.01,channel,8,5,6,7,2.5e-05,3.1500000000000003e-06,0.0,3.225e-06,2.5e-05,3.225e-06,1.6666666666666667e-05,3.2e-06,0.16666666666666669,32.0,-4.539247834441491,-4.539247834441491,-4.640178350034265,0.01704178745380394,0.01704178745380394,0.1179723030465784,-4.5728913396390825,0.05068529265139543,4.57317222538549,4.573412475286275,4.641677776883358,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
near_target_proxy,near course-target proxy,interface_4x,T01_DC_EXTRACTION,0.2,0.01,channel,9,5,7,44,2.5e-05,3.1500000000000003e-06,2.5e-05,3.225e-06,5e-05,3.1500000000000003e-06,3.3333333333333335e-05,3.1750000000000005e-06,0.33333333333333337,31.750000000000004,-6.333551726737731,-6.566817672666489,-6.566817672666489,-0.21622415847495388,0.01704178745380394,0.01704178745380394,-6.489062357356903,-0.060713527855782,6.489346377727962,6.490307037682135,6.566839785510573,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
near_target_proxy,near course-target proxy,interface_4x,T01_DC_EXTRACTION,0.2,0.01,channel,10,5,43,44,2.5e-05,3.1500000000000003e-06,5e-05,3.075e-06,5e-05,3.1500000000000003e-06,4.1666666666666665e-05,3.125e-06,0.41666666666666663,31.25,-6.56681767266649,-6.566817672666489,-6.819851944531391,-5.6163579279010825e-05,-5.616357927901082e-05,0.25297810828562356,-6.65116242995479,0.08428859370902185,6.651696493126513,6.652725903040803,6.824542363309086,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
