state_id,state_label,mesh_level,stage_id,vgs_v,vds_v,region,element_index,node0_index,node1_index,node2_index,x0_cm,y0_cm,x1_cm,y1_cm,x2_cm,y2_cm,centroid_x_cm,centroid_y_cm,centroid_x_um,centroid_y_nm,electron_current_density_x_en0_a_per_cm2,electron_current_density_x_en1_a_per_cm2,electron_current_density_x_en2_a_per_cm2,electron_current_density_y_en0_a_per_cm2,electron_current_density_y_en1_a_per_cm2,electron_current_density_y_en2_a_per_cm2,electron_current_density_x_a_per_cm2,electron_current_density_y_a_per_cm2,electron_current_density_magnitude_a_per_cm2,mean_element_node_current_density_magnitude_a_per_cm2,maximum_element_node_current_density_magnitude_a_per_cm2,projection_method
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,0,0,1,2,0.0,3e-06,0.0,3.075e-06,2.5e-05,3e-06,8.333333333333334e-06,3.0250000000000003e-06,0.08333333333333334,30.250000000000004,-3.994706533607141e-09,-3.994706533607141e-09,-3.994706533607141e-09,0.0,0.0,0.0,-3.994706533607141e-09,0.0,3.994706533607141e-09,3.994706533607141e-09,3.994706533607141e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,1,1,2,3,0.0,3.075e-06,2.5e-05,3e-06,2.5e-05,3.075e-06,1.6666666666666667e-05,3.05e-06,0.16666666666666669,30.5,-4.061108194342434e-09,-4.061108194342434e-09,-3.994904815418269e-09,1.0944188148457714e-13,1.0944188148457713e-13,-6.609393704268007e-11,-4.039040401367713e-09,-2.1958351093236974e-11,4.039100089507982e-09,4.039222639050804e-09,4.061108195817096e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,2,1,3,4,0.0,3.075e-06,2.5e-05,3.075e-06,0.0,3.1500000000000003e-06,8.333333333333334e-06,3.1000000000000004e-06,0.08333333333333334,31.000000000000004,-4.061044159655151e-09,-4.061108194342434e-09,-4.061108194342434e-09,-6.403468728322337e-14,0.0,0.0,-4.061086849446673e-09,-2.1344895761074456e-14,4.061086849502766e-09,4.061086849614956e-09,4.061108194342434e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,3,2,3,42,2.5e-05,3e-06,2.5e-05,3.075e-06,5e-05,3e-06,3.3333333333333335e-05,3.0250000000000003e-06,0.33333333333333337,30.250000000000004,-4.101427273758154e-09,-4.067667759730941e-09,-4.067667759730941e-09,3.386895590869782e-11,1.0944188148457713e-13,1.0944188148457714e-13,-4.078920931073345e-09,1.1362613223888992e-11,4.078936757407195e-09,4.078967545365412e-09,4.101567113689789e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,4,3,4,5,2.5e-05,3.075e-06,0.0,3.1500000000000003e-06,2.5e-05,3.1500000000000003e-06,1.6666666666666667e-05,3.125e-06,0.16666666666666669,31.25,-4.126430752535011e-09,-4.126430752535011e-09,-4.061238608948718e-09,3.116777101214424e-13,3.116777101214424e-13,-6.488046587617233e-11,-4.1047000380062464e-09,-2.141903681864315e-11,4.104755921750613e-09,4.1048727848750895e-09,4.1264307643058364e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,5,3,5,43,2.5e-05,3.075e-06,2.5e-05,3.1500000000000003e-06,5e-05,3.075e-06,3.3333333333333335e-05,3.1000000000000004e-06,0.33333333333333337,31.000000000000004,-4.16166149851225e-09,-4.128520242627075e-09,-4.128520242627075e-09,3.3452933595296146e-11,3.116777101214424e-13,3.116777101214424e-13,-4.139567327922133e-09,1.1358763005179677e-11,4.139582911827881e-09,4.139612152829005e-09,4.161795949703128e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,6,3,42,43,2.5e-05,3.075e-06,5e-05,3e-06,5e-05,3.075e-06,4.1666666666666665e-05,3.05e-06,0.41666666666666663,30.5,-4.128520242627075e-09,-4.128520242627075e-09,-4.101609123164842e-09,1.6360647491625938e-13,1.6360647491625938e-13,-2.674751298731677e-11,-4.1195498694729966e-09,-8.806766679161417e-12,4.119559283007628e-09,4.1195789424135896e-09,4.128520245868803e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,7,4,5,6,0.0,3.1500000000000003e-06,2.5e-05,3.1500000000000003e-06,0.0,3.225e-06,8.333333333333334e-06,3.1750000000000005e-06,0.08333333333333334,31.750000000000004,-4.126634417992577e-09,-4.126430752535011e-09,-4.126430752535011e-09,2.0366545756480094e-13,0.0,0.0,-4.126498641020866e-09,6.788848585493365e-14,4.1264986415793114e-09,4.126498642696146e-09,4.126634423018418e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,8,5,6,7,2.5e-05,3.1500000000000003e-06,0.0,3.225e-06,2.5e-05,3.225e-06,1.6666666666666667e-05,3.2e-06,0.16666666666666669,32.0,-4.190589627569982e-09,-4.190589627569982e-09,-4.126824831551241e-09,4.972752546477498e-13,4.972752546477498e-13,-6.32675207640933e-11,-4.169334695563735e-09,-2.0757656751599267e-11,4.16938636779387e-09,4.169496362673354e-09,4.190589657074503e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,9,5,7,44,2.5e-05,3.1500000000000003e-06,2.5e-05,3.225e-06,5e-05,3.1500000000000003e-06,3.3333333333333335e-05,3.1750000000000005e-06,0.33333333333333337,31.750000000000004,-4.22078152099274e-09,-4.188296556504016e-09,-4.188296556504016e-09,3.298223974337117e-11,4.972752546477498e-13,4.972752546477498e-13,-4.1991248780002575e-09,1.132559675088889e-11,4.199140151290791e-09,4.199167852266535e-09,4.220910384750223e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,10,5,43,44,2.5e-05,3.1500000000000003e-06,5e-05,3.075e-06,5e-05,3.1500000000000003e-06,4.1666666666666665e-05,3.125e-06,0.41666666666666663,31.25,-4.188296556504016e-09,-4.188296556504016e-09,-4.161839831743498e-09,4.652479396050389e-13,4.652479396050389e-13,-2.599147682091375e-11,-4.17947764825051e-09,-8.353660313901225e-12,4.179485996610858e-09,4.179504718828442e-09,4.188296582344551e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,11,6,7,8,0.0,3.225e-06,2.5e-05,3.225e-06,0.0,3.3e-06,8.333333333333334e-06,3.25e-06,0.08333333333333334,32.5,-4.1907731032405865e-09,-4.190589627569982e-09,-4.190589627569982e-09,1.8347567060409827e-13,0.0,0.0,-4.19065078612685e-09,6.115855686803276e-14,4.190650786573125e-09,4.1906507874656375e-09,4.190773107256948e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,12,7,8,9,2.5e-05,3.225e-06,0.0,3.3e-06,2.5e-05,3.3e-06,1.6666666666666667e-05,3.275e-06,0.16666666666666669,32.75,-4.253500760306017e-09,-4.253500760306017e-09,-4.1909592792630895e-09,6.662825456973629e-13,6.662825456973629e-13,-6.18751984972302e-11,-4.232653599958375e-09,-2.0180877801945155e-11,4.23270170990934e-09,4.232805880384542e-09,4.253500812490377e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,13,7,9,45,2.5e-05,3.225e-06,2.5e-05,3.3e-06,5e-05,3.225e-06,3.3333333333333335e-05,3.25e-06,0.33333333333333337,32.5,-4.278716206331915e-09,-4.246925191737893e-09,-4.246925191737893e-09,3.245729713971934e-11,6.662825456973629e-13,6.662825456973629e-13,-4.257522196602567e-09,1.1263287410371356e-11,4.257537095106376e-09,4.257563266378448e-09,4.278839311129244e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
